% Distances between instruments for pitch 86 (D6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 4 (BanjoFramus), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 41 (Shakuhachi), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
3,'Bandura',1,0.0,0.08164410240559908,0.028999881223320385,0.011755674391388466,0.050842131330803196,0.03920207102468331,0.03584032232793012,0.04342481581591228,0.0377249365586474,0.049686649072655596,0.03818699584920063,0.05426084191573988,0.034059206158655465,0.03430013409158778,0.03245108835578439,0.007621167281164644,0.02699569749875692,0.018019615449756658,0.014822243315650269,0.008883570104247054,0.05006462946883348,0.011163987110816282,0.014398220343828682,0.058358268750165344,0.08027081697144813,0.11513841730205317,0.23931591241029318,0.8194051224476918,0.044215274301242814,0.0377863691422329,0.03343316147484538,0.006660147878992592,0.040812784450685285,0.038949923481417716,0.013541147113177011,0.011577779548094844,0.011800139048398073,0.07904927368114363,0.049445321051787845,0.024875291189350984,0.047984085528129695,0.028899068945825546,0.0030129870811236637,0.019957548909543137,0.025843190317946862,0.014493127057303027,0.016691698107068786,0.010495751616197068,0.001464278085677639,0.009048137965453286,0.07656854919176904,0.033245555566587516,0.02473283785197278,0.014475481767611596,0.028316701710134628,0.012090129706819821,0.032403752267978946,0.0820359817060518,0.007805441721831289,0.010191983089086637,0.03100902107511903,0.02993506128962416,0.049026078294035234
4,'BanjoFramus',1,0.08164410240559908,0.0,0.11064398362891947,0.08813163644185944,0.031137076479161464,0.05844073554900347,0.0459318701463125,0.05423425323086333,0.059928456168598536,0.047796964121250986,0.059438581894963954,0.13583874969552182,0.10214910808611459,0.1158780418713697,0.10714059970062106,0.08926526968676372,0.09438103051396192,0.08357677359751613,0.07784179745188267,0.09026504338698967,0.032021885747937164,0.09274189489059821,0.080560696849319,0.13993617652994728,0.16184872475123005,0.19671632508183512,0.3208938201900751,0.9009830302274738,0.09533098697569063,0.06109976643332579,0.08316032917361524,0.07510668830214713,0.05684289044426183,0.07054252386362309,0.07730344176966264,0.09322188195369391,0.07762147290904399,0.04187564163844951,0.12789137447880086,0.09539787845931558,0.12962197020370889,0.052877763123761835,0.07969458302137643,0.06178767801099172,0.05622662217123961,0.08137056377479887,0.09826960588685073,0.092073659395979,0.08031671536980367,0.09062604574523524,0.14593822593468322,0.062372814268791245,0.05779175477487194,0.07224923659238006,0.09949355974190598,0.06967905727270238,0.050457898148730806,0.10772360544235586,0.07473592039391719,0.0715786677394932,0.051133811138820484,0.05285245468891251,0.03262908555025454
12,'Clarinet',1,0.028999881223320385,0.11064398362891947,0.0,0.02468432403995426,0.07962438812373411,0.0682019522480037,0.0648402035512505,0.07242469703923267,0.06672481778196779,0.06296226587186982,0.06718687707252101,0.02547858512280896,0.02156129765871434,0.01698693846424047,0.019971906089590995,0.021606383675261135,0.016389960306376544,0.027387634357264184,0.03551778233811192,0.02152575878797673,0.07884688626176439,0.017980387563066805,0.030575664206786233,0.029576011957234433,0.05148856017851722,0.08635616050912226,0.21053365561736226,0.790622865654761,0.03173609203504942,0.050483175838815765,0.04612996817142825,0.03566002910231297,0.06981266567400567,0.05164673017800059,0.03418907687217527,0.01831603612082108,0.034802008429341044,0.09174608037772651,0.03684004955869639,0.015259152968942187,0.02217819104640381,0.057898950169145945,0.031064879994471647,0.04895743013286352,0.05462544711087778,0.029346140746571308,0.023690180040553278,0.01870743681397508,0.030464159308998026,0.02015231727297931,0.08926535588835192,0.048396077648822367,0.05351509464490369,0.03841347559795121,0.0410135084067175,0.041090010930140204,0.06118600906090985,0.09473278840263466,0.0365876985147622,0.039191864312407024,0.05979127786804994,0.058717318082555064,0.07802595951735562
12,'Clarinet',2,0.011755674391388466,0.08813163644185944,0.02468432403995426,0.0,0.06183868422444777,0.04568960506094367,0.0429529550618506,0.04991234985217264,0.044212470594907766,0.06144232346404407,0.04467452988546098,0.050162909162763225,0.02467440681680298,0.030202201338611123,0.02308501524767963,0.018487915741721237,0.017629624390652156,0.008115493585401581,0.010833458298157657,0.020584626482782333,0.05610975069392227,0.010610977287656136,0.00757093959254044,0.05426033599718869,0.07617288421847147,0.11104048454907652,0.23521797965731653,0.8153071896947152,0.03484920119313805,0.04954204353362137,0.045188835866233845,0.013147681915252953,0.04730031848694564,0.05070559787280618,0.024230662061257565,0.0063682879191331795,0.01051016353281545,0.0908049480725321,0.0420232500933271,0.015509218081246223,0.043886152775153044,0.03538660298208591,0.01476866147251213,0.026445082945803496,0.031905014270619834,0.006833793559511282,0.02274904773535888,0.008439902302196779,0.012241437445617426,0.013873111172438909,0.08832422358315754,0.04500122995797599,0.030339881666987496,0.026231156159000065,0.040072376101523095,0.018577663743080182,0.037673738293128624,0.09379165609744028,0.013395716047942242,0.016679517125346998,0.03699782530303896,0.03527918175294693,0.05551361233029559
15,'DallapeAccordion',1,0.050842131330803196,0.031137076479161464,0.07962438812373411,0.06183868422444777,0.0,0.05775966809614991,0.019415119261423436,0.05355318577800977,0.059247388715744975,0.017061187672272247,0.058757514442110394,0.10510297324654305,0.08445859516233262,0.08514226542239096,0.08286920359320928,0.058128193207602256,0.07741381273618181,0.06810262528281597,0.06490525314870957,0.059408454299340586,0.014639540744535183,0.06200611844161947,0.06448123017688799,0.10920040008096854,0.13111294830225131,0.16598054863285636,0.2901580437410964,0.870247253778495,0.09463338953866769,0.030363989984347046,0.052424552724636496,0.04932350220978044,0.05616182299140828,0.03980674741464434,0.04616636529050117,0.062084805474532455,0.06188314888145737,0.02896626384808434,0.09973734706231467,0.07529340642677586,0.09882621685893289,0.02948853237319345,0.04895880657239768,0.04076281357037715,0.03164703458170839,0.0649112422947279,0.06753382943787196,0.06133788294700026,0.0501354378588953,0.05989026929625648,0.11520244948570446,0.03163703781981251,0.04353505050784326,0.04151346014340131,0.06875778329292723,0.04452313654683689,0.03482699973448677,0.07698782899337711,0.05603074835110284,0.04876840135275664,0.042676857196707774,0.038414084620872646,0.012289190467086014
23,'ElectricPiano',1,0.03920207102468331,0.05844073554900347,0.0682019522480037,0.04568960506094367,0.05775966809614991,0.0,0.03835894835274261,0.004222744791228969,0.0014877206195950665,0.05684831675493607,0.0010150751754826818,0.0932850004123467,0.059707076705198835,0.07339485466611793,0.06466434367603983,0.046823238305847954,0.05182530858241874,0.04113474221660035,0.035399766070966905,0.047823012006073896,0.04322743475842072,0.05022156468493688,0.03811866546840323,0.09738045459840411,0.1192930028196869,0.15416060315029192,0.27833809825853195,0.8584273082959305,0.03700394197731458,0.04494803682451337,0.04066427251013817,0.03255096637060396,0.0016107134260019745,0.04611159116369818,0.03486141038874687,0.05077985057277815,0.03517944152812822,0.08628563914263887,0.08544934309788511,0.05294279927906151,0.08717993882279311,0.028290174836317364,0.03713886108983325,0.01924452211514017,0.026203238193663336,0.03885581150143239,0.05571388395530755,0.04951793746443583,0.0377609934382605,0.04807032381369205,0.1033958511315859,0.04040722324886799,0.015349723393956174,0.02978847665005248,0.056937837810362796,0.0271233353411592,0.023815110968408243,0.08919764938833229,0.032293889013001426,0.029022945807950024,0.015246435303416983,0.020153891643849273,0.04547047762906389
23,'ElectricPiano',2,0.03584032232793012,0.0459318701463125,0.0648402035512505,0.0429529550618506,0.019415119261423436,0.03835894835274261,0.0,0.03413806651658633,0.03983608281877851,0.018502212106635652,0.03937402352822529,0.08992325171559351,0.0652564868291176,0.07003310596936473,0.06354794975676391,0.04346148960909477,0.05799977635198291,0.04921689612021879,0.0460195239861124,0.04446126330932071,0.014418591835364048,0.0468598159881837,0.04559550101429082,0.09401211700834851,0.11591685460491756,0.15078580621228269,0.2749619500437626,0.8550511600811612,0.07536289033005718,0.015182277970796743,0.03730252381338498,0.029913739241459902,0.03674823492674063,0.024610653717310582,0.03149966169199368,0.047418101876024965,0.04299741971886021,0.0479410903079124,0.08208759440113193,0.05599332943465767,0.08381819012603992,0.010073413111770013,0.03377532355677886,0.021374659862661478,0.012761305419111217,0.045551492209497314,0.052337897024463696,0.0461417892496665,0.03438484522349117,0.04469417559892272,0.10003410243483273,0.016444125902428133,0.024649321345246094,0.026426727953299287,0.053561689595593466,0.02511102278013388,0.0159412705718896,0.06179634165654032,0.03714501918850568,0.029354823736995984,0.02379112803411061,0.01952835545827548,0.01330278459605797
23,'ElectricPiano',3,0.04342481581591228,0.05423425323086333,0.07242469703923267,0.04991234985217264,0.05355318577800977,0.004222744791228969,0.03413806651658633,0.0,0.005699879257264875,0.05264027862322198,0.00523781996671165,0.09750774520357568,0.06392982149642779,0.07761759945734688,0.0688870884672688,0.05104598309707692,0.05603473673285612,0.04535748700782932,0.03962251086219588,0.05204575679730287,0.03902095244028057,0.05444430947616585,0.0423414102596322,0.10159661049633067,0.12349948513782703,0.15837029970026484,0.2825445805766721,0.8626337906140708,0.04122668676854355,0.040741536672140546,0.044887017301367134,0.03676466793691969,0.002612031365226995,0.04188884637246921,0.03908415517997584,0.055002595364007124,0.03940218631935719,0.08207915682449872,0.08967208788911409,0.057165544070290474,0.09140268361402208,0.024067430045088396,0.041359817044761014,0.023467266906369143,0.0219967558755232,0.04307855629266136,0.059922390512445856,0.05372441978257597,0.041967475756400634,0.052276806131832186,0.10761859592281488,0.0361895231926611,0.019572468185185144,0.03401122144128145,0.06114432012850293,0.03133468610909246,0.019608628650268106,0.08498137391267296,0.0365166338042304,0.03323283272682564,0.012914524549133687,0.015947409325709132,0.04126399531092376
23,'ElectricPiano',4,0.0377249365586474,0.059928456168598536,0.06672481778196779,0.044212470594907766,0.059247388715744975,0.0014877206195950665,0.03983608281877851,0.005699879257264875,0.0,0.058334481560957184,0.0004898742736345811,0.09180786594631081,0.05822994223916291,0.07191772020008201,0.06318720921000393,0.045346103839812045,0.05033758796282367,0.03965760775056445,0.033922631604931,0.046345877540037994,0.044715155378015785,0.04874443021890098,0.03664153100236733,0.0958967312390658,0.11780528220009183,0.15267288253069686,0.2768503776389369,0.8569395876763356,0.03552680751127867,0.04643573960987576,0.04214221504478702,0.031064788679654814,0.00308784789203788,0.04758872562973409,0.03338427592271097,0.04930271610674225,0.03370230706209232,0.08777335976223392,0.08397220863184922,0.051465664813025606,0.0857028043567572,0.029767309302353273,0.03565993778749614,0.018484575145367825,0.027690958813258403,0.03737867703539648,0.05422616333571248,0.04803021684484077,0.03627327281866543,0.04658260319409698,0.10191871666555001,0.0418843577149039,0.01625772302478178,0.028311342184016573,0.05545011719076773,0.025635614721564132,0.02530283158800331,0.09067557685040817,0.03081675454696552,0.027535225188354964,0.016734155923012053,0.02164161226344434,0.04695819824865896
23,'ElectricPiano',5,0.049686649072655596,0.047796964121250986,0.06296226587186982,0.06144232346404407,0.017061187672272247,0.05684831675493607,0.018502212106635652,0.05264027862322198,0.058334481560957184,0.0,0.05786339193041875,0.08804531403621284,0.08374585523131106,0.0790454193529363,0.08203731815895736,0.04295440772232282,0.07650090558139401,0.06770626452241225,0.06450889238830586,0.04258332562994003,0.016283685810302536,0.050831346176387925,0.06408486941648427,0.09213921240869631,0.11405176062997908,0.1489193609605841,0.2730968560688241,0.8531860661062227,0.09385225873225063,0.013304340291416058,0.035424586134004295,0.04841059505499266,0.055248915836620484,0.022745559742372093,0.0372116614027865,0.06099568122305068,0.06148678812105366,0.029438878201276747,0.09913197012444343,0.07448269783685113,0.0843378046552329,0.028575625218405665,0.04667389501425919,0.03986402826485493,0.03125067382130467,0.06404086061169077,0.050472641765599735,0.053024287378680555,0.049222530704107516,0.04758834531669887,0.09815616475545204,0.016450755430560886,0.04313868974743954,0.035211167305044,0.051696595620654984,0.043610229392049095,0.03443063897408305,0.05992664132110487,0.05563438759069913,0.047855494197968855,0.042280496436304056,0.03801772386046893,0.015167878570996454
