% Distances between instruments for pitch 96 (C7)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
23,'ElectricPiano',1,0.0,0.0339770947173378,0.010518611004091094,0.05916284553264373,0.04794165899568045,0.031592505005905165,0.02025697658291501,0.030832999465211064,0.040946953918393085,0.025469725828508736,0.024667464945479712,0.053903372265791206,0.04192519187813041,0.020495670472451728,0.03618760239909461,0.014068718015326281,0.020572962713444182,0.04050365855055168
23,'ElectricPiano',2,0.0339770947173378,0.0,0.023464452412018184,0.02518575081530593,0.06075351385044073,0.04440435986066544,0.033068831437675285,0.06480887548399245,0.006971077899611713,0.023964367455353335,0.03748053849879642,0.01992749624700983,0.007949315859349038,0.030371682047452928,0.0342857318923969,0.02019121101250393,0.01867212421923801,0.0075878827847627285
23,'ElectricPiano',4,0.010518611004091094,0.023464452412018184,0.0,0.048644234528552634,0.05845308260244364,0.04210392861266835,0.0307684001896782,0.04134442307197426,0.030435530311629894,0.021663936207356252,0.03518607594957081,0.04339194865902801,0.03141376827136722,0.02807125079945584,0.03198530064439982,0.017335073426490804,0.016371692971240928,0.029985047546460582
23,'ElectricPiano',5,0.05916284553264373,0.02518575081530593,0.048644234528552634,0.0,0.06364280715869543,0.05492681272951824,0.05668665044672189,0.08998547079731774,0.024236698170323697,0.033724477158215214,0.03622326060352046,0.00527071871599345,0.017258426312097497,0.04018249264327448,0.023657527880109764,0.045246012880825824,0.038858821157053004,0.018659186982092058
25,'Flute',7,0.04794165899568045,0.06075351385044073,0.05845308260244364,0.06364280715869543,0.0,0.01847528829938559,0.02768468241276544,0.027517959552817314,0.06772459175005244,0.036789146395087395,0.027552819525805194,0.05851550153738338,0.05812081912777922,0.030721853471875255,0.039985279278585674,0.04111800917595285,0.04208138963120272,0.053165631065678
25,'Flute',8,0.031592505005905165,0.04440435986066544,0.04210392861266835,0.05492681272951824,0.01847528829938559,0.0,0.011335528422990154,0.03836008829160481,0.05137543776027715,0.021202335571303032,0.018836825096627995,0.04979950710820618,0.04177166513800393,0.014744320086243759,0.031269284849408475,0.024768855186177552,0.02573223564142743,0.03681647707590271
26,'Fujara',1,0.02025697658291501,0.033068831437675285,0.0307684001896782,0.05668665044672189,0.02768468241276544,0.011335528422990154,0.0,0.033462557699214794,0.040039909337287,0.02296217328850667,0.020596662813831636,0.051559344825409824,0.039581164437749033,0.017855738037910927,0.03354766996455381,0.013433326763187403,0.01793303027890338,0.03805765554428669
36,'Piano',6,0.030832999465211064,0.06480887548399245,0.04134442307197426,0.08998547079731774,0.027517959552817314,0.03836008829160481,0.033462557699214794,0.0,0.07177995338360416,0.05629235109318273,0.05377368971942409,0.08473637173100228,0.07275819134334148,0.05131829573712573,0.06701022766376862,0.04489134328000027,0.05139558797811818,0.07132628381522567
36,'Piano',7,0.040946953918393085,0.006971077899611713,0.030435530311629894,0.024236698170323697,0.06772459175005244,0.05137543776027715,0.040039909337287,0.07177995338360416,0.0,0.030935445354965046,0.04444929237476195,0.024092616434083558,0.009605766082788778,0.03734275994706464,0.04125680979200862,0.02716228891211564,0.025643202118849726,0.014558960684374442
36,'Piano',8,0.025469725828508736,0.023964367455353335,0.021663936207356252,0.033724477158215214,0.036789146395087395,0.021202335571303032,0.02296217328850667,0.05629235109318273,0.030935445354965046,0.0,0.013678477444507344,0.02859717153690315,0.02133167273269182,0.0064580154850592715,0.010717876570585873,0.011521535722610608,0.005529824119888557,0.016376484670590604
