% Distances between instruments for pitch 30 (F#1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 44 (Tanbur), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
6,'Bass',1,0.0,0.026365320656915176,0.025002586959496493,0.08033262040668579,0.08146728796356152,0.0813433825434597,0.08011293536965959,0.07865021885472477,0.12335706360434245,0.07857945887507652,0.07009673700894939,0.03911827704450889,0.07890770407659353,0.08168995358688026,0.060946016606845864,0.049436168883378394,0.049920903170747676,0.05466483122222382,0.030535531901740184,0.04570478153867865,0.05744565961625967,0.05764232659701644,0.041374858964173304,0.0646210459051012,0.05552385410282831,0.20513358846524962,0.22022672725028025,0.19086121530844533,0.07223589670934392,0.038712797412549245,0.07516654252540361,0.05707225162568765,0.04280652366697926,0.017009619485753164,0.0275374054629897,0.032565085574708864
6,'Bass',2,0.026365320656915176,0.0,0.03933676255828765,0.09454440098446816,0.09567906854134389,0.09555516312124207,0.09432471594744196,0.09286199943250713,0.09700434885939724,0.09279123945285889,0.08430851758673176,0.05333005762229126,0.0931194846543759,0.09590173416466263,0.07515779718462823,0.06364794946116076,0.06910361566887413,0.028299510565308637,0.025373873604954574,0.05991656211646102,0.07165744019404204,0.0718541071747988,0.05840021156292164,0.07883282648288358,0.06973563468061068,0.1887014857172811,0.1989448113435873,0.1644958946515301,0.08644767728712631,0.028476775058946534,0.04880122186848843,0.07128403220347002,0.05729967302631434,0.03122140006353553,0.043620642140866,0.019952422661391928
13,'Contrabassoon',1,0.025002586959496493,0.03933676255828765,0.0,0.05533003344718929,0.056464701004065025,0.0563407955839632,0.0551103484101631,0.053647631895228275,0.13487082778704437,0.05357687191558003,0.04509415004945289,0.029736347995916013,0.053905117117097036,0.05668736662738377,0.03594342964734937,0.024433581923881894,0.03134692585026582,0.06617859540492572,0.0420492960844421,0.020702194579182154,0.03244307265676318,0.03263973963751994,0.020643521744313335,0.039618458945604715,0.030521267143331813,0.2280149280744379,0.238281573901875,0.20325974042791958,0.047233309749847435,0.050226561595251164,0.08668030670810552,0.032069664666191156,0.017962910468026703,0.013951069209511502,0.0058639523222576975,0.044078849757410776
21,'ElectricBass',1,0.08033262040668579,0.09454440098446816,0.05533003344718929,0.0,0.0011594887779858667,0.0010107621367739063,0.0002196850370262006,0.0016824015519610223,0.16546173977833786,0.0017531615316092734,0.0102358833977364,0.04603568606472672,0.0014249163300922585,0.0013621611576969323,0.03447127091971346,0.030922284596455473,0.03041171723593812,0.09178551897460709,0.06920352982404715,0.03464200116297653,0.02288696079042612,0.022721458942977366,0.03896188644961258,0.015711574501584582,0.024822723813415815,0.28324588670174927,0.29343540018306513,0.2584107641938696,0.008115963169959954,0.06661263034038604,0.10297964477691623,0.028605270309353985,0.037526096739706534,0.06332300092093263,0.052795214943696094,0.07459197832307624
21,'ElectricBass',2,0.08146728796356152,0.09567906854134389,0.056464701004065025,0.0011594887779858667,0.0,0.00015877595129528508,0.001354352593901927,0.0028365365450195965,0.16659640733521358,0.002887829088485,0.011390393724170778,0.044901018507851,0.002559583886967985,0.00022266562331874884,0.033336603362837745,0.03208177337444134,0.03156124302664629,0.09294500775259296,0.07036301860203302,0.03580148994096239,0.02404609646003582,0.023880947720963233,0.04012137522759845,0.01684624205846031,0.025982212591401686,0.284380554258625,0.29459208644581086,0.2595702529718555,0.009275451947945821,0.06723240949849107,0.1018449772200405,0.027470602752478257,0.03866076429658225,0.06445766847780836,0.05393444642209428,0.07574601354604497
21,'ElectricBass',3,0.0813433825434597,0.09555516312124207,0.0563407955839632,0.0010107621367739063,0.00015877595129528508,0.0,0.001230447173800107,0.0026931636887349286,0.16647250191511176,0.0027639236683831797,0.011246645534510309,0.04502492392795282,0.0024356784668661652,0.0003614483310063507,0.033467784308212824,0.031922997423146054,0.031422479372712024,0.09278623180129768,0.07020424265073773,0.03564271398966711,0.023897722927200025,0.02372217176966795,0.039968523579286395,0.01672233663835849,0.0258234366401064,0.2842566488385232,0.29444616231983906,0.25941840181893705,0.009116675996650536,0.06710850407838925,0.10196888264014232,0.027594508172580075,0.03853685887648044,0.06433376305770654,0.053805977080470004,0.07560274045985015
21,'ElectricBass',4,0.08011293536965959,0.09432471594744196,0.0551103484101631,0.0002196850370262006,0.001354352593901927,0.001230447173800107,0.0,0.0015034530841028495,0.16524205474131165,0.0015334764945830724,0.010057310263254031,0.04625537110175293,0.001205231293066058,0.0015770182172206758,0.03469095595673967,0.03074868991352459,0.03022815956572954,0.09161192429167621,0.06902993514111627,0.03446840648004564,0.02271301299911908,0.022547864260046485,0.0387882917666817,0.015491889464558381,0.024649129130484938,0.2830262016647231,0.2932590029848941,0.2582371695109387,0.007942368487029075,0.06678622502331692,0.10319932981394243,0.028824955346380184,0.037306411702680335,0.06311750764635898,0.05260136296117753,0.07441293008512823
21,'ElectricBass',5,0.07865021885472477,0.09286199943250713,0.053647631895228275,0.0016824015519610223,0.0028365365450195965,0.0026931636887349286,0.0015034530841028495,0.0,0.16377933822637683,7.075997964825089e-05,0.008553857179151182,0.04771808761668775,0.0002985683751518922,0.003039734732155498,0.03615367247167449,0.029245236829421744,0.0287293156839771,0.09010847120757337,0.06752648205701342,0.0329649533959428,0.02120955991501623,0.021044411175943637,0.03728483868257885,0.01402917294962356,0.023145676046382086,0.2815634851497883,0.2917555499007913,0.2567337164268359,0.006438915402926224,0.06828967810741977,0.10466204632887725,0.030287671861315004,0.03584369518774551,0.0616405993689716,0.05111281339173507,0.07290957677111522
21,'ElectricBass',6,0.12335706360434245,0.09700434885939724,0.13487082778704437,0.16546173977833786,0.16659640733521358,0.16647250191511176,0.16524205474131165,0.16377933822637683,0.0,0.16370857824672858,0.1614702913742404,0.12424739641616095,0.16403682344824558,0.16681907295853235,0.14607513597849794,0.1426578815207216,0.16610796452827137,0.07370891676987783,0.09629121239882427,0.1528622978825934,0.14257477898791174,0.1427714459686685,0.1554045604223189,0.16690455996785603,0.1601770966240109,0.11778414692341144,0.12804007846168758,0.09301824498773219,0.15935534959801545,0.09938150794084626,0.0807036894114224,0.1422013709973397,0.14662033503210925,0.12095708055809051,0.14062499100026324,0.09086976145526161
21,'ElectricBass',7,0.07857945887507652,0.09279123945285889,0.05357687191558003,0.0017531615316092734,0.002887829088485,0.0027639236683831797,0.0015334764945830724,7.075997964825089e-05,0.16370857824672858,0.0,0.008524303523946761,0.047788847596336004,0.0003282452015170146,0.0031104947118037484,0.03622443245132274,0.029215683174217324,0.028695152826422276,0.09007891755236895,0.067496928401809,0.03293539974073837,0.02118000625981181,0.021014857520739217,0.03725528502737443,0.013958572117562386,0.023116122391177666,0.28149272517014,0.29172599624558687,0.2567041627716315,0.006409361747721806,0.0683192317626242,0.10473280630852551,0.030358431840963252,0.03577293520809726,0.061584500907051705,0.05106835622187026,0.07287992334582095
23,'ElectricPiano',1,0.07009673700894939,0.08430851758673176,0.04509415004945289,0.0102358833977364,0.011390393724170778,0.011246645534510309,0.010057310263254031,0.008553857179151182,0.1614702913742404,0.008524303523946761,0.0,0.056271569462463124,0.008852425554303074,0.011593216577930875,0.04470715431744987,0.02069137965027056,0.02017583383820172,0.09271381687147284,0.06858451755098921,0.024411096216791616,0.02336688096086914,0.01993885100627799,0.028730981503427667,0.005475691103848181,0.014591818867230906,0.27301000330401287,0.28320169272164014,0.2481798592476847,0.0021391597003945387,0.07684353528657095,0.11321552817465264,0.03884115370709038,0.02729021334197013,0.053087117523196226,0.04255933154595969,0.07061454632742353
23,'ElectricPiano',2,0.03911827704450889,0.05333005762229126,0.029736347995916013,0.04603568606472672,0.044901018507851,0.04502492392795282,0.04625537110175293,0.04771808761668775,0.12424739641616095,0.047788847596336004,0.056271569462463124,0.0,0.04746060239481898,0.04467835288453225,0.021849463164899333,0.03742968377002039,0.0609142271522203,0.05054667822505776,0.027964689074497822,0.047644435224295234,0.03290468850159398,0.036339386202120724,0.05019673505189002,0.06174726056631131,0.0549594387511238,0.2420315433395724,0.25222105682088825,0.2171932963199862,0.05413240976206859,0.024883398579438446,0.056945725239132626,0.017953974581178762,0.04148585524098091,0.022108657558755723,0.03544154793652216,0.03337763496089933
23,'ElectricPiano',3,0.07890770407659353,0.0931194846543759,0.053905117117097036,0.0014249163300922585,0.002559583886967985,0.0024356784668661652,0.001205231293066058,0.0002985683751518922,0.16403682344824558,0.0003282452015170146,0.008852425554303074,0.04746060239481898,0.0,0.002782249510286734,0.03589618724980573,0.02954380520457363,0.029023274856778584,0.09040703958272527,0.06782505043216532,0.033263521771094685,0.021508128290168117,0.02134297955109553,0.03758340705773074,0.014286694147918699,0.02344424442153398,0.28182097037165704,0.2920541182759432,0.25703228480198775,0.006737483778078117,0.06799110973226788,0.1044045611070085,0.030030186639446243,0.03610118040961427,0.06191262293740802,0.051396478252226575,0.07320804537617727
23,'ElectricPiano',4,0.08168995358688026,0.09590173416466263,0.05668736662738377,0.0013621611576969323,0.00022266562331874884,0.0003614483310063507,0.0015770182172206758,0.003039734732155498,0.16681907295853235,0.0031104947118037484,0.011593216577930875,0.04467835288453225,0.002782249510286734,0.0,0.03311393773951899,0.0322844457541524,0.031769050416132594,0.09314768013230403,0.07056569098174408,0.03600416232067346,0.024248768839746887,0.024083620100674302,0.04032404760730951,0.017068907681779058,0.02618488497111275,0.28460321988194376,0.294794758825522,0.25977292535156654,0.009478124327656887,0.06745507512180983,0.10162231159672176,0.027247937129159506,0.03888342991990101,0.0646803341011271,0.054152548123890566,0.07594931150327071
23,'ElectricPiano',5,0.060946016606845864,0.07515779718462823,0.03594342964734937,0.03447127091971346,0.033336603362837745,0.033467784308212824,0.03469095595673967,0.03615367247167449,0.14607513597849794,0.03622443245132274,0.04470715431744987,0.021849463164899333,0.03589618724980573,0.03311393773951899,0.0,0.0258869922275695,0.04934981200720704,0.0723961413899571,0.04981415223939715,0.03609140858944129,0.021340273356580727,0.024796694659669827,0.0386336711291668,0.05018284542129805,0.043406207330858815,0.26385928290190935,0.2740487963832252,0.2390213866092196,0.042584460304863354,0.04671113814177542,0.06850837385720278,0.005890955108192005,0.029921440095967654,0.0439363971210927,0.03340861114385616,0.055205374523236296
23,'ElectricPiano',6,0.049436168883378394,0.06364794946116076,0.024433581923881894,0.030922284596455473,0.03208177337444134,0.031922997423146054,0.03074868991352459,0.029245236829421744,0.1426578815207216,0.029215683174217324,0.02069137965027056,0.03742968377002039,0.02954380520457363,0.0322844457541524,0.0258869922275695,0.0,0.023485879067975553,0.07387059549325448,0.04974129617277084,0.010216087140050486,0.008035676914405513,0.008206157713638048,0.01276838696764527,0.024318912482066555,0.017531090666879048,0.2523494351784419,0.26253894865975774,0.22751118815885574,0.022806321426495513,0.05803112543305214,0.09437540900915302,0.01999793232887201,0.006629645216399127,0.03242654939762523,0.021898763420388687,0.05180213647390471
29,'Kantele',1,0.049920903170747676,0.06910361566887413,0.03134692585026582,0.03041171723593812,0.03156124302664629,0.031422479372712024,0.03022815956572954,0.0287293156839771,0.16610796452827137,0.028695152826422276,0.02017583383820172,0.0609142271522203,0.029023274856778584,0.031769050416132594,0.04934981200720704,0.023485879067975553,0.0,0.09735647456123002,0.07322717524074639,0.013269791927925068,0.028009538650626317,0.024581508696035165,0.010717492100330281,0.014736580708859887,0.005954788401096503,0.25283416946581116,0.2630308434191646,0.23355285864745154,0.022314993538596256,0.08148120844060193,0.11785818586440981,0.04348381139684756,0.019756392365744863,0.04515088397018086,0.02548297352800813,0.07525672891371507
34,'Organ',1,0.05466483122222382,0.028299510565308637,0.06617859540492572,0.09178551897460709,0.09294500775259296,0.09278623180129768,0.09161192429167621,0.09010847120757337,0.07370891676987783,0.09007891755236895,0.09271381687147284,0.05054667822505776,0.09040703958272527,0.09314768013230403,0.0723961413899571,0.07387059549325448,0.09735647456123002,0.0,0.024129605798870135,0.08408668263330495,0.0693469359106037,0.07277496586519486,0.08663898246089974,0.09818950797532101,0.09140168616013351,0.19149306369328925,0.2016825771746051,0.1666548166737031,0.09057465717107831,0.02577450770931591,0.020511676408897544,0.06849742191096636,0.07792810264999063,0.05222752619541423,0.07188379534553187,0.02209974564751495
34,'Organ',2,0.030535531901740184,0.025373873604954574,0.0420492960844421,0.06920352982404715,0.07036301860203302,0.07020424265073773,0.06902993514111627,0.06752648205701342,0.09629121239882427,0.067496928401809,0.06858451755098921,0.027964689074497822,0.06782505043216532,0.07056569098174408,0.04981415223939715,0.04974129617277084,0.07322717524074639,0.024129605798870135,0.0,0.05995738331282133,0.046316922141997195,0.048645666544711225,0.0625096831404161,0.0740602086548374,0.06727238683964988,0.21407535932223568,0.22426487280355153,0.18923711230264958,0.06644535785059467,0.008296998631666797,0.044641282207767675,0.04591543276040642,0.05379880332950699,0.028098226874930594,0.04775449602504824,0.005421450943562645
34,'Organ',3,0.04570478153867865,0.05991656211646102,0.020702194579182154,0.03464200116297653,0.03580148994096239,0.03564271398966711,0.03446840648004564,0.0329649533959428,0.1528622978825934,0.03293539974073837,0.024411096216791616,0.047644435224295234,0.033263521771094685,0.03600416232067346,0.03609140858944129,0.010216087140050486,0.013269791927925068,0.08408668263330495,0.05995738331282133,0.0,0.014754262126046795,0.011937545058337789,0.00432992257450534,0.018976827623175988,0.009819277349560706,0.2486180478337421,0.258807561315058,0.22377980081415597,0.02653111517066528,0.06823554179492393,0.10458839393648474,0.030214019468922493,0.006510725720066873,0.031905217324502876,0.01816737607568895,0.06200655283577652
