% Distances between instruments for pitch 92 (G#6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
15,'DallapeAccordion',1,0.0,0.04550262924293993,0.01961078006588107,0.04199727399361545,0.047301013180090175,0.054249768799268294,0.04621957195182689,0.03890589689142733,0.013998204492884822,0.07419741640889395,0.025770458125679588,0.02871516774355588,0.03958513466267222,0.03481604320091475,0.023243888813838768,0.03558854364114696,0.036177778943019656,0.024954665078333983,0.0210714284284305,0.02195056408414083
23,'ElectricPiano',1,0.04550262924293993,0.0,0.05592692616244788,0.0035053552493244772,0.09259432014158415,0.04256826362440999,0.03381443336602807,0.03412275715102406,0.04859714840033814,0.02873117018291181,0.030063521037241775,0.016787461499384055,0.03508722930519833,0.01068658604202518,0.027536951725400955,0.031295480729584775,0.039371477485372015,0.020864427822992748,0.024757426326790444,0.05392862857399603
23,'ElectricPiano',2,0.01961078006588107,0.05592692616244788,0.0,0.05242157091312341,0.036671274434773395,0.06487950754458509,0.05684931069714367,0.04953563563674412,0.03360898455876589,0.08465421588972259,0.04517579636575183,0.039282845198287106,0.032797219066506324,0.04526905432198263,0.042649227053911005,0.04508043642126961,0.017135476699284783,0.03558440382365077,0.03170116717374728,0.04145923509811126
23,'ElectricPiano',4,0.04199727399361545,0.0035053552493244772,0.05242157091312341,0.0,0.08909026986098657,0.04607231390500757,0.03731848364662565,0.03762680743162164,0.04509179315101366,0.03223522046350939,0.026559470756644197,0.018609881518105567,0.03859127958579591,0.007181230792700703,0.024032901444803374,0.03479953101018236,0.035866122236047536,0.017359072573668272,0.021252071077465972,0.05042327332467156
23,'ElectricPiano',5,0.047301013180090175,0.09259432014158415,0.036671274434773395,0.08909026986098657,0.0,0.10155078197935848,0.09352058513191708,0.08620691007151753,0.05389564719499709,0.12132549032449598,0.06545408568326269,0.0759541196330605,0.06946849350127972,0.08194032875675601,0.06507224958300002,0.081751710856043,0.053806751134058174,0.07225567825842416,0.06837244160852067,0.06174589773434247
25,'Flute',7,0.054249768799268294,0.04256826362440999,0.06487950754458509,0.04607231390500757,0.10155078197935848,0.0,0.01172281147621571,0.015343871907840964,0.060717428268018736,0.021768606672535284,0.07263178466165177,0.02746243238690201,0.03208228847807875,0.053222255009238134,0.07010521534981094,0.01979907112331547,0.047744030845300295,0.033396993911493596,0.03979212625903041,0.06881189062011302
25,'Flute',8,0.04621957195182689,0.03381443336602807,0.05684931069714367,0.03731848364662565,0.09352058513191708,0.01172281147621571,0.0,0.0073136750603995555,0.05196359800963681,0.03276778473781047,0.06387795440326983,0.018708602128520074,0.024052091630637346,0.04446842475085621,0.06135138509142901,0.011768874275874064,0.03971383399785888,0.02464316365311167,0.031038296000648478,0.060058060361731086
26,'Fujara',1,0.03890589689142733,0.03412275715102406,0.04953563563674412,0.03762680743162164,0.08620691007151753,0.015343871907840964,0.0073136750603995555,0.0,0.052362414574026094,0.03534312949891159,0.06418627818826583,0.01901692591351607,0.01673841657023779,0.0447767485358522,0.061659708876425016,0.005818002968435153,0.03272313515241445,0.0252163411150495,0.03162123531648052,0.06036638414672708
28,'JinghuOperaViolin',1,0.013998204492884822,0.04859714840033814,0.03360898455876589,0.04509179315101366,0.05389564719499709,0.060717428268018736,0.05196359800963681,0.052362414574026094,0.0,0.07729193556629216,0.018538495945322975,0.033459159932540554,0.05358333915555704,0.03791056235831296,0.021079570704837222,0.04944464537319352,0.05003388067506622,0.027907081474893933,0.024023844824990443,0.00809446235209427
36,'Piano',6,0.07419741640889395,0.02873117018291181,0.08465421588972259,0.03223522046350939,0.12132549032449598,0.021768606672535284,0.03276778473781047,0.03534312949891159,0.07729193556629216,0.0,0.05879469122015359,0.04548224866533807,0.05185699682321626,0.039385161567739954,0.05626812190831276,0.04116113246734674,0.06806626465132604,0.049559214988946776,0.053452213492744476,0.08262341573995007
36,'Piano',7,0.025770458125679588,0.030063521037241775,0.04517579636575183,0.026559470756644197,0.06545408568326269,0.07263178466165177,0.06387795440326983,0.06418627818826583,0.018538495945322975,0.05879469122015359,0.0,0.04516935227474977,0.06515075034244011,0.019409529652413635,0.0025410747595142505,0.06135900176682655,0.06194823706869925,0.03923479075015817,0.032839658402621354,0.02386997611898087
36,'Piano',8,0.02871516774355588,0.016787461499384055,0.039282845198287106,0.018609881518105567,0.0759541196330605,0.02746243238690201,0.018708602128520074,0.01901692591351607,0.033459159932540554,0.04548224866533807,0.04516935227474977,0.0,0.020124179223016483,0.02575982262233613,0.042642782962908944,0.016189649492076786,0.02258401598598796,0.006313086473563955,0.012717980674994975,0.041349458233211005
36,'Piano',9,0.03958513466267222,0.03508722930519833,0.032797219066506324,0.03859127958579591,0.06946849350127972,0.03208228847807875,0.024052091630637346,0.01673841657023779,0.05358333915555704,0.05185699682321626,0.06515075034244011,0.020124179223016483,0.0,0.04576933551168926,0.06262418103059929,0.012283217354763282,0.01624117100953332,0.026437265696580437,0.03284215989801146,0.0614335896949024
36,'Piano',10,0.03481604320091475,0.01068658604202518,0.04526905432198263,0.007181230792700703,0.08194032875675601,0.053222255009238134,0.04446842475085621,0.0447767485358522,0.03791056235831296,0.039385161567739954,0.019409529652413635,0.02575982262233613,0.04576933551168926,0.0,0.016882960340572812,0.04194947211441291,0.04253870741628562,0.019825261097744535,0.014070840284765268,0.04324204253197086
