% Distances between instruments for pitch 85 (C#6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 4 (BanjoFramus), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 41 (Shakuhachi), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
3,'Bandura',1,0.0,0.08186889807456027,0.02011596298355303,0.007820651263559802,0.0658990553997467,0.03796834726114497,0.04101759559024178,0.04527051427146169,0.029517748519752335,0.033940154937291835,0.04085324998679818,0.14051377385893804,0.014313521836322821,0.03492332816615825,0.027357788907128547,0.024068311698551392,0.025724931208500085,0.018500501844317136,0.013052466278938154,0.013723519147002749,0.03800521737418898,0.015520756350526547,0.005829253236369208,0.06831997632505094,0.06904547771329611,0.09138772282993309,0.1549828902056026,0.8668116036265331,0.02548349337905793,0.05201880651457961,0.03124012549517328,0.008086326903221065,0.03648348965274009,0.05534314193573248,0.0132759159062236,0.005920765492014142,0.007153384091706742,0.08180070392003307,0.03333784384954885,0.014590361158620052,0.012676833416784022,0.03327226544385261,0.0378367141033526,0.03884770713400051,0.01811763187928826,0.022577262514475935,0.00362016383134835,0.04534716917140058,0.021210705223017323,0.015601281200769512,0.03634959201342416,0.013855179015232118,0.02195292210564989,0.028400940257060626,0.015581611249716375,0.030314515417076877,0.003527246970102318,0.033575129234862215,0.06732057111058534,0.015751256893624537,0.09412788924331565,0.02915990280606706,0.02832259406629396,0.04949168918533058
4,'BanjoFramus',1,0.08186889807456027,0.0,0.08391088131391895,0.08767224444949075,0.016464685019099364,0.06519717921680328,0.04097074643820012,0.05790283592421234,0.07364130159366168,0.048032246405265204,0.062287624147128906,0.22231185408318463,0.09611160206056939,0.10216732528093803,0.10241422426026998,0.10593720977311166,0.09910113810520849,0.08220799498591634,0.09492136435349845,0.08754917549897667,0.044372593329425065,0.08481658578578082,0.07659286986221732,0.1249499688726925,0.12567547026093767,0.14801771537757466,0.23678097042984914,0.9486096838507797,0.08211348592669951,0.051154763047518335,0.08568117071554386,0.07391667226842964,0.066691999736286,0.02689561999362489,0.08391463842182946,0.08778966356657442,0.07568174110600107,0.042558138897982316,0.11513592407379541,0.07154687196685816,0.08461061675053594,0.10444599129732089,0.04687222040744846,0.10994578364899671,0.06385786248863588,0.05981634440993008,0.08304923546664993,0.1239435926239531,0.10300878544726388,0.0664123283697897,0.07957416699526051,0.06807198457400117,0.09910768891513966,0.05401345616294548,0.0765886056334782,0.11211259564132343,0.08423970136487215,0.0753413472503472,0.10788713631320364,0.06896608899717856,0.12720633986935173,0.05317092771803215,0.05471505323305717,0.032389043470329455
12,'Clarinet',1,0.02011596298355303,0.08391088131391895,0.0,0.02793661424711283,0.06801185648941911,0.03998191816164759,0.0430311664907444,0.04728408517196431,0.03702804184040334,0.03595372583779446,0.042866820887300795,0.13840097276926566,0.020384602490150273,0.05494006096054149,0.04737969859663375,0.02205474079804877,0.04574166400288333,0.038616464827870164,0.014053808531227228,0.006432842860939457,0.040118018463861385,0.004674455406140504,0.022539874027278282,0.08833670911943418,0.08906221050767936,0.11140445562431635,0.15287008911593017,0.8646988025368607,0.045500226173441176,0.05403237741508224,0.011124162511620253,0.017605467080264465,0.038497060553242715,0.05735671283623511,0.007822296260752329,0.02374569275309174,0.022867512382854182,0.06168474093648004,0.04323799205380468,0.012445195829219017,0.032792796400337054,0.05338822842740565,0.03715344912393075,0.026034902335077742,0.02013120277979088,0.024690063604148337,0.01649579915220468,0.04003271131003414,0.01909790413334492,0.01761485210127213,0.01623362902987113,0.015967980104904526,0.015196807601220682,0.030513741346733028,0.03569757423326941,0.02820171432740447,0.01670787930132939,0.013558396440478971,0.04720460812703231,0.01607815418676773,0.07401192625976262,0.03127270389573946,0.030435395155966365,0.05152183784358951
12,'Clarinet',2,0.007820651263559802,0.08767224444949075,0.02793661424711283,0.0,0.07120755943039138,0.043771693636075436,0.04682094196517225,0.051073860646392154,0.035321094894682804,0.0397435013122223,0.04665659636172864,0.13691499853579395,0.010714746513178724,0.02930724795438482,0.021741708695355116,0.02003575045876575,0.020108850996726654,0.011596895336992903,0.013882805715885604,0.021503771386173376,0.04494358042018857,0.023341407614086346,0.011079374587273427,0.0627038961132775,0.06342939750152267,0.08577164261815967,0.15138411488245848,0.863212828303389,0.026856393729369724,0.057822152889510085,0.03906077675873309,0.013889673278151533,0.04228683602767056,0.061146488310662946,0.020114317986360503,0.004190921494021089,0.011990503343489672,0.08962135518359288,0.02973906852640475,0.022411012422179855,0.007038984865465697,0.027167117021125575,0.045657365366912395,0.046668358397560304,0.023920978254218725,0.02785590003956066,0.01144081509490815,0.053167820434960385,0.017611929899873226,0.02140462757569998,0.044170243276983955,0.019600259875489582,0.02977357336920969,0.03365878828654526,0.01108363881601253,0.02671574009393278,0.01134789823366212,0.040612767653006594,0.07514122237414515,0.02250936413747072,0.10194854050687545,0.03450131673145859,0.03295719121643357,0.055295035560261045
15,'DallapeAccordion',1,0.0658990553997467,0.016464685019099364,0.06801185648941911,0.07120755943039138,0.0,0.05801052844202939,0.030244436794968497,0.05071618514943846,0.0664546508188878,0.03456948694833497,0.055100973372355026,0.20641282925868476,0.08021257723606953,0.08626830045643817,0.08651519943577017,0.08953358118165655,0.08320211328070863,0.06744900127289905,0.07845667933439907,0.07153893379977394,0.027907908310325708,0.06891756096128097,0.06012818484311796,0.11776331809791862,0.1184888194861638,0.1408310646028008,0.22088194560534927,0.9327106590262798,0.07492683515192562,0.04396811227274446,0.069782145891044,0.05801764744392978,0.059505348961512126,0.019708969218851013,0.06744995340273009,0.07132497854747506,0.0592170560869017,0.032852204491451174,0.09923689924929556,0.0556478471423583,0.06861900573617748,0.08798708041155369,0.030973195582948605,0.09404675882449687,0.04795883766413603,0.043351659390830716,0.06715021064215006,0.10804456779945326,0.08710976062276403,0.050513303545289844,0.06367514217076065,0.05204387638451458,0.0832086640906398,0.03754877114384612,0.06466360239702863,0.09621357081682358,0.0683406765403723,0.05887666223124785,0.0919881114887038,0.0525014039780792,0.1113073150448519,0.0424276086534961,0.03825036821395781,0.016490018645829604
23,'ElectricPiano',1,0.03796834726114497,0.06519717921680328,0.03998191816164759,0.043771693636075436,0.05801052844202939,0.0,0.027766091647060887,0.007302167010316721,0.008450598741392633,0.023441041493694418,0.0029095550696743677,0.17827869603040244,0.05220508865731468,0.05820508391255772,0.05849043800312059,0.062036658959696366,0.055075153134850924,0.03830744417250103,0.05102081354008312,0.043648624685561375,0.04619902845484423,0.040808373860395424,0.03269231904880201,0.05977190235449801,0.060478291044134415,0.08284809050339634,0.19274781237706695,0.9045765257979975,0.016916306709896238,0.014050459253434648,0.04171584854386265,0.029883514215647472,0.0014948205194827372,0.03832575522286344,0.04001408760841416,0.043889112753159105,0.03178119029258577,0.0902495102733728,0.07115987404785568,0.02753672233242857,0.04071006593712063,0.06054544048390559,0.04620047568283372,0.06593293581413484,0.01985071538185671,0.02476555886766293,0.039122847468254236,0.07991518720835532,0.05897562739448172,0.022379170317007535,0.04471335359290527,0.024171433760585854,0.055116230536755545,0.021573823399812255,0.03268805482006291,0.06807943758854128,0.04020654331208999,0.042142315904023904,0.07568433269006646,0.025065538183763263,0.10249949792653679,0.015582919788533283,0.02067039996369782,0.05292016549569631
23,'ElectricPiano',2,0.04101759559024178,0.04097074643820012,0.0430311664907444,0.04682094196517225,0.030244436794968497,0.027766091647060887,0.0,0.020471748354469962,0.0362102140239193,0.007077440652949953,0.024868025635922452,0.18134110764498448,0.05525433698641149,0.06125433224165453,0.06153968633221741,0.06508590728879317,0.05813039166700836,0.04135669250159784,0.05407006186917993,0.04669787301465819,0.01843293680778334,0.04385762218949224,0.035741567377898825,0.08752483071607368,0.08824438269119532,0.11060101886497199,0.19581022399164902,0.9076389374125795,0.044682398356957136,0.013723675477775957,0.04476509687295946,0.03294592583022952,0.02926091216654363,0.0143255463454907,0.04306333593751097,0.04693836108225593,0.03483043862168258,0.062483418626311904,0.07420912237695249,0.03058597066152539,0.04375931426621745,0.0635946888130024,0.018447547321258057,0.06898218414323165,0.022899963710953528,0.018965041925611593,0.04217209579735106,0.082972846185753,0.062038039009063774,0.025441581931589585,0.03860342055706039,0.027220682089682674,0.05816547886585236,0.013162153678626989,0.03573730314915972,0.07114184920312333,0.043268954926672036,0.03449004476602872,0.06691638987500353,0.028114786512860077,0.08623559343115163,0.012835366112261886,0.013863750748738685,0.02515407384863542
23,'ElectricPiano',3,0.04527051427146169,0.05790283592421234,0.04728408517196431,0.051073860646392154,0.05071618514943846,0.007302167010316721,0.020471748354469962,0.0,0.015752765751709353,0.01614669820110349,0.004417264284663513,0.18557303932299338,0.0595072556676314,0.06550725092287445,0.06579260501343731,0.06933882597001308,0.06237732014516764,0.04560961118281775,0.05832298055039984,0.0509507916958781,0.03890468516225331,0.04811054087071214,0.039994486059118727,0.06707406936481473,0.06777263433672535,0.09015025751371304,0.20004215566965788,0.9118708690905885,0.024217466917022434,0.006748292243117927,0.04901801555417937,0.03718418736824062,0.008789163812073668,0.031023588212546718,0.04731625461873088,0.05119127976347584,0.03908335730290249,0.08295516698078186,0.0784620410581724,0.034838889342745295,0.04801223294743736,0.0678476074942223,0.038898308672517,0.07323510282445156,0.027152882392173432,0.023217960606831498,0.04642501447857097,0.08721735421867204,0.06626997068707265,0.029673513609598468,0.04283535223506927,0.031473600770902575,0.06241839754707226,0.017415072359846896,0.039990221830379626,0.07537378088113221,0.047500886604680916,0.038742963447248625,0.07114832155301241,0.03236770519407998,0.09520515463394585,0.01657254391493357,0.018116669429958588,0.04562582220310538
23,'ElectricPiano',4,0.029517748519752335,0.07364130159366168,0.03702804184040334,0.035321094894682804,0.0664546508188878,0.008450598741392633,0.0362102140239193,0.015752765751709353,0.0,0.031885163870552825,0.011353677446532774,0.16983457365354404,0.04375448991592204,0.04975448517116509,0.05003983926172797,0.05358606021830373,0.046624554393458285,0.029856845431108392,0.04257021479869049,0.035198025944168744,0.054643150831702646,0.03235777511900279,0.024241720307409374,0.05132130361310538,0.05203416866727601,0.0743974917620037,0.18430369000020855,0.8961324034211392,0.008472184333037832,0.02250105799482728,0.04811584533261376,0.021439391838789068,0.00696574113298776,0.046776353964256064,0.031563488867021525,0.035438514011766474,0.02333059155119313,0.09869363265023119,0.06270927530646303,0.03142125353331216,0.032259467195727996,0.05209484174251294,0.05465107442422635,0.0574823370727422,0.027747224075612448,0.03320968124452133,0.0306722487268616,0.07146631219431253,0.05053150501762332,0.026779881767392832,0.05316395233429791,0.024214119429462125,0.04666563179536291,0.030017945776670663,0.024237456078670273,0.05963531521168287,0.03176242093523158,0.05058643828088231,0.0841349314314591,0.03276256593964463,0.1109436203033952,0.02402704216539169,0.029114522340556226,0.06136428787255472
23,'ElectricPiano',5,0.033940154937291835,0.048032246405265204,0.03595372583779446,0.0397435013122223,0.03456948694833497,0.023441041493694418,0.007077440652949953,0.01614669820110349,0.031885163870552825,0.0,0.020531486424020053,0.17427960767791942,0.04817689633346154,0.05417689158870459,0.05446224567926746,0.05800846663584322,0.05106889169994327,0.03427925184864789,0.04699262121622999,0.03962043236170824,0.022757986961149817,0.03678433938051561,0.028664126724948873,0.08319383114958366,0.08391933253782884,0.10626157765446582,0.1887487240245839,0.9005774374455146,0.04035734820359065,0.018078651577287785,0.037687656220009504,0.025884425863164428,0.024935862013177157,0.021402986998440652,0.035985895284561024,0.039860920429305974,0.027752997968732623,0.06680846877967837,0.06713168172400252,0.02351462556159295,0.036681873613267496,0.056517248160052456,0.022788538160509395,0.0619135372437315,0.015825616083370683,0.011887601272661641,0.0350946551444011,0.0759113462186879,0.05497653904199868,0.018380081964524494,0.031541920589995304,0.02014324143673272,0.0510880382129024,0.006084713025677035,0.03062978719255958,0.06408034923605822,0.03620745495960695,0.027412604113078765,0.05985488990793844,0.021037345859910118,0.07917409346408655,0.008494375273010547,0.006786310095788731,0.029479124002001894
