% Distances between instruments for pitch 78 (F#5)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 4 (BanjoFramus), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 5 (Banjolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 9 (Bouzouki), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 16 (Dilruba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 17 (Domra), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 19 (DungDkarTrumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 24 (Erhu), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 30 (Melodica), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 31 (MorinKhuurViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 41 (Shakuhachi), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 42 (Sitar), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 49 (Ukulele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 52 (Flugelhorn), style 1' NUMERIC

@DATA
3,'Bandura',1,0.0,0.11977030963163453,0.093192784278215,0.04109007203288583,0.02958972174003159,0.05371186245363214,0.031685472055108584,0.023340618082571558,0.021533122990661343,0.05394952788935522,0.06362034356156697,0.023062283725619703,0.014496109384939218,0.10148544724338031,0.04822591040248873,0.1045216685206913,0.07163911124559312,0.07725433210567767,0.058276515201164,0.09170142955790535,0.06753252179554947,0.026345396957398338,0.08807266401990736,0.04825142114759665,0.020459224586863757,0.046668638132970675,0.04424573631781074,0.04816155885402732,0.05070399748368526,0.05014576506775862,0.03031834558870065,0.008225668164284808,0.04043559502836907,0.012943002951999393,0.05789637552243876,0.07713723449896989,0.06849338216779888,0.0665109968456061,0.05733834632597409,0.030095264185272655,0.05138398658692044,0.05348296863371668,0.04549933505215494,0.04393911784145451,0.05786912501337371,0.05160180877070644,0.05102286673296613,0.09001967194491119,0.09207036382171581,0.07710735919661081,0.09307903060441948,0.0653296560323384,0.07112185335871715,0.0864624401546897,0.08594765814878114,0.07702257396377067,0.06660406849038308,0.08893489729782263,0.04231900548491461,0.038075858572034424,0.07594928148065161,0.035669856642002416,0.045325156894522635,0.059765863497924815,0.11031601171241386,0.058843456517886035,0.048450791337717514,0.05269448738634679,0.04807186769755937,0.01966062068895924,0.04552527666785708,0.09361684214571415,0.07856235825639446,0.06148530172221117,0.033209514366049235,0.057246031047817114,0.13169669227253858,0.013173628775525808,0.05717665320098093,0.03618292460526692,0.029234974842826538,0.024297918481089698,0.04605969798360456,0.06483112403902366,0.06682910440858365,0.07777035239995343,0.05821965186465586,0.03759549407047805,0.029414268452152736,0.05864750960510401,0.03548306733533022,0.06277659365659537,0.053297782412046614,0.07671303647988527,0.07553822765501364,0.10635550164249774,0.033017576400000775
4,'BanjoFramus',1,0.11977030963163453,0.0,0.026577525353419524,0.07890651257294502,0.0901922143191664,0.066109080562392,0.08814534712882464,0.09648537601407552,0.09830537569422343,0.10584790067092563,0.05985038041481064,0.09814004684685766,0.1342615793253862,0.025712059172945934,0.07179013996115462,0.015283667971299701,0.04819544560014891,0.04252081916734135,0.06151626373766258,0.02812575352251345,0.0522759909862438,0.09346446529426866,0.03172763085798188,0.07213683890836604,0.12946267703171818,0.09143092753329198,0.07604378473456859,0.08667389008364984,0.08624177775428181,0.08503629876394884,0.09418397334813533,0.11168173948331532,0.07950359233772078,0.10688524835571174,0.06544945539218701,0.04291600608617368,0.06540678889719316,0.05352255522782651,0.06364283282052842,0.08972538744642243,0.06921977832125259,0.0668203705917144,0.07718984957071706,0.08929641711905408,0.065257515389552,0.06857287131025834,0.081050558727027,0.08693307867430546,0.08898377055111008,0.14393175059265806,0.08999243733381375,0.1850999656639729,0.0680304203969239,0.03332701835785371,0.03387384536195803,0.04280127179841087,0.053207754045750406,0.030897487530067266,0.07816294121098441,0.08270080031900691,0.04386862037366812,0.08487172536678327,0.07472800632726978,0.060013625171925954,0.02229657351799851,0.06389515387105901,0.09198184904306271,0.12383603013526663,0.08488582018317521,0.10010968894267529,0.08266279494894176,0.026372876540838613,0.041270556031091976,0.05833371018361364,0.0866222858000022,0.06363169396012305,0.011926382640904057,0.11689732768369078,0.0852720010041413,0.1173712061122692,0.09060096474461012,0.09791199792099466,0.07376143838207568,0.05499540144485502,0.05383931024292638,0.04219753657445979,0.06157033655775184,0.08224461103670609,0.09042652163136744,0.06132403699926031,0.09031532247465945,0.05718838394646297,0.06653043425909444,0.0440399534562733,0.04621979971247612,0.02301772107378314,0.0867713658301174
5,'Banjolin',1,0.093192784278215,0.026577525353419524,0.0,0.052331334399749824,0.0636170361459712,0.03953155520897247,0.061567821775405124,0.06990785066065598,0.07172785034080391,0.0792703753175061,0.03327520224161545,0.07156486867366245,0.10768640115219104,0.05228958452636546,0.04521496178795942,0.011331376753439495,0.021620267426953724,0.015943293813921827,0.03989945584349621,0.0015482281690939242,0.02569846563282428,0.06688693994084913,0.005150105504562355,0.045561660735170845,0.10288515167829866,0.06485340217987245,0.04946625938114907,0.06009636473023031,0.05966659958108662,0.05845877341052932,0.06760879517494013,0.08510656131012012,0.05292841416452559,0.08030772300229223,0.03887427721899181,0.04604032110720412,0.03882926354377363,0.03316439861015948,0.03706765464733321,0.0631478620930029,0.042644600148057404,0.04024519241851921,0.05061467139752187,0.06271889176563455,0.03868233721635681,0.04199769313706315,0.054475380553831824,0.060355553320885935,0.06240624519769056,0.11735422523923851,0.06341491198039423,0.1585224403105534,0.04145524222372871,0.006749493004434192,0.007296320008538508,0.01622374644499134,0.02663022869233088,0.004319962176647739,0.05158776303778922,0.05612562214581172,0.03309017609899927,0.058296547193588066,0.04815282815407459,0.033438446998730754,0.048871751691193704,0.03731997569786382,0.06540432368964318,0.09725850478184711,0.0583082948297557,0.07353216358925575,0.05608761677574656,0.052948054714033806,0.0597921295713477,0.03400227861007151,0.06004476044658267,0.03705651578692787,0.03850390799432358,0.0903221495104956,0.058694475650721785,0.090796027939074,0.0640234393911906,0.07133447256757514,0.04718391302865615,0.028417876091435493,0.02726413206973119,0.02343550607264275,0.03499515838455664,0.055667085683286564,0.06384899627794792,0.034748858826065106,0.06514967847031866,0.030613205773267784,0.039952908905674926,0.017464775283078108,0.01964462153928092,0.049595246427202665,0.060193840476697874
9,'Bouzouki',1,0.04109007203288583,0.07890651257294502,0.052331334399749824,0.0,0.01150035029285424,0.012852905086130155,0.022317382920159706,0.019273524851000604,0.02077753200485959,0.02782404367572852,0.02253027152868113,0.019436314530439997,0.05535506675244121,0.06039537521049446,0.013020936718259976,0.06366271115318932,0.030711066972796103,0.036395374738175675,0.036589443587518304,0.05084247219040335,0.02923710004322284,0.04600432618477168,0.04721370665240537,0.008121746873194226,0.0507824394329695,0.020543153919343984,0.01812025210418404,0.022036074640400628,0.02434739860467473,0.024020280854131937,0.015277460775190316,0.032864403868601025,0.0006544770045167613,0.02820501075696306,0.01680630348955293,0.04250168669680556,0.042367897954172194,0.02962576419976092,0.01624827429308826,0.011045149847673729,0.012988308374275698,0.018401690291951833,0.01914273617314441,0.017813633627827813,0.016779052980487874,0.010511736737820613,0.024666267853955603,0.06389418773128451,0.06594487960808913,0.06525151299390934,0.06695354639079279,0.10641972806522422,0.04497014585845063,0.04560348278718771,0.04508870078127914,0.03616361659626868,0.03016886310272944,0.04807593993032063,0.020035818073720603,0.006262151521297353,0.03509032411314962,0.010133377629051763,0.009120413245059572,0.01889288740101907,0.06945705434491185,0.017753384485000204,0.022325307124090824,0.04515579253651795,0.021946383483932675,0.02898021304906256,0.019285441947598438,0.05275788477821217,0.056482117315369805,0.030692266354093608,0.007942048201253498,0.016155959014931276,0.09081501598784301,0.038172281469121855,0.03105116898735424,0.03853108500228503,0.011920727145861421,0.019231760322245963,0.019874530270310015,0.023972166671521675,0.02573903237569782,0.03670897599848522,0.017336176015193185,0.019871491213738424,0.01174628403261875,0.02152686137969881,0.061839666214340755,0.02171812862648204,0.01455386229390748,0.035622964446999444,0.03444815562212781,0.0653994524537339,0.008091128231368707
10,'Cello',1,0.02958972174003159,0.0901922143191664,0.0636170361459712,0.01150035029285424,0.0,0.024138606832351528,0.019773665739086038,0.016729807669926943,0.018233814823785926,0.030153112310169317,0.03403062182153537,0.007947832527691254,0.04406936500621983,0.0718957255033487,0.018636188662457136,0.07494841289941069,0.04204938950556152,0.047681076484397046,0.03404572640644464,0.06212817393662473,0.037959266174268855,0.043460609003698025,0.05849940839862674,0.01866169940756506,0.03928208914011526,0.022872222553784783,0.02044932073862484,0.024365143274841423,0.026891115785748394,0.026349349488572735,0.006505463890763777,0.029998356096171252,0.01084587328833748,0.01670466046410882,0.02830665378240717,0.04754751275893831,0.04469696658861299,0.03692127510557451,0.0277486245859425,0.004651719594865748,0.021794264846888844,0.023893246893685088,0.02168645335421807,0.02014270226226861,0.02827940327334211,0.022012087030674855,0.027209985035029263,0.06622325636572529,0.06827394824252993,0.053751162701055115,0.06928261502523358,0.09491937777236999,0.047308971660780276,0.056889184533409076,0.05637440252750051,0.047449318342490054,0.037030812869102474,0.05936164167654201,0.017706749439279804,0.008486136832002833,0.046376025859371,0.007804308994610966,0.015735435154491044,0.030178589147240444,0.08074275609113322,0.02925373477785444,0.024654375758531622,0.03365544224366371,0.024275452118373477,0.026436495867988897,0.02171239496992021,0.06404358652443355,0.05393840013429613,0.031912046100930555,0.0036362587447686195,0.027656309307785513,0.10210697053250699,0.026705113364524396,0.03338023762179504,0.02717899179310281,0.003752849162436999,0.007731410029391723,0.01733081308923635,0.035257868417743046,0.037239382668552055,0.048180630659921835,0.02862993012462427,0.01732777403266476,0.0019239788197817989,0.02905778786507242,0.05929594903326709,0.033186871916563776,0.023724526790765994,0.047123314739853685,0.04594850591498204,0.07676577990246614,0.003444320778720159
10,'Cello',2,0.05371186245363214,0.066109080562392,0.03953155520897247,0.012852905086130155,0.024138606832351528,0.0,0.02203626656643266,0.030376295451683532,0.03219629513183144,0.039755632877536216,0.009959114492324424,0.03208643936004278,0.06820797183857136,0.04801035177323317,0.012280338375526252,0.05082541259109228,0.017977882176350574,0.023588261395050634,0.03559526127220868,0.0379895671042732,0.02999012862018742,0.044993060556621646,0.0343814497044101,0.0073811485304605025,0.0633535964693262,0.025355074836928834,0.018866576631520426,0.02277667298313435,0.025369744997181903,0.024760879196865662,0.028130365861320467,0.04562813199650045,0.013449984850905919,0.040776167793319766,0.007937681020014324,0.041761088354071836,0.04311061239593664,0.028885165857027193,0.0036771172567315533,0.02361659826835949,0.01401065476678287,0.019424036684459006,0.02016508256565158,0.02319109030687266,0.004207895944131166,0.006128933920029933,0.02568861424646277,0.06463478607401822,0.06668547795082284,0.07783402872435112,0.06769414473352652,0.11899088510158091,0.045787600872213785,0.03278206220453827,0.03223579569514899,0.023310711510138526,0.030918581925353805,0.03522303484419048,0.01929521973098688,0.016647192832192043,0.0287608586122186,0.018818117879968396,0.00867439884045492,0.013679682935303578,0.056614823761855344,0.010158377244184098,0.025879052175882686,0.057742185765463326,0.022686981826666397,0.03405145120144553,0.020191024181353715,0.048619062216143434,0.05545977092286262,0.029671851071785743,0.020513205237610205,0.012861561894495985,0.07803546320329605,0.05084372019687592,0.03179176733008796,0.05131759862545434,0.02449188418221813,0.03180291735860267,0.018852183877802846,0.013332406489755587,0.013167875339341112,0.024109123330710885,0.008263153051833809,0.01884914482123125,0.02431744106897546,0.020761225035498553,0.06081731982183358,0.019936642875441335,0.01353151590140031,0.02305180741064274,0.021876998585771096,0.05269427257325519,0.02069428605363137
10,'Cello',3,0.031685472055108584,0.08814534712882464,0.061567821775405124,0.022317382920159706,0.019773665739086038,0.02203626656643266,0.0,0.00834485397253702,0.010160028565398781,0.049876491315117344,0.03199538105875708,0.019023067766768872,0.0461815814400478,0.06986048474057042,0.016600947899678847,0.07286167915752495,0.04001414874278323,0.0456245279614833,0.026629083391162073,0.0600195936063112,0.051285165147839956,0.023707900196878216,0.056417716270842765,0.016626458644786773,0.041317329902893545,0.04261201665575909,0.04016161315917296,0.04406183334287778,0.046664781524834435,0.04604610851052959,0.026279129629849813,0.023601741597976886,0.02193708839073775,0.018742469103109186,0.026271413019628886,0.045512271996160016,0.06440564892358917,0.034886034342796225,0.025713383823164213,0.02435857721514026,0.0353056912944354,0.04071907321211154,0.04146011909330411,0.03985302224842464,0.02624416251056383,0.027423970447682466,0.046983650774115295,0.085928230533291,0.08797063831056628,0.07302886854745544,0.08897930509326994,0.09695461853514827,0.06708263739986632,0.054818328770970925,0.05427150176686662,0.045344075330413784,0.05221361845300634,0.05724942524271404,0.010694042982104732,0.01683530568407283,0.04427672675515653,0.012729002694062769,0.013700194391712757,0.028140900995114935,0.078651090328288,0.03145341377183663,0.04436722568968906,0.048619874235695026,0.043975265960170616,0.012025060802921969,0.041486060709006255,0.06194461240910939,0.04687688620128588,0.029811636945210995,0.01730875079193564,0.03415659842214852,0.10007172976972871,0.02881732979835236,0.0530850590607486,0.03214370864641609,0.023449539230473364,0.020198192969940167,0.014383908746748978,0.033149945683969624,0.03520414190577377,0.04614538989714354,0.029558189579486336,0.00591002201536947,0.017859657818891195,0.027022547102294136,0.03952228329418105,0.031151631153785487,0.0216149128697302,0.0450880739770754,0.043913265152203756,0.07473053913968784,0.021773543511142
10,'Cello',4,0.023340618082571558,0.09648537601407552,0.06990785066065598,0.019273524851000604,0.016729807669926943,0.030376295451683532,0.00834485397253702,0.0,0.0018199996801479114,0.046832633245958245,0.04033540994400795,0.015979209697609773,0.037836727467510774,0.07820051362582128,0.02494097678492972,0.08120170804277581,0.0483541776280341,0.05396455684673416,0.03496911227641294,0.06836081147533378,0.04824130707868085,0.026746933178751164,0.06475774515609363,0.024966487530037645,0.03297730101764267,0.03956815858659998,0.03711775509001386,0.041022800361004835,0.04362092345567534,0.043007006574736155,0.023235271560690718,0.015256887625439863,0.018893230321578653,0.01039987234163624,0.034611441904879754,0.05385230088141089,0.061361790854430075,0.0432260632280471,0.03405341270841508,0.021314719145981164,0.03226183322527631,0.03767521514295244,0.03841626102414501,0.03680916417926554,0.034584191395814694,0.028316875153147434,0.0439397927049562,0.0828843724641319,0.08493160532869333,0.06998501047829635,0.085940272111397,0.0886145896498974,0.06403877933070722,0.0631583576562218,0.06261153065211748,0.053684104215664656,0.04916976038384724,0.06559427921525106,0.0190340718673556,0.014790924954475414,0.0526167556404074,0.012384923024443406,0.022040223276963627,0.0364809298803658,0.08699111921353887,0.03555852290032703,0.041323367620529954,0.04557601616653594,0.04093310920453689,0.009762582099847133,0.038442202639847156,0.07028464129436025,0.0552217401738229,0.03815166583046187,0.01426971781006269,0.0339610974302581,0.10841175865497958,0.02047247582581534,0.05004120099158949,0.02909985057725699,0.020410506248600413,0.01715915998806722,0.022723937631999844,0.0414905059564521,0.04354417079102465,0.054485418782394414,0.03493471824709685,0.014254875987906488,0.014820624837018246,0.035362575987545004,0.04256614136334016,0.03949166003903636,0.02995716432947505,0.05342810286232627,0.05225329403745463,0.08307056802493872,0.0187296854419829
10,'Cello',5,0.021533122990661343,0.09830537569422343,0.07172785034080391,0.02077753200485959,0.018233814823785926,0.03219629513183144,0.010160028565398781,0.0018199996801479114,0.0,0.04833664039981723,0.042155409624155864,0.01748321685146876,0.036029232375600566,0.0800205133059692,0.02676097646507763,0.08302170772292372,0.050174177308182015,0.05578455652688208,0.03678911195656085,0.07017962217170998,0.04974531423253984,0.025255430613129872,0.06657774483624156,0.02678648721018555,0.031160110212385253,0.04107216574045897,0.03862176224387285,0.042517400212527055,0.04512493060953432,0.04450625759522949,0.024739278714549704,0.013449392533529647,0.020397237475437636,0.008590120038661947,0.03643144158502767,0.0556723005615588,0.06286579800828905,0.04504606290819501,0.035873412388562995,0.022818726299840147,0.03376584037913529,0.03917922229681143,0.039920268178004,0.03831317133312453,0.03640419107596261,0.030136874833295347,0.04544379985881519,0.0843883796179909,0.08642728290367657,0.07148901763215533,0.08743717792962558,0.0867945899697495,0.0655427864845662,0.06497835733636971,0.0644315303322654,0.05550410389581256,0.05067376753770622,0.06740788816415616,0.020854071547503513,0.01661092463462333,0.05443675532055531,0.01420492270459132,0.02386022295711154,0.038300929560513716,0.0888111188936868,0.03737852258047494,0.042827374774388936,0.047080023320394924,0.04243541504487051,0.00827107953422584,0.03994620979370614,0.07210464097450817,0.05703481966313145,0.03997166551060978,0.015767918894517324,0.03578109711040601,0.11023175833512748,0.01866498073390512,0.051545208145448475,0.030603857731115975,0.021904567911669823,0.018655525991729746,0.024543937312147757,0.04330997424936841,0.045364170471172555,0.05630541846254233,0.03675471792724476,0.016062371079816708,0.01631212740263954,0.03718257566769292,0.041063815378107084,0.04131165971918427,0.03177494143512898,0.05524810254247418,0.054073293717602534,0.08489056770508663,0.020233692595841887
10,'Cello',6,0.05394952788935522,0.10584790067092563,0.0792703753175061,0.02782404367572852,0.030153112310169317,0.039755632877536216,0.049876491315117344,0.046832633245958245,0.04833664039981723,0.0,0.049697934600858064,0.030915578572591983,0.04827418604440447,0.08756303828267141,0.0408449803939885,0.09056543894459539,0.057716702284884215,0.06332708150358428,0.06415990329067092,0.07774519998180941,0.053576292219453536,0.07356343457972932,0.07412026981294374,0.035945790548922746,0.033521862865464165,0.01441697313763366,0.029815202520756937,0.019205281739238078,0.020035578575448732,0.020838221889967954,0.02390422393668849,0.06015146840634058,0.028146940965409473,0.041261441431436986,0.04397396656172987,0.07032573037253409,0.040455808443704326,0.05744980787548944,0.0434159373652652,0.025517914099977085,0.037461577626211544,0.039560559673007784,0.029067421631636902,0.016564542570663553,0.043946716052664814,0.03767939980999755,0.025684946776511574,0.03607014405555598,0.038120835932360604,0.03808384992173241,0.03912950271506427,0.0792520649930473,0.03783886386945404,0.07252088231307191,0.0719914285726852,0.06306634438767474,0.052647838914287155,0.07497866772172669,0.04785986174944912,0.034086195197025874,0.06199305190455568,0.03795742130478028,0.03694445692078809,0.04584345453721592,0.0963597821363179,0.04492104755717715,0.013876580701653526,0.017988129464341005,0.020985645650901292,0.05657335149617987,0.023294616537428314,0.07966061256961825,0.08404122571032742,0.05825137474905125,0.0325687215052999,0.043323622087108216,0.1177742833118297,0.04082554742083716,0.020594457232778782,0.017931326486511284,0.02643207248814741,0.02968111440808749,0.047433638665267654,0.050874894462927735,0.05290669544787476,0.06384794343924453,0.044297242903946966,0.04743059960869606,0.032026804395813104,0.0493258670539608,0.0893987746092984,0.04885418469588648,0.042112970688865124,0.0627906275191764,0.06161581869430474,0.09243309268178884,0.02811813582087873
