% Distances between instruments for pitch 94 (A#6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
15,'DallapeAccordion',1,0.0,0.048133105841128766,0.029633754161698497,0.057051037919117996,0.02011061082346823,0.06458879296393012,0.04823416683657574,0.04290605527039118,0.08387977921315694,0.006632610186288254,0.044706898815852124,0.055936752652709316,0.032160134065207145,0.013344137737227374,0.03872408172513334,0.036806218760396865,0.03181027540864619,0.028011400281557543,0.010787034555553646
23,'ElectricPiano',1,0.048133105841128766,0.0,0.06484183754423718,0.008917932077989235,0.03542904055521834,0.04959519877973729,0.0371421655915554,0.03181405402537083,0.03574667337202817,0.04152645994038708,0.023245828991637935,0.0183923462022911,0.015981444567687526,0.03481892270934949,0.027632080480113005,0.03222840763264085,0.01636646064892151,0.0202986049098919,0.03734607128557512
23,'ElectricPiano',2,0.029633754161698497,0.06484183754423718,0.0,0.07375976962222643,0.029452431783220687,0.08149256594598239,0.06332621730545289,0.05902070885667519,0.10058851091626536,0.03383514780765097,0.06161067179790439,0.07264548435581775,0.04886886576831557,0.030052869440335795,0.05215581112972497,0.033396158048563926,0.04871404839069846,0.04491517326360981,0.02760639466410822
23,'ElectricPiano',4,0.057051037919117996,0.008917932077989235,0.07375976962222643,0.0,0.04434697263320756,0.040680665704932915,0.028227632516751023,0.022899520950566455,0.02682874129403894,0.05044099301519147,0.014331295916833556,0.009477813127486722,0.024895977642491907,0.043733455784153864,0.023154555395125644,0.04114633971063009,0.025284392726910743,0.029216536987881136,0.04626400336356435
23,'ElectricPiano',5,0.02011061082346823,0.03542904055521834,0.029452431783220687,0.04434697263320756,0.0,0.0520401341627617,0.03387378552223219,0.029568277073454507,0.07117571392724652,0.02435163926362254,0.0321582400146837,0.04323268736679889,0.024844647661393406,0.016987429151807832,0.022703379346504283,0.01685101442167065,0.019261616607477775,0.015462741480389125,0.01562313964379635
25,'Flute',7,0.06458879296393012,0.04959519877973729,0.08149256594598239,0.040680665704932915,0.0520401341627617,0.0,0.02130076599733861,0.022471857089307202,0.021345824481730603,0.06508363494965395,0.026349369788099358,0.031202852577446188,0.06557664334742482,0.05771942483783924,0.029336754816257426,0.048096407897418474,0.03781728881872717,0.045732930534246756,0.05628414171858345
25,'Flute',8,0.04823416683657574,0.0371421655915554,0.06332621730545289,0.028227632516751023,0.03387378552223219,0.02130076599733861,0.0,0.005328111566184568,0.04264659047906921,0.05263060176147207,0.013896336599917467,0.018749819389264302,0.05312361015924292,0.04526639164965735,0.011170406175727907,0.029930059256888953,0.025364255630545274,0.03327989734606486,0.043831108530401564
26,'Fujara',1,0.04290605527039118,0.03181405402537083,0.05902070885667519,0.022899520950566455,0.029568277073454507,0.022471857089307202,0.005328111566184568,0.0,0.041792492546750694,0.04730249019528749,0.008582983947541247,0.013849465986303077,0.047795498593058365,0.039938280083472784,0.008190804142413891,0.02618258845791833,0.020050125072582966,0.0280990359219843,0.038502996964216996
36,'Piano',6,0.08387977921315694,0.03574667337202817,0.10058851091626536,0.02682874129403894,0.07117571392724652,0.021345824481730603,0.04264659047906921,0.041792492546750694,0.0,0.07725212762635625,0.039217288519329846,0.027943026560447625,0.05171964514794979,0.07054459039531866,0.04998329668916459,0.06797508100466902,0.05211313402094969,0.056045278281920075,0.07309274465760329
36,'Piano',7,0.006632610186288254,0.04152645994038708,0.03383514780765097,0.05044099301519147,0.02435163926362254,0.06508363494965395,0.05263060176147207,0.04730249019528749,0.07725212762635625,0.0,0.03873426516155459,0.04933679556066763,0.025545015372699556,0.007368200431716237,0.04312051665002967,0.04120265368529319,0.02726634613092679,0.021633761687148315,0.0087994932310705
