% Distances between instruments for pitch 93 (A6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
15,'DallapeAccordion',1,0.0,0.04598033785221819,0.037689358080417436,0.030440283516828797,0.018927005912623873,0.05494105869475178,0.04706610014227496,0.045454004660540524,0.009351142742925754,0.0674211688475954,0.016703940682001497,0.04156989270155656,0.04528883581918036,0.03193963163644742,0.02166212389301481,0.04041468910178623,0.038460588871577966,0.030581667614773125,0.026113117288806793,0.008206184649031351
23,'ElectricPiano',1,0.04598033785221819,0.0,0.06718599846150751,0.015542350489002708,0.045559068798600534,0.04219320436951198,0.03187895935061196,0.03270615033530073,0.04962486481614947,0.021462310329862355,0.029451795007241297,0.004410445150661624,0.04175274285864427,0.014040706215770771,0.024340638292224662,0.027666834776546436,0.03824067722753722,0.022750056385543532,0.020137816762424546,0.05359628678460462
23,'ElectricPiano',2,0.037689358080417436,0.06718599846150751,0.0,0.051645944126118115,0.05641740834868068,0.07399513647818177,0.0684707163959249,0.0582150722486533,0.04704050082334319,0.08863286093486498,0.05419434311805831,0.0629177570273806,0.025438502380508654,0.053145292245736726,0.04908318640304168,0.05336104007732576,0.02961332276141561,0.04471959844738688,0.04751773354245673,0.04580608334285957
23,'ElectricPiano',4,0.030440283516828797,0.015542350489002708,0.051645944126118115,0.0,0.030017703869056608,0.05773555485851469,0.04742130983961467,0.04824850082430343,0.034084810480760085,0.03700466081886506,0.01390944451823859,0.011289556911380694,0.04786663232846445,0.0015091160485802676,0.008798287803221954,0.04320918526554914,0.04125508503534087,0.033376163778536035,0.01897901078653377,0.03805623244921522
23,'ElectricPiano',5,0.018927005912623873,0.045559068798600534,0.05641740834868068,0.030017703869056608,0.0,0.07386806460737565,0.06355381958847563,0.06438101057316441,0.009710024034634364,0.0670213791284629,0.016109059522146054,0.04130627522097853,0.06400012763678418,0.0315258343581781,0.02123954424524262,0.05934169501441009,0.057387594784201836,0.049508673527397,0.03511152053539473,0.01072082126359252
25,'Flute',7,0.05494105869475178,0.04219320436951198,0.07399513647818177,0.05773555485851469,0.07386806460737565,0.0,0.013423780672807003,0.01578006422952847,0.06415804057274128,0.020730894039649627,0.07164499937675328,0.046445997947134,0.04857732873182341,0.05622643880993442,0.06653384266173663,0.020634096400856006,0.04438181371676616,0.029275538030794895,0.038756544071980925,0.06314724334378313
25,'Flute',8,0.04706610014227496,0.03187895935061196,0.0684707163959249,0.04742130983961467,0.06355381958847563,0.013423780672807003,0.0,0.010255644147271602,0.05384379555384127,0.026184284393501994,0.061330754357853255,0.03613175292823397,0.04305290864956655,0.0459121937910344,0.05621959764283663,0.01510967631859914,0.038857393634509296,0.023751117948538025,0.028442299053080905,0.05477150846125061
26,'Fujara',1,0.045454004660540524,0.03270615033530073,0.0582150722486533,0.04824850082430343,0.06438101057316441,0.01578006422952847,0.010255644147271602,0.0,0.05474507107084542,0.030670789185212908,0.06215794534254202,0.03695894391292274,0.03279726450229494,0.04673938477572317,0.05704678862752539,0.006435572030321132,0.029010719037701537,0.014896961440208816,0.02948000990416196,0.05366018930957187
28,'JinghuOperaViolin',1,0.009351142742925754,0.04962486481614947,0.04704050082334319,0.034084810480760085,0.009710024034634364,0.06415804057274128,0.05384379555384127,0.05474507107084542,0.0,0.0710656958115267,0.020176166133849538,0.04521441966548786,0.05463997856210612,0.0355841586003787,0.0253066508569461,0.04963167097977574,0.047677570749567466,0.0398481096306366,0.029623483387801835,0.004195042219980606
36,'Piano',6,0.0674211688475954,0.021462310329862355,0.08863286093486498,0.03700466081886506,0.0670213791284629,0.020730894039649627,0.026184284393501994,0.030670789185212908,0.0710656958115267,0.0,0.05091410533710366,0.02585127614603884,0.06321505318850662,0.0354955447702848,0.045802948622087024,0.03692107782810728,0.05968150822291444,0.04419088738092075,0.04157864775780177,0.07503711777998183
36,'Piano',7,0.016703940682001497,0.029451795007241297,0.05419434311805831,0.01390944451823859,0.016109059522146054,0.07164499937675328,0.061330754357853255,0.06215794534254202,0.020176166133849538,0.05091410533710366,0.0,0.025199001429619283,0.061775276675374996,0.015418560566818855,0.0051304847230965655,0.05711862978378773,0.05516452955357946,0.04728560829677462,0.03288845530477236,0.024147588102304676
36,'Piano',8,0.04156989270155656,0.004410445150661624,0.0629177570273806,0.011289556911380694,0.04130627522097853,0.046445997947134,0.03613175292823397,0.03695894391292274,0.04521441966548786,0.02585127614603884,0.025199001429619283,0.0,0.03749994928102225,0.009780440862800428,0.020087844714602652,0.03191962835416844,0.0338302320768756,0.02208660686715534,0.015727371611762925,0.049218549092706315
36,'Piano',9,0.04528883581918036,0.04175274285864427,0.025438502380508654,0.04786663232846445,0.06400012763678418,0.04857732873182341,0.04305290864956655,0.03279726450229494,0.05463997856210612,0.06321505318850662,0.061775276675374996,0.03749994928102225,0.0,0.04636728420884583,0.05666196950765431,0.027943232330967405,0.007297292830687102,0.019301790701028516,0.029374917395422657,0.0534055610816225
36,'Piano',10,0.03193963163644742,0.014040706215770771,0.053145292245736726,0.0015091160485802676,0.0315258343581781,0.05622643880993442,0.0459121937910344,0.04673938477572317,0.0355841586003787,0.0354955447702848,0.015418560566818855,0.009780440862800428,0.04636728420884583,0.0,0.010307403851802222,0.04170006921696887,0.03974596898676061,0.031867047729955765,0.0174698947379535,0.03955558056883385
36,'Piano',11,0.02166212389301481,0.024340638292224662,0.04908318640304168,0.008798287803221954,0.02123954424524262,0.06653384266173663,0.05621959764283663,0.05704678862752539,0.0253066508569461,0.045802948622087024,0.0051304847230965655,0.020087844714602652,0.05666196950765431,0.010307403851802222,0.0,0.0520074730687711,0.050053372838562836,0.042174451581757984,0.027777298589755722,0.029278072825401246
37,'Pinkillo',1,0.04041468910178623,0.027666834776546436,0.05336104007732576,0.04320918526554914,0.05934169501441009,0.020634096400856006,0.01510967631859914,0.006435572030321132,0.04963167097977574,0.03692107782810728,0.05711862978378773,0.03191962835416844,0.027943232330967405,0.04170006921696887,0.0520074730687711,0.0,0.02374771731591015,0.009833021487013108,0.024230174479015376,0.048620873750817584
38,'PivanaFlute',1,0.038460588871577966,0.03824067722753722,0.02961332276141561,0.04125508503534087,0.057387594784201836,0.04438181371676616,0.038857393634509296,0.029010719037701537,0.047677570749567466,0.05968150822291444,0.05516452955357946,0.0338302320768756,0.007297292830687102,0.03974596898676061,0.050053372838562836,0.02374771731591015,0.0,0.015490620841993692,0.022276074248807107,0.04666677352060932
51,'Violin',8,0.030581667614773125,0.022750056385543532,0.04471959844738688,0.033376163778536035,0.049508673527397,0.029275538030794895,0.023751117948538025,0.014896961440208816,0.0398481096306366,0.04419088738092075,0.04728560829677462,0.02208660686715534,0.019301790701028516,0.031867047729955765,0.042174451581757984,0.009833021487013108,0.015490620841993692,0.0,0.014583048463953141,0.038787852263804476
51,'Violin',9,0.026113117288806793,0.020137816762424546,0.04751773354245673,0.01897901078653377,0.03511152053539473,0.038756544071980925,0.028442299053080905,0.02948000990416196,0.029623483387801835,0.04157864775780177,0.03288845530477236,0.015727371611762925,0.029374917395422657,0.0174698947379535,0.027777298589755722,0.024230174479015376,0.022276074248807107,0.014583048463953141,0.0,0.033818525607782444
51,'Violin',10,0.008206184649031351,0.05359628678460462,0.04580608334285957,0.03805623244921522,0.01072082126359252,0.06314724334378313,0.05477150846125061,0.05366018930957187,0.004195042219980606,0.07503711777998183,0.024147588102304676,0.049218549092706315,0.0534055610816225,0.03955558056883385,0.029278072825401246,0.048620873750817584,0.04666677352060932,0.038787852263804476,0.033818525607782444,0.0
