% Distances between instruments for pitch 101 (F7)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC

@DATA
23,'ElectricPiano',4,0.0,0.021139818549710435,0.08393695874130781,0.011481447170987412,0.039853621287238045,0.05195410256293331,0.0031854730338352188,0.004505685558197956
23,'ElectricPiano',5,0.021139818549710435,0.0,0.10506959740523963,0.03262126572069785,0.06091813217828293,0.07309392111264375,0.024325291583545655,0.02564550410790839
36,'Piano',6,0.08393695874130781,0.10506959740523963,0.0,0.09364218656540202,0.06003615675731793,0.053095182406422727,0.08076694888283267,0.07945762984991696
36,'Piano',7,0.011481447170987412,0.03262126572069785,0.09364218656540202,0.0,0.033674157580971024,0.0405470041589793,0.012875237682569351,0.01418825955123164
36,'Piano',8,0.039853621287238045,0.06091813217828293,0.06003615675731793,0.033674157580971024,0.0,0.01217578893436081,0.036683611428762905,0.0353742923958472
36,'Piano',9,0.05195410256293331,0.07309392111264375,0.053095182406422727,0.0405470041589793,0.01217578893436081,0.0,0.048768629529098086,0.047455130667696944
36,'Piano',10,0.0031854730338352188,0.024325291583545655,0.08076694888283267,0.012875237682569351,0.036683611428762905,0.048768629529098086,0.0,0.001320212524362737
36,'Piano',11,0.004505685558197956,0.02564550410790839,0.07945762984991696,0.01418825955123164,0.0353742923958472,0.047455130667696944,0.001320212524362737,0.0
