% Distances between instruments for pitch 43 (G2)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 1 (AcousticGuitar), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 1 (AcousticGuitar), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 1 (AcousticGuitar), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 1 (AcousticGuitar), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 1 (AcousticGuitar), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 1 (AcousticGuitar), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 1 (AcousticGuitar), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 1 (AcousticGuitar), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 1 (AcousticGuitar), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 1 (AcousticGuitar), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 1 (AcousticGuitar), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 1 (AcousticGuitar), style 12' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 11 (CeylonGuitar), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 14 (Cumbus), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 12' NUMERIC
@ATTRIBUTE 'Distance to instrument 20 (EgyptianFiddle), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 22 (ElectricGuitar), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 22 (ElectricGuitar), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 22 (ElectricGuitar), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 22 (ElectricGuitar), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 22 (ElectricGuitar), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 22 (ElectricGuitar), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 22 (ElectricGuitar), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 22 (ElectricGuitar), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 22 (ElectricGuitar), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 33 (Oud), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 35 (Panflute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 40 (ScaleChangerHarmonium), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 43 (Tampura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 44 (Tanbur), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 48 (TurkeySaz), style 1' NUMERIC

@DATA
1,'AcousticGuitar',1,0.0,0.006529277854011649,0.0019156951305793627,0.008996007694553528,0.005918051532479215,0.0045873712496039476,0.004223874808874348,0.0014701166630904877,0.004004984252496196,0.0039001302408421565,0.00889975348652484,0.00462966914120934,0.018181189680131715,0.07554078725699354,0.07450065549567268,0.058599794104219116,0.05065465480842449,0.07099253377391247,0.06435633513876887,0.08589653613102688,0.17615020203513745,0.03404933648107005,0.04853960041715128,0.05578087414918773,0.03238051265135367,0.06792066898361057,0.07716474591747031,0.04404239341328625,0.07327701687181228,0.15153158803891453,0.09835867386697118,0.1018076578790993,0.10498942630659557,0.054759938641290064,0.021455895934383257,0.08108464766815704,0.07351570234581675,0.12055814038749658,0.11747957583611268,0.017528550020802437,0.11263764647207042,0.14230666799305539,0.11641047588222014,0.03207614714058617,0.04146613977586467,0.032594718897457665,0.03174730373395726,0.031260915603702165,0.03940217251775786,0.03183684160112455,0.006857261209263149,0.013596254271264983,0.03553515047227478,0.018311276775548745,0.0007963086197957978,0.02605681220724682,0.023698178287558703,0.0004418461068651305,0.00032453146882118725,0.01897712397011034,0.08817668732428002,0.027424165460961682,0.028427381160606377,0.062174234114704685,0.03434273249578817,0.1098219717721657,0.05412184979205886,0.05511599863063941,0.045703570401421485,0.015206211947369616,0.01694323575971105,0.1806857037385883,0.22162328879123563,0.025568444692595695,0.05027245298152697,0.03107670230076145,0.02237404237716091,0.15928426047572788,0.0016044756285703151,0.3554056245033064,0.023889685881760093,0.0038094938341235464,0.021573852619324253,0.01854201739130471,0.19831140770125336,0.015436753439230733,0.020084599367310826,0.03712959099241095,0.031062284353515393,0.07076995255302986,0.09880880129363412,0.08649075540145996,0.10176981823578168,0.14211957217735627,0.10579308605706507,0.051580325937779926,0.03276104650581401,0.06405167464293184,0.039280223839907195,0.06631546879455204,0.08474003132684176
1,'AcousticGuitar',2,0.006529277854011649,0.0,0.008325584356476663,0.0024825481838151656,0.000656879778743942,0.0019973791639128365,0.0023580975187119735,0.005116790836027997,0.002524293601515453,0.0026291476131694923,0.002382170198400266,0.0018996087128023088,0.024573639893380947,0.08207006511100519,0.08088839711140651,0.06512907195823076,0.057183932662436134,0.06460479215817864,0.05796859352303504,0.07950879451529304,0.16976246041940365,0.0396457693078287,0.04393526756507604,0.06147861630511726,0.03890979050536532,0.07439785870182763,0.08355248753320416,0.05057167126729789,0.07974586571062976,0.15806086589292617,0.10474641548270501,0.10819539949483314,0.11137716792232938,0.061147680257023905,0.027985173788394904,0.08747238928389085,0.0800449801998284,0.12708741824150824,0.12386731745184652,0.023946729774694458,0.11902538808780426,0.1486944096087892,0.12293975373623178,0.03846388875632,0.0478538813915985,0.03898246051319149,0.038135045349691095,0.037648657219436,0.04580662533802995,0.03822458321685838,0.0004695195935293177,0.019983995886998816,0.02905900342530421,0.02469901839128258,0.007194777612737703,0.03230104957067919,0.030085919903292537,0.006829587722598962,0.00671227308455502,0.02536486558584417,0.09456442894001386,0.03381190707669551,0.03482314846536375,0.06857449839245096,0.040730474111522,0.11635124962617734,0.0605095914077927,0.06150374024637325,0.05223284825543314,0.02159395356310345,0.02341602086312397,0.18707344535432213,0.2280110304069695,0.03197818908803738,0.056801730835538626,0.03746444391649528,0.02877069136962951,0.16581353832973952,0.004952340082860154,0.3488763466492948,0.01741852628992155,0.010197235449857378,0.01624539923119566,0.024955468424404173,0.20469914931698718,0.021868657856830096,0.02648535801205244,0.043517332608144776,0.03745002596924923,0.07718056160633363,0.1052612386912758,0.0928784970171938,0.10823694137254093,0.1485073137930901,0.11218082767279891,0.05796806755351377,0.03929032435982566,0.07045850367986276,0.04566796545564103,0.07273974831683894,0.09126930918085341
1,'AcousticGuitar',3,0.0019156951305793627,0.008325584356476663,0.0,0.010792314197018545,0.00771435803494423,0.006383677752068963,0.0060201813113393635,0.003266423165555503,0.005854832117530211,0.005696436743307172,0.010696059988989856,0.006440878387520568,0.016265494549552353,0.07374448075452851,0.07258496036509332,0.0568034876017541,0.048858348305959476,0.07290822890449185,0.06627203026934823,0.08781223126160624,0.17806589716571683,0.03584564298353507,0.05040362416038816,0.057577180651652744,0.030584206148888654,0.06607227434535097,0.07524905078689095,0.04224608691082123,0.07142028135415311,0.14973528153644952,0.09644297873639181,0.09989196274851996,0.10307373117601619,0.05284424351071071,0.01965958943191824,0.07916895253757768,0.07171939584335174,0.11876183388503157,0.11556388070553332,0.015621145418217795,0.11072195134149106,0.140390972862476,0.11461416937975512,0.030160452010006805,0.03955044464528531,0.0306790237668783,0.0298316086033779,0.029345220473122807,0.037486477387178495,0.029921146470545192,0.008772956339842512,0.011680559140685618,0.037362440171617405,0.01639558164496938,0.0011308067437389609,0.027853118709711838,0.024113897237950363,0.0015288326749360052,0.0016462893806397443,0.017061428839530976,0.08626099219370066,0.02550847033038232,0.026511686030027015,0.060258538984125316,0.032427037365208806,0.10802566526970069,0.05220615466147951,0.05320030350006005,0.043907263898956474,0.01329051681679025,0.015090436506647311,0.17877000860800896,0.2197075936606563,0.02432491603507722,0.04847614647906196,0.02916100717018209,0.02045834724658155,0.15748795397326287,0.0034007821310353304,0.35720193100577147,0.02572196303623474,0.001893798703544184,0.023370159121789275,0.016629884067927512,0.196395712570674,0.013543073500353433,0.018168904236731464,0.03521389586183159,0.02914658922293603,0.06885497724985697,0.09693565433479913,0.08457506027088062,0.09991135701606428,0.14020387704677692,0.10387739092648572,0.04966463080720057,0.030964740003348992,0.06213597951235248,0.037364528709327834,0.06441416396036227,0.08294372482437674
1,'AcousticGuitar',4,0.008996007694553528,0.0024825481838151656,0.010792314197018545,0.0,0.0031394279625591073,0.004479927347728002,0.004840645702527139,0.007599339019843163,0.004991023442057333,0.005109035893119433,0.00010037798541489937,0.004366338553344189,0.027051479479680715,0.08453679495154708,0.0833709452952217,0.06759580179877266,0.059650662502978014,0.06212224397436348,0.055486045339219865,0.07702624633147788,0.1704848392721929,0.04212831749164386,0.04640199740561792,0.06396116448893242,0.0413765203459072,0.07686458854236951,0.08603503571701931,0.05303840110783977,0.08221259555117165,0.16052759573346806,0.10722896366652017,0.1106779476786483,0.11385971610614454,0.06363022844083907,0.03045190362893679,0.08995493746770604,0.08251171004037029,0.1295541480820501,0.12634986563566167,0.026413459615236338,0.12150793627161942,0.15117695779260437,0.12540648357677367,0.04094643694013517,0.05033642957541367,0.041465008697006665,0.04061759353350626,0.040131205403251165,0.04827335517857184,0.04070713140067355,0.002159696278768701,0.022466544070813974,0.02657645524148904,0.027181566575097738,0.009666598419344795,0.03478359775449435,0.0325684680871077,0.009312135906414129,0.009194821268370184,0.027847413769659338,0.09704697712382902,0.03629445526051068,0.03729767096015538,0.07104452391425368,0.04321302229533717,0.11881797946671924,0.06299213959160786,0.06398628843018841,0.05469957809597501,0.02407650174691861,0.025882750703665858,0.18955599353813732,0.23049357859078468,0.03444491892857926,0.05926846067608051,0.03994699210031045,0.03124433217670991,0.1682802681702814,0.007434888266675319,0.34756244932415603,0.014935978106106383,0.012679783633672545,0.018727947415010826,0.02742219826494606,0.20718169750080237,0.02433538769737198,0.028954889166859826,0.045999880791959956,0.03993257415306439,0.0796472914468755,0.10772796853181767,0.09536104520100898,0.11070367121308282,0.15098986197690525,0.11466337585661407,0.06045061573732893,0.04175705420036754,0.07292523352040463,0.048150513639456195,0.07520647815738081,0.09373603902139528
1,'AcousticGuitar',5,0.005918051532479215,0.000656879778743942,0.00771435803494423,0.0031394279625591073,0.0,0.0013404993851688944,0.0017012177399680316,0.0044599110572840555,0.0019130672799830193,0.0020179212916370585,0.0030390499771442083,0.0012883823912698752,0.02396241357184852,0.08145883878947276,0.08025474824934505,0.06451784563669834,0.0565727063409037,0.06526167193692259,0.058625473301778974,0.08016567429403698,0.17041934019814756,0.03902090247025,0.0433240412435436,0.06083492870604256,0.03829856418383289,0.0737866323802952,0.08291508854190313,0.04996044494576546,0.07913463938909733,0.15744963957139374,0.10410410782046742,0.10754828775249053,0.11076403947825637,0.060526412218218084,0.02737394746686247,0.08683743583409319,0.07943375387829597,0.1264761919199758,0.12324221233235938,0.023335503453162026,0.1183685083090603,0.14803752983004528,0.12232852741469935,0.03781392652235454,0.047203250706220536,0.03832898715277521,0.03749566990645782,0.03701074575878186,0.04519539901649752,0.03756877297860086,0.0011263993722732597,0.019337798191186122,0.02971588320404815,0.024042138612538635,0.006583551291205269,0.031663794562496884,0.02946611078208679,0.006185525360008225,0.006068068654304486,0.02473660321804488,0.09391029218318662,0.033180427649398554,0.03421192214383132,0.06796327207091853,0.0400752426920581,0.1157400233046449,0.05987560354245819,0.060848410642972806,0.051621621933900706,0.020948088326415704,0.02280479454159154,0.1864165655755782,0.22735415062822553,0.03136696276650495,0.056190504514006194,0.036809287039482975,0.028159465048097077,0.1652023120082071,0.0043135759039089,0.3494875729708273,0.01807540606866549,0.009540945977863598,0.015655801086845042,0.02434424210287174,0.204043333879217,0.021257431535297664,0.025874131690520007,0.04287345459352999,0.036793146190505284,0.0765693352848012,0.10465001236974336,0.0922410710539161,0.1076257150510085,0.14785043401434617,0.11152394789405495,0.057311187774769824,0.038679098038293225,0.06984727735833031,0.04503665877603333,0.0721285219953065,0.09065808285932098
1,'AcousticGuitar',6,0.0045873712496039476,0.0019973791639128365,0.006383677752068963,0.004479927347728002,0.0013404993851688944,0.0,0.0003634964407295992,0.003119411672115161,0.0005823869971077515,0.0006872410087617907,0.004379549362313102,0.00013482080512021002,0.02263173328897325,0.08012815850659748,0.07892406796646978,0.06318716535382306,0.055242026058028436,0.0666021713220915,0.05996597268694787,0.08150617367920587,0.17175983958331645,0.037690222187374736,0.0440975665779878,0.059504248423167296,0.036967883900957614,0.07245595209741994,0.08158440825902787,0.048629764662890186,0.07780395910622206,0.1561189592885185,0.10277342753759215,0.10621760746961527,0.10943335919538111,0.059195731935342825,0.026043267183987206,0.08550675555121794,0.07810307359542071,0.12514551163710053,0.12191153204948411,0.02200482317028676,0.11702800892389141,0.14670261997928818,0.12099784713182409,0.036483246239479274,0.04587257042334527,0.036998306869899945,0.036164989623582555,0.035680065475906596,0.04386471873362225,0.036238092695725595,0.002466898757442154,0.018007117908310857,0.031056382589217044,0.022706966440769843,0.005252871008330002,0.030333114279621615,0.028135430499211522,0.004854845077132957,0.0047373883714292185,0.023405922935169615,0.09257961190031135,0.03184974736652328,0.032881241860956055,0.06663259178804327,0.03874456240918283,0.11440934302176965,0.05854492325958293,0.05951773036009753,0.050290941651025434,0.019617408043540435,0.021474114258716273,0.18508063640379313,0.226015554978256,0.03003628248362968,0.05485982423113093,0.03547860675660771,0.026828784765221807,0.16387163172533184,0.002982895621033632,0.3508232940015559,0.019415905453834384,0.00821026569498833,0.016996206018214433,0.023013561819996475,0.20271265359634172,0.019926751252422395,0.02454345140764474,0.04154277431065472,0.035459770194201004,0.07523865500192593,0.1033193320868681,0.09091039077104084,0.10629503476813323,0.14651894257610834,0.11019140812938677,0.05597068838960093,0.03734841775541795,0.06851659707545506,0.04370597849315807,0.07079784171243124,0.08932740257644571
1,'AcousticGuitar',7,0.004223874808874348,0.0023580975187119735,0.0060201813113393635,0.004840645702527139,0.0017012177399680316,0.0003634964407295992,0.0,0.0027586933173160237,0.0002188905563781523,0.00032374456803219154,0.00474026771711224,0.0004955391599193471,0.022268236848243653,0.07976466206586788,0.07856057152574018,0.06282366891309348,0.05487852961729883,0.06696288967689062,0.06032669104174701,0.081866892034005,0.17212055793811562,0.03732672574664513,0.04445828493278694,0.0591407519824377,0.03660438746022802,0.07209245565669033,0.08122091181829826,0.0482662682221606,0.07744046266549247,0.15575546284778888,0.10240993109686257,0.10585411102888564,0.10906986275465153,0.05883223549461322,0.025679770743257602,0.08514325911048833,0.07773957715469111,0.12478201519637093,0.1215480356087545,0.021641326729557157,0.1166672905690923,0.14633912353855857,0.1206343506910945,0.03611974979874967,0.045509073982615666,0.03663481042917034,0.03580149318285295,0.035316569035177,0.04350122229289266,0.03587459625499599,0.0028276171122412915,0.017643621467581257,0.03141710094401618,0.02234347000004024,0.004889374567600403,0.029969617838892015,0.027771934058481922,0.004491348636403358,0.004373891930699619,0.02304242649444001,0.09221611545958175,0.031486250925793685,0.03251774542022646,0.06626909534731366,0.03838106596845323,0.11404584658104006,0.05818142681885333,0.059154233919367936,0.04992744521029583,0.019253911602810838,0.021110617817986673,0.18471713996306352,0.22565293288825752,0.02967278604290008,0.05449632779040133,0.035115110315878106,0.02646528832449221,0.16350813528460223,0.002619399180304033,0.351184012356355,0.01977662380863352,0.00784676925425873,0.01735692437301357,0.022650065379266875,0.2023491571556121,0.0195632548116928,0.024179954966915138,0.041179277869925125,0.0350962737534714,0.07487515856119632,0.10295583564613849,0.09054689433031123,0.10593153832740364,0.14615544613537873,0.10982791168865717,0.05560997003480179,0.036984921314688356,0.06815310063472545,0.043342482052428466,0.07043434527170163,0.0889639061357161
1,'AcousticGuitar',8,0.0014701166630904877,0.005116790836027997,0.003266423165555503,0.007599339019843163,0.0044599110572840555,0.003119411672115161,0.0027586933173160237,0.0,0.0026681862072450136,0.0024903031267237293,0.007498961034428263,0.0032542324772353707,0.01951447870245979,0.07701090392008401,0.07580681337995632,0.06006991076730961,0.05212477147151497,0.06972158299420665,0.06308538435906304,0.08462558535132103,0.1748792512554316,0.03457296760086128,0.047216978250102966,0.05638699383665383,0.03385062931444416,0.06933869751090647,0.0784671536725144,0.04551251007637674,0.07468670451970862,0.15300170470200503,0.09965617295107869,0.1031003528831018,0.10631610460886766,0.05607847734882936,0.022926012597473747,0.08238950096470447,0.07498581900890725,0.12202825705058706,0.11879427746297065,0.018887568583773297,0.11390859725177625,0.14358536539277472,0.11788059254531062,0.03336599165296581,0.042755315836831814,0.03388105228338648,0.0330477350370691,0.03256281088939314,0.040747464147108794,0.03312083810921213,0.005586310429557315,0.014889863321797396,0.03417579426133221,0.01958971185425638,0.0021356164218165425,0.027215859693108153,0.025018175912698063,0.001737590490619498,0.001620133784915759,0.020288668348656152,0.08946235731379788,0.028732492780009822,0.0297639872744426,0.06351533720152981,0.035627307822669374,0.11129208843525619,0.05542766867306947,0.05640047577358407,0.04717368706451197,0.016500153457026975,0.018356859672202814,0.18196338181727967,0.22289830039174255,0.026919027897116216,0.051742569644617466,0.03236135217009425,0.023711530178708348,0.16075437713881838,0.00016445075316784343,0.35394270567367103,0.022535317125949545,0.00509301110847487,0.020115617690329594,0.019896307233483016,0.19959539900982826,0.016809496665908936,0.021426196821131283,0.03842551972414126,0.03234251560768755,0.07212140041541247,0.10020207750035463,0.08779313618452737,0.10317778018161977,0.14340168798959488,0.10707415354287331,0.05285289229632514,0.03423116316890449,0.0653993424889416,0.04058872390664461,0.06768058712591778,0.08621014798993225
1,'AcousticGuitar',9,0.004004984252496196,0.002524293601515453,0.005854832117530211,0.004991023442057333,0.0019130672799830193,0.0005823869971077515,0.0002188905563781523,0.0026681862072450136,0.0,0.00017788308052128418,0.004894769234028645,0.0006246848887131439,0.022120326667082565,0.07954577150948973,0.07843979248262355,0.06260477835671531,0.05465963906092069,0.06705339678696164,0.060417198151818015,0.08195739914407603,0.17221106504818662,0.03719716467904571,0.04454879204285795,0.05903001167633428,0.036385496903849866,0.07187356510031219,0.08110388290442117,0.04804737766578244,0.07722157210911433,0.1555365722914107,0.10229781085392203,0.10574679486605015,0.1089285632935464,0.05869907562824092,0.02546088018687945,0.08502378465510789,0.07752068659831295,0.12456312463999279,0.12141871282306355,0.021467687007753283,0.11657678345902128,0.14624580498000622,0.12041546013471634,0.03601528412753702,0.04540527676281552,0.036533855884408516,0.03568644072090811,0.035200052590653015,0.043341309504708714,0.0357759785880754,0.0029181242223123016,0.01753539125821583,0.03153016621977859,0.02225041376249959,0.0047354456067466464,0.029852444941896202,0.027637315274509553,0.004380983093815978,0.0042636684557720355,0.022916260957061188,0.09211582431123087,0.03136330244791253,0.03236651814755723,0.06611337110165554,0.03828186948273902,0.1138269560246619,0.058060986779009706,0.059055135617590265,0.04970855465391768,0.019145348934320464,0.020891727261608522,0.18462484072553917,0.22556242577818653,0.02950758167954654,0.054277437234023174,0.0350158392877123,0.02631317936411176,0.16328924472822406,0.00250373545407717,0.35140064025081025,0.0198847016292639,0.0077486308210743945,0.01756886836682806,0.022481154378255555,0.20225054468820422,0.019375890426181583,0.024023736354261676,0.04106872797936179,0.03500142134046624,0.07470908953998069,0.10274793828058497,0.09042989238841082,0.10571264777102547,0.1460587091643071,0.10973222304401592,0.05551946292473078,0.036766030758310204,0.06799081162988269,0.043219360826858046,0.07025460578150289,0.08874501557933795
1,'AcousticGuitar',10,0.0039001302408421565,0.0026291476131694923,0.005696436743307172,0.005109035893119433,0.0020179212916370585,0.0006872410087617907,0.00032374456803219154,0.0024903031267237293,0.00017788308052128418,0.0,0.005008657907704534,0.0007639293505116417,0.02194449228021146,0.07944091749783569,0.07826190940210226,0.06249992434506128,0.05455478504926664,0.06723127986748291,0.0605950812323393,0.0821352822245973,0.1723889481287079,0.03701928159852443,0.04472667512337924,0.05885212859581299,0.036280642892195826,0.07176871108865815,0.08092599982389988,0.0479425236541284,0.07711671809746028,0.1554317182797567,0.10211992777340075,0.1055689117855289,0.10875068021302513,0.05852119254771964,0.025356026175225418,0.0848459015745866,0.07741583258665892,0.12445827062833875,0.12124082974254224,0.021317582161524965,0.11639890037849998,0.14606792189948495,0.12031060612306231,0.035837401047015736,0.04522739368229423,0.03635597280388723,0.03550855764038683,0.035022169510131734,0.04317747772486047,0.03559809550755412,0.003096007302833586,0.017357508177694544,0.03168549113460847,0.022072530681978304,0.004565629999568211,0.029674561861374918,0.027459432193988265,0.004203100013294695,0.004085785375250751,0.022738377876539904,0.09193794123070959,0.03118541936739125,0.03219400085219427,0.06594535077928147,0.03810398640221773,0.11372210201300786,0.057883103698488425,0.058877252537068984,0.04960370064226364,0.018967465853799177,0.02078687324995448,0.18444695764501787,0.2253845426976652,0.029349041474867887,0.05417258322236914,0.03483795620719101,0.02614154375646002,0.16318439071657004,0.002325852373555886,0.3515054942624643,0.020045013999225817,0.00757074774055311,0.0176737223784821,0.022326320811234687,0.20207266160768292,0.019239510243660607,0.023856210398882947,0.04089084489884052,0.03482353825994496,0.07455141399316413,0.1026320910781063,0.09025200930788953,0.10560779375937146,0.14588082608378586,0.10955433996349463,0.0553415798442095,0.036661176746656164,0.06782935606669326,0.043041477746336765,0.07011060070366944,0.08864016156768391
