% Distances between instruments for pitch 87 (D#6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 41 (Shakuhachi), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
3,'Bandura',1,0.0,0.041140234016031195,0.02170256744615767,0.05817083531285128,0.013122052828707943,0.024895991333071882,0.030403555562213205,0.027691263355489132,0.05231748322446538,0.019710361743028922,0.07414113616006757,0.056905831739641026,0.048325857432119486,0.032918741027047387,0.032151011477353504,0.025073429169278464,0.013144133923339138,0.010206005408506566,0.02447813741339223,0.04641375555690674,0.028394998193955353,0.011513707016081886,0.07497406323148602,0.06921480247015668,0.0867835014401022,0.23030344635186054,0.11939278025006982,0.012660370378609708,0.04246434077468064,0.014738192070788428,0.010846488371716869,0.019820338933763046,0.032086306461133564,0.03358180806664107,0.027624454035310622,0.01078176904117688,0.08689658613261143,0.06701927515460657,0.04388719672610298,0.02150634274945926,0.020221081418950664,0.025400214778762125,0.050851738447934454,0.01884334151285136,0.018697364312328508,0.0621245217657321,0.03707907841038326,0.021578775392620975,0.0416535899052563,0.0208421148240224,0.04767494589816521,0.018881174238484184,0.025054480755229345,0.06010630827322663
12,'Clarinet',1,0.041140234016031195,0.0,0.021796158621339563,0.0811828559320392,0.05426228684473913,0.05118293668629209,0.0715437895782444,0.06883149737152032,0.08851278202343309,0.06085059575906012,0.03330646619896093,0.02118915704181654,0.013273561923079685,0.009934007960724864,0.02581491849332741,0.016228588362740354,0.028201496694246365,0.03397400382848495,0.020400848807045187,0.07831549413067375,0.02374724045064051,0.03013780493196189,0.03873152994868082,0.03297226918735134,0.06718475410531183,0.1894687763907539,0.07855811028896319,0.049786412490692135,0.04726640636637869,0.055878426086819616,0.05198672238774806,0.060960572949794234,0.07322654047716476,0.016487571802595063,0.013809558405436682,0.03270147347797337,0.09169865172430947,0.026184605193499928,0.04949937176218858,0.027250474475957843,0.04280362307308594,0.0503952679932185,0.013890581987800596,0.0505444042677893,0.038597591449648604,0.06692658735743014,0.041881144002081296,0.04155926885153402,0.04645565549695433,0.03939344464131327,0.05247701148986325,0.05710637504824841,0.05968741494775188,0.08610709120876482
12,'Clarinet',2,0.02170256744615767,0.021796158621339563,0.0,0.061671133039285675,0.03482462027486561,0.03174527011641856,0.05210612300837087,0.0493938308016468,0.06907511545355956,0.04141292918918659,0.05510262482030049,0.03707598822540948,0.029287346092352413,0.014821453528228562,0.030291800134121277,0.0191459692232189,0.00855843352281853,0.012177845207145382,0.017871895291007533,0.058716822125856556,0.021218286934602856,0.010188860430075782,0.055935551891718956,0.05017629113038961,0.07207219967281552,0.2112649350120935,0.10035426891030275,0.03034874592081861,0.04473745285034103,0.03644075951694609,0.03254905581787454,0.04152290637992071,0.053788873907291236,0.012988118970318081,0.010862421281424806,0.01092079840498079,0.08916969820827181,0.04798076381483949,0.04616030880176337,0.023779454825119645,0.02336595650321242,0.030560404103695076,0.031813227108167384,0.030638635795975994,0.020970476387988896,0.06439763384139248,0.03935219048604364,0.02318349104083897,0.04392670198091667,0.022438634991313516,0.049948057973825594,0.03747906431084383,0.0396201166753767,0.0666694246388913
15,'DallapeAccordion',1,0.05817083531285128,0.0811828559320392,0.061671133039285675,0.0,0.06637716202221704,0.03332940039831466,0.049096377492072046,0.05180671150910341,0.0074039824142738755,0.05979860221576543,0.11448932213100012,0.09687439733276904,0.08867404340305206,0.07326692699797994,0.08840819902007217,0.07692586050533996,0.061995894340696744,0.06556175929130463,0.0647312203335808,0.011844028868008213,0.06874318416488791,0.06222382076571469,0.11532224920241857,0.10956298844108923,0.12985209095493658,0.2706516323227931,0.15974096622100237,0.07083120569146098,0.03508348602894071,0.06468024112925001,0.06866101152502449,0.059666079860325606,0.047430864701645474,0.07355037365976909,0.06759301962843862,0.06070716545280682,0.02910537119756471,0.10736746112553912,0.03216083733105585,0.05439373279325682,0.03882626269951184,0.03309376153085906,0.091199924418867,0.039721539379059694,0.042956122430022725,0.08136767438344858,0.04271570940635286,0.03991236313014301,0.0704216837760283,0.042086382821290645,0.0659757871843095,0.03940524891901816,0.033671929937243585,0.004998291599605628
23,'ElectricPiano',1,0.013122052828707943,0.05426228684473913,0.03482462027486561,0.06637716202221704,0.0,0.03304776162390238,0.017281502733505264,0.014570450513113625,0.060359451559778544,0.006588308914320981,0.08711744034923662,0.07002788456834898,0.061294926469550814,0.045881986313819643,0.04527306430606145,0.03803369848199878,0.026266186752047078,0.02332805823721451,0.03760019024210017,0.0546200822662725,0.041402431998040015,0.02463575984478983,0.08793891257216242,0.082172496924812,0.09974960245361277,0.24326114080651587,0.13235047470472516,0.004475874354047001,0.0505063091099938,0.0016969208929670224,0.0022838495028074594,0.00671108216189143,0.018964253632425626,0.04670386089534901,0.04074650686401857,0.023903821869884823,0.09502271595257476,0.08011715482666844,0.05192916506141615,0.029556882176574113,0.0282859423426824,0.03360654148812789,0.0638094329025898,0.02704966822221713,0.026838397128986693,0.07016649010104527,0.04512741701455498,0.029785102101986743,0.049695558240569454,0.029048441533388165,0.055716914233478375,0.027087500947849952,0.033260807464595116,0.0682626831034808
23,'ElectricPiano',2,0.024895991333071882,0.05118293668629209,0.03174527011641856,0.03332940039831466,0.03304776162390238,0.0,0.020360852891952313,0.018477311110788756,0.03732984533714099,0.02646920181745077,0.08412928241179318,0.06694853440990191,0.058314003683845116,0.04290688727877301,0.05551297541809732,0.0435964601070253,0.02910067073872191,0.032666535689329805,0.03452084008365312,0.02749267791784149,0.03838314444568097,0.029328597163739856,0.08496220948321165,0.0792029487218823,0.09677164769182783,0.24029159260358615,0.12938092650179545,0.03750180529314632,0.017568349441608764,0.03135084073093536,0.03533161112670984,0.02633667946201095,0.02204360379087267,0.04362451073690197,0.03766715670557152,0.027811941850831978,0.062000594799539545,0.0770378046682214,0.0189912053930311,0.024033693074049886,0.008466222980304907,0.0011848660127234906,0.060839884699660084,0.006826315777084854,0.012596082710815795,0.05100763466424164,0.012355669687145923,0.009986500207275891,0.040061644056821354,0.012160519898423523,0.03561574746510257,0.006510025317043317,0.008864598734919621,0.035214921479578415
23,'ElectricPiano',3,0.030403555562213205,0.0715437895782444,0.05210612300837087,0.049096377492072046,0.017281502733505264,0.020360852891952313,0.0,0.002712292206724075,0.04307794882627328,0.010702224723693386,0.10439894308274188,0.08730938730185422,0.07857642920305608,0.06316348904732491,0.0625545670395667,0.05531520121550404,0.04354768948555234,0.04060956097071977,0.05488169297560543,0.03733929773612751,0.05868393473154528,0.04191726257829509,0.10522041530566768,0.09945328145495701,0.11703110518711803,0.2605419253366609,0.14963125923487017,0.021757377087552265,0.033224806376488544,0.015665363491424777,0.019564634032952454,0.01058321662845016,0.001682750898920362,0.06398536362885428,0.05802800959752383,0.04118532460339008,0.07774193142242976,0.0973986575601737,0.03464766232791088,0.04429331510228655,0.028740166505158454,0.0215457189046758,0.08109021743273477,0.021467487212394876,0.03294619812859579,0.07125796739731635,0.03261309089243946,0.030347353099228203,0.060311976789896055,0.032521372790375834,0.05586608019817727,0.014627058697527043,0.01598002293445012,0.0509818985733358
23,'ElectricPiano',4,0.027691263355489132,0.06883149737152032,0.0493938308016468,0.05180671150910341,0.014570450513113625,0.018477311110788756,0.002712292206724075,0.0,0.04579024103299736,0.007991890706662017,0.1016866508760178,0.08459709509513015,0.075864136996332,0.06045119684060083,0.05984227483284263,0.05260290900877996,0.04083539727882827,0.03789726876399569,0.05216940076888136,0.04004963175315887,0.0559716425248212,0.03920497037157101,0.1025081230989436,0.09674294743792565,0.11431881298039397,0.2578315913196295,0.14692092521783875,0.01904508488082819,0.03593709858321262,0.012953071284700702,0.016854300015921083,0.007870924421726084,0.004395043105644438,0.0612730714221302,0.05531571739079975,0.03847303239666601,0.08045226543946113,0.09468636535344964,0.037359954534634955,0.04158102289556248,0.02602787429843438,0.019036090975014266,0.07837988341570341,0.018755195005670803,0.030233905921871713,0.06854763338028498,0.030556966501441355,0.02763506089250413,0.05760164277286469,0.029809080583651757,0.0531557461811459,0.012517050434736327,0.01869035695148149,0.05369223259036717
23,'ElectricPiano',5,0.05231748322446538,0.08851278202343309,0.06907511545355956,0.0074039824142738755,0.060359451559778544,0.03732984533714099,0.04307794882627328,0.04579024103299736,0.0,0.05377114264545756,0.12136793552793057,0.1042783797470429,0.09554542164824475,0.08013248149251358,0.08293446730949083,0.07228419366069272,0.06051668193074102,0.06008802758072331,0.0718506854207941,0.010358293327702994,0.07565292717673396,0.05888625502348377,0.12218940775085636,0.1164126992692023,0.13400009763230672,0.2775013431509062,0.16659067704911545,0.06483532591382556,0.041933246525313515,0.05874331231769806,0.06263501601676962,0.053661165454723436,0.04140286140490334,0.08095435607404296,0.07499700204271251,0.05815431704857876,0.03467355722709986,0.1143676500053624,0.0390134102612445,0.06126230754747523,0.045709158950347134,0.03851471134986448,0.09804963524698007,0.03843647965758356,0.04991519057378447,0.08821738521156164,0.04958208333762814,0.04731634554441688,0.07727139460414136,0.049490365235564514,0.07283161762019218,0.03393151720843682,0.02945499877818285,0.0079135243780059
23,'ElectricPiano',6,0.019710361743028922,0.06085059575906012,0.04141292918918659,0.05979860221576543,0.006588308914320981,0.02646920181745077,0.010702224723693386,0.007991890706662017,0.05377114264545756,0.0,0.09370574926355761,0.07661619348266994,0.0678832353838718,0.052470295228140625,0.05186137322038242,0.04462200739631975,0.03285449566636806,0.02991636715153549,0.04418849915642115,0.048041522459820886,0.047990740912360996,0.03122406875911081,0.0945272214864834,0.08875105673126361,0.10633791136793375,0.24983970061296748,0.13892903451117677,0.011064183268367984,0.043918000195672824,0.004972169672240496,0.008863873371312052,0.00013252235543982302,0.012375944718104645,0.05329216980967,0.04733481577833954,0.030492130784205804,0.08844415614612315,0.08670546374098942,0.04534317452273647,0.03360012128310227,0.021707382536230793,0.02702798168167628,0.07038799270904139,0.02047110841576552,0.022253004309411507,0.06357818118672429,0.038548857208103374,0.023206542295535135,0.04960975206620267,0.02246988172693656,0.04913418120049271,0.020508941141398344,0.026682247658143504,0.061684123297029186
