% Distances between instruments for pitch 28 (E1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
6,'Bass',1,0.0,0.0276680369655565,0.024947655917478776,0.07620004322275868,0.07939944922420279,0.07774019624300582,0.07704110934778478,0.0752642601225877,0.2508782032425169,0.07520165760309559,0.066056579379382,0.04496392997638408,0.06227235229627922,0.07778934622967158,0.04031937548182401,0.03915390964915736,0.04579210192030007,0.12099586033205649,0.12134395998571175,0.03761761464129727,0.05469826197358738,0.051906967524233294,0.036075563644426906,0.06482896475931477,0.04065781000719262,0.03303067440879851,0.042084218056029354,0.057420357067160366,0.06387174942623672,0.058225863505582974,0.05819936824500055,0.0384882180012458,0.030239699546911577,0.03358504852350771,0.05348587755421932
6,'Bass',2,0.0276680369655565,0.0,0.03759790492293032,0.08881791899208669,0.09201732499353081,0.09035807201233383,0.08965898511711279,0.0878821358919157,0.22326989009754203,0.08781953337242358,0.07867445514871,0.05758180574571209,0.0749088651266618,0.09040722199899959,0.045461440487353004,0.05177178541848537,0.05935550913073487,0.09332782336649999,0.09367592302015526,0.05146591287446079,0.06731613774291538,0.06452484329356128,0.05222281774059078,0.07745380669511141,0.06796244971308422,0.06034782305010484,0.06579082344149807,0.07003823283648837,0.07648962519556472,0.07084373927491099,0.07081724401432855,0.05134092795121401,0.04285757531623958,0.04620292429283571,0.06610375332354733
13,'Contrabassoon',1,0.024947655917478776,0.03759790492293032,0.0,0.0512523873052799,0.05445179330672401,0.05279254032552705,0.052093453430306,0.050316604205108924,0.2562902224595058,0.050254001685616806,0.04110892346190322,0.02001627405890531,0.03732469637880044,0.0528416903121928,0.04570404411435481,0.014206253731678586,0.026335176768771108,0.1263805289645873,0.12672862861824255,0.01844558051249703,0.029750606056108603,0.02695931160675451,0.019202485378627013,0.039881308841835994,0.03494211735112047,0.027314981752726366,0.0327704910795343,0.035288639302993544,0.03892409350875794,0.0332782075881042,0.03325171232752177,0.01520220147779195,0.005292043629432797,0.011250797644276368,0.028538221636740538
21,'ElectricBass',1,0.07620004322275868,0.08881791899208669,0.0512523873052799,0.0,0.003238210544988216,0.0015401530202471389,0.0008609186629461996,0.0009436592937269414,0.2865867167779997,0.0009983856196631028,0.010143463843376681,0.0353689595945309,0.013927690926479467,0.0015893030069128956,0.062149119448408646,0.037053571307144685,0.03040794130245862,0.1456955025732256,0.15129627723687245,0.03858786156556714,0.021501781249171306,0.024306744935524035,0.040124479578331776,0.011371078463443913,0.044894492183595924,0.044207933569650866,0.03411582516672933,0.01877968615559832,0.01232868442782152,0.02987104159742256,0.02816891540951658,0.03771182522151288,0.04596034367584711,0.04261499469925097,0.022714165668539368
21,'ElectricBass',2,0.07939944922420279,0.09201732499353081,0.05445179330672401,0.003238210544988216,0.0,0.0017077772704232124,0.0023772918820420164,0.004181869838715158,0.28978612277944377,0.004198799244309658,0.013370078043267349,0.03448069221062033,0.017127096927923576,0.0016493615328366498,0.05894620002085643,0.04029178185213291,0.033619667387986475,0.14893371311821382,0.15453448778186066,0.041826072110555355,0.024721624226724772,0.02754495548051225,0.043355699593065365,0.01457048446488802,0.04812849841495351,0.04740733957109498,0.03733697916969562,0.02200799616735574,0.015566894972809735,0.02667163559597845,0.024969509408072476,0.040911231222956985,0.049192415481577,0.04584115476059394,0.0259518256029679
21,'ElectricBass',3,0.07774019624300582,0.09035807201233383,0.05279254032552705,0.0015401530202471389,0.0017077772704232124,0.0,0.0006990868952210502,0.002475936120418121,0.2881268697982468,0.0025385386399102415,0.01168361686362382,0.033832157900708384,0.015467843946726607,5.841573758656288e-05,0.060618686173843646,0.03858628659384846,0.03194809432270576,0.14722593584779062,0.15282671051143745,0.040122581601708555,0.023041934269418446,0.025837178210089035,0.041664632598578916,0.012911231483691053,0.04643464520384307,0.04574808658989801,0.03565597818697647,0.02031983917584546,0.013868446816769103,0.028331538094471174,0.026628762389269447,0.03925197824176002,0.04750049669609424,0.04415514771949811,0.024254318688786507
21,'ElectricBass',4,0.07704110934778478,0.08965898511711279,0.052093453430306,0.0008609186629461996,0.0023772918820420164,0.0006990868952210502,0.0,0.0018045779566731408,0.28742778290302573,0.0018394517446891914,0.010992786161225331,0.034527893469504814,0.014768757051505557,0.0007482368818868067,0.06130453989727445,0.03791448997009089,0.03124900742748471,0.14655642123617182,0.15215719589981866,0.039448780228513336,0.022344332344682753,0.025167663598470235,0.040978407711023346,0.012212144588470003,0.04575120653291149,0.04504899969467696,0.034959687287653606,0.019630704285313723,0.013189603090767719,0.02902997547239647,0.02732784928449049,0.03855289134653897,0.046815123599534984,0.04346386287855192,0.023574533720925883
21,'ElectricBass',5,0.0752642601225877,0.0878821358919157,0.050316604205108924,0.0009436592937269414,0.004181869838715158,0.002475936120418121,0.0018045779566731408,0.0,0.2856509336778287,6.260251949212085e-05,0.0092076807432057,0.03630625046900033,0.012991907826308486,0.002532508305878508,0.06309277874213559,0.036110350473430336,0.02947215820228764,0.14475184327949867,0.1503526179431455,0.03764664548129043,0.020565998149000324,0.023363085641797093,0.03918869647816079,0.010435295363272932,0.043958709083424946,0.04327215046947989,0.03318004206655834,0.017843903055427334,0.011392510696350984,0.03080682469759354,0.029104698509687565,0.0367760421213419,0.04502456057567613,0.041679211599079995,0.021778382568368383
21,'ElectricBass',6,0.2508782032425169,0.22326989009754203,0.2562902224595058,0.2865867167779997,0.28978612277944377,0.2881268697982468,0.28742778290302573,0.2856509336778287,0.0,0.28558833115833654,0.28294094363841094,0.25535060353162503,0.2726590258515202,0.28817601978491253,0.24323023827326595,0.26020252409100236,0.28262539922827684,0.14090537062101735,0.13530453462052813,0.27473580297200284,0.26508493552882834,0.2622936410794743,0.2754927078381328,0.28412826990055035,0.2912323398106263,0.2836052042122322,0.2890607135390401,0.2915788617624993,0.2851377605679533,0.26861253706082394,0.2685860418002415,0.2714650733528397,0.26011652288347914,0.26754102010378217,0.2638725511094603
21,'ElectricBass',7,0.07520165760309559,0.08781953337242358,0.050254001685616806,0.0009983856196631028,0.004198799244309658,0.0025385386399102415,0.0018394517446891914,6.260251949212085e-05,0.28558833115833654,0.0,0.00917127879895769,0.036367345214194005,0.012929305306816364,0.0025876886265759984,0.06314399164196365,0.03609298260782325,0.029420868143676823,0.14473491387390416,0.150335688537551,0.037627272866245697,0.020522824982415113,0.023346156236202592,0.039156900348755706,0.01037269284378081,0.04392969917064385,0.04320954794998777,0.03313817992538596,0.01780919692304608,0.01136809572850008,0.03086942721708566,0.029167301029179683,0.03671343960184978,0.04499361623726734,0.04164235551628428,0.02175302635865824
23,'ElectricPiano',1,0.066056579379382,0.07867445514871,0.04110892346190322,0.010143463843376681,0.013370078043267349,0.01168361686362382,0.010992786161225331,0.0092076807432057,0.28294094363841094,0.00917127879895769,0.0,0.04551242343790759,0.017503091273250487,0.011732766850289579,0.07228906986567722,0.02692170380886556,0.02026447745908194,0.1529655547159097,0.15331365436956498,0.028455994067288007,0.021953787008504057,0.02215394145520623,0.029985621549798013,0.0012276146200672319,0.03475842037168616,0.034064469726274194,0.023972361323352648,0.008637918124088392,0.0021968169295423887,0.04001450544079924,0.03831237925289326,0.027568361378136202,0.035822337438309655,0.032471530855874293,0.026056360611422025
23,'ElectricPiano',2,0.04496392997638408,0.05758180574571209,0.02001627405890531,0.0353689595945309,0.03448069221062033,0.033832157900708384,0.034527893469504814,0.03630625046900033,0.25535060353162503,0.036367345214194005,0.04551242343790759,0.0,0.028061291417170883,0.03377965658761801,0.026786528273135258,0.02275603912614395,0.045211767142136344,0.11445302090759348,0.12005379557124034,0.03729025344229619,0.023565407651740727,0.023365782800442478,0.03805958182278653,0.04674003805797481,0.05379642757865599,0.046222515138602725,0.051637653535461105,0.05414864575012921,0.04769725339105287,0.01326193352919889,0.013235438268616458,0.03412959916437713,0.022682545077136546,0.0301129540418265,0.019456062826485557
