% Distances between instruments for pitch 29 (F1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
6,'Bass',1,0.0,0.09414945231453735,0.028021286632632102,0.06990660675767642,0.0717494987354128,0.07184450793325971,0.07062477535954427,0.06999559291614221,0.13576547071336784,0.06881041291620262,0.06020774581899497,0.03275553485379723,0.057472602549330565,0.07161567654593222,0.04240699524582089,0.032382742946489296,0.04096064346650879,0.1360619873833524,0.10205008104902928,0.03481349417401019,0.04645365805374913,0.05023937490637901,0.03006511515795107,0.05910952826378738,0.03077437812841899,0.016715244321471937,0.036306431025699304,0.0502747636779402,0.0498595336773718,0.03426134182026435,0.05457897114535282,0.030755048942707832,0.02496506951075803,0.01766113699784456,0.04179898986813405
6,'Bass',2,0.09414945231453735,0.0,0.10943158708769947,0.1512857766837722,0.15315383468585927,0.1532236778593555,0.15203606496374164,0.15137476284223797,0.0416692157259291,0.15019818957100872,0.14158691574509075,0.114134704779893,0.13889196540266158,0.152994846472028,0.12378616517191667,0.11376191287258507,0.12637900021681628,0.04191253506881506,0.024560469657373324,0.11619266410010597,0.12784136480152988,0.1316185448324748,0.11697539679891332,0.14052048429065872,0.12041805877742563,0.11064310574115337,0.12131269736683896,0.13165393360403596,0.13123870360346757,0.10512396114373156,0.13595814107144857,0.1123627442040039,0.1063442394368538,0.09904030692394034,0.12317815979422982
13,'Contrabassoon',1,0.028021286632632102,0.10943158708769947,0.0,0.04188532012504432,0.04372821210278069,0.04382322130062762,0.042604477876042164,0.041974306283510114,0.13892633872829957,0.04078912628357051,0.03218645918636288,0.0275819258307534,0.029460378314962104,0.04359438991330011,0.02801336283042431,0.004361456313857198,0.029110142076726433,0.13920078860015714,0.10518888226583402,0.013989448884692631,0.018432371421117033,0.022218088273746914,0.019718273796542837,0.031088897202959265,0.02316093577505517,0.016839100511342815,0.024055574364468476,0.024839228971132516,0.0218382470447397,0.037400143037069074,0.026557684512720715,0.013657073960420716,0.0031014456687528647,0.010397103762526907,0.013777703235501959
21,'ElectricBass',1,0.06990660675767642,0.1512857766837722,0.04188532012504432,0.0,0.0018829543404953102,0.0019379011755832974,0.0007651846183776833,8.89861584657939e-05,0.1680319753773194,0.001096193841473809,0.009698860938681447,0.04332704693125098,0.012434004208345862,0.0017094978816659327,0.0437631460637446,0.037529366677140005,0.028945963291167626,0.15682859833611412,0.1267344159211443,0.035095018460789974,0.02345294870392729,0.019675629002427027,0.03984149159972535,0.010797078493889029,0.03913222862925743,0.05870022454775992,0.033600175731977114,0.019631843079736224,0.020047085013402088,0.05314371840940052,0.03110614834979533,0.039215916784310224,0.044941537246918385,0.05224546975983185,0.02811075190731727
21,'ElectricBass',2,0.0717494987354128,0.15315383468585927,0.04372821210278069,0.0018829543404953102,0.0,9.500919784693026e-05,0.0011247233758685043,0.0017992249247308584,0.16987486735505578,0.002955645114850538,0.011577797068511692,0.04148260922534847,0.01427689618608223,0.00017345645882937768,0.041914046225019375,0.03941232101763532,0.030802286155535347,0.15871155267660944,0.12861737026163958,0.036977972801285286,0.02531246988432939,0.021558583342922336,0.04172152348522722,0.012639970471625397,0.04100031962187086,0.06056134810950261,0.035478191590436546,0.021514591653927106,0.021930039353897396,0.05130082643166415,0.029263256372058965,0.04105880876204659,0.04682369326691266,0.054119351360686706,0.02999370624781258
21,'ElectricBass',3,0.07184450793325971,0.1532236778593555,0.04382322130062762,0.0019379011755832974,9.500919784693026e-05,0.0,0.0012197325737154346,0.0018489150171175034,0.16996987655290272,0.0030340950170571063,0.011636762114264744,0.041394598366824305,0.014371905383929162,0.0002288313873274988,0.04183069749931793,0.03946181524156669,0.030883864466750927,0.1587610469005408,0.12866686448557096,0.037031013759249526,0.025390849879510582,0.021608077566853706,0.04177939277530865,0.012734979669472325,0.041070129804840726,0.06063812572334323,0.03553807690756041,0.021569744255319517,0.021984974255887923,0.05120581723381722,0.02916824717421203,0.041153817959893514,0.04687943842250169,0.05418337093541515,0.030045518065125662
21,'ElectricBass',4,0.07062477535954427,0.15203606496374164,0.042604477876042164,0.0007651846183776833,0.0011247233758685043,0.0012197325737154346,0.0,0.0006814552026132314,0.16875014397918728,0.0018378753927329107,0.010460027346394065,0.04260733260121697,0.013152172810213726,0.0009909011863879359,0.04303876960088788,0.03829455129551769,0.029684516433417716,0.1575937829544918,0.12749960053952197,0.03586020307916766,0.02419470016221176,0.020440813620804712,0.040603753763109596,0.0115155806730829,0.039882549899753234,0.05944357838738498,0.034360421868318926,0.02039682193180948,0.020812269631779772,0.05242554980753265,0.03038797974792747,0.039934085386178084,0.04570592354479503,0.05300158163856907,0.028875936525694954
21,'ElectricBass',5,0.06999559291614221,0.15137476284223797,0.041974306283510114,8.89861584657939e-05,0.0017992249247308584,0.0018489150171175034,0.0006814552026132314,0.0,0.16812096153578518,0.0011851799999396029,0.00978784709714724,0.043243317515486525,0.012522990366811657,0.0016257684659014805,0.04367941664798015,0.037613096092904454,0.02903494944963342,0.15691232775187855,0.12681814533690874,0.03518209874213202,0.023541934862393078,0.01975935841819148,0.03993047775819115,0.010886064652354822,0.039221214787723224,0.058789210706225725,0.03368916189044291,0.01972082923820202,0.020136059238770414,0.05305473225093472,0.031017162191329536,0.03930490294277602,0.04503052340538418,0.052334455918297655,0.028196603048008157
21,'ElectricBass',6,0.13576547071336784,0.0416692157259291,0.13892633872829957,0.1680319753773194,0.16987486735505578,0.16996987655290272,0.16875014397918728,0.16812096153578518,0.0,0.16693578153584562,0.1644107836960272,0.13088090347344022,0.15559797116897353,0.1697410451655752,0.1405323638654639,0.13952851569932825,0.168036480805026,0.011212437449843168,0.04130666835092054,0.1529157876129922,0.14457902667339212,0.148364743526022,0.1586446125248424,0.16546633702271607,0.16208727450335472,0.15230538702673807,0.16298191309276805,0.1637655676994321,0.15890200785284142,0.12187015983727877,0.15270433976499578,0.1525613458905933,0.13986875786161543,0.13884972433041556,0.13992435848777704
21,'ElectricBass',7,0.06881041291620262,0.15019818957100872,0.04078912628357051,0.001096193841473809,0.002955645114850538,0.0030340950170571063,0.0018378753927329107,0.0011851799999396029,0.16693578153584562,0.0,0.008622151953661155,0.044421695044558646,0.011337810366872056,0.0028052636297296075,0.044853132044229554,0.03645667590278478,0.02784976944969382,0.15604055781396237,0.12566172514678906,0.034022327686434754,0.022356824769478853,0.0186029382280718,0.038765878370376684,0.00970088465241522,0.03804467450702032,0.057605702994652064,0.03252254647558601,0.01855894653907657,0.01897439423904686,0.05423991225087432,0.03220234219126914,0.038119722942836415,0.04386804815206211,0.05116370624583616,0.027038061132962043
23,'ElectricPiano',1,0.06020774581899497,0.14158691574509075,0.03218645918636288,0.009698860938681447,0.011577797068511692,0.011636762114264744,0.010460027346394065,0.00978784709714724,0.1644107836960272,0.008622151953661155,0.0,0.053024362141766285,0.01855128688915349,0.011407930726937245,0.05345798879176098,0.027834523949123623,0.01924710235248618,0.16464322491117,0.1306313185768469,0.025400175732773592,0.025537268383562017,0.02445842711962337,0.03014372641671553,0.001098217555207582,0.029433367690575984,0.049001363609078474,0.02390131479329567,0.009936794585415415,0.010352242285385704,0.06284257934808196,0.04080500928847678,0.029517055845628776,0.03524589619840097,0.04254660882115041,0.026724488728869816
