% Distances between instruments for pitch 80 (G#5)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 4 (BanjoFramus), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 5 (Banjolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 9 (Bouzouki), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 17 (Domra), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 19 (DungDkarTrumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 24 (Erhu), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 30 (Melodica), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 31 (MorinKhuurViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 41 (Shakuhachi), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 49 (Ukulele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 52 (Flugelhorn), style 1' NUMERIC

@DATA
3,'Bandura',1,0.0,0.11002743711632791,0.04762665921732876,0.037330074798786764,0.06477111558674824,0.010407398628687326,0.016195678892119512,0.060877834266475896,0.07802516499999457,0.04543096360569143,0.04258658064311207,0.04572988250643725,0.070417733384138,0.027840703952934004,0.02621289862951802,0.048808521517011184,0.020987642642678096,0.023218167318853938,0.0026572871598256657,0.022403211857247658,0.017247342814982945,0.007203609397907341,0.011135176478074597,0.006976731626558405,0.031742880897619924,0.01538628977561785,0.07380300807010749,0.02660945103448838,0.05262680230679565,0.03458930305360471,0.025131515786077627,0.011090352314060392,0.021244147010863915,0.008312953127325799,0.013107114982219413,0.024363519203984527,0.026929522185214837,0.013384682645947596,0.05222415868315766,0.05323733333653053,0.07503760180657572,0.0561983701172003,0.03677667356079472,0.028846186029937163,0.062221629707236825,0.03061073051672269,0.02981745764834223,0.034125275322837496,0.04798157937160624,0.05764007349618557,0.01606016514430547,0.029162158501570366,0.02787816804194144,0.022409127197939634,0.08560967502977211,0.11286174942872769,0.0210868273128106,0.007076852576649128,0.04065785220191387,0.013240831098743674,0.10188107010876142,0.060471044597314505,0.03407039301559404,0.02989730458802854,0.01724938042029931,0.06918273414171011,0.027452336160673895,0.041342465544516906,0.02149341495879559,0.029362840837226286,0.06123257191822854,0.028930787742396182,0.0389027808305856,0.03448835058830258,0.05065119608339106,0.012127484472392742,0.03334456474076175,0.06898811310514731,0.02635633473987854,0.04550222351680456,0.020528248213843834,0.06937853167992755,0.04128069256712672,0.04720675234098456,0.057393386519038914,0.010487079033669447
4,'BanjoFramus',1,0.11002743711632791,0.0,0.06240077789899915,0.09426497025783263,0.17284351741441065,0.11559852101940789,0.12622311600844743,0.0513623605040992,0.032002272116333344,0.07539257557996153,0.06745966835614799,0.06429755460989066,0.03968069038641474,0.082239358416852,0.08383640057150842,0.06124598359452068,0.09445477937993317,0.1329021175669083,0.11234123740788003,0.12914895398121676,0.12322995210531995,0.10319518323117755,0.12081912672612898,0.11274991935968261,0.13783033458535532,0.10921819128759085,0.05752112558843756,0.09396535895450055,0.0768781778507224,0.07614157683001481,0.10705968981041192,0.10776044303926809,0.08941584359913646,0.10221704999909043,0.09929544157073056,0.08973660977092919,0.0837710809667903,0.09810115203850805,0.11967804583661969,0.1205932412565427,0.1423935097265879,0.12355427803721246,0.1464606238088491,0.0963162097418697,0.04785802435712997,0.07945889566312324,0.08027793657800521,0.07598097238027209,0.06210675496586079,0.13252525502150259,0.11881236107362525,0.092589301643996,0.09892010224665619,0.08771626975294794,0.08746123925415743,0.22254569967678206,0.12650170169408737,0.10711808232282234,0.1257288941261974,0.11233580521711456,0.03521111328914036,0.04962929455376137,0.10139965502202768,0.11831173816806474,0.09291370685663657,0.040894542337560104,0.08260412661287603,0.12987485133398757,0.13117736520684997,0.13904679108528065,0.16723913709482396,0.08199912022877193,0.12382951227537149,0.07601309561217397,0.05937624103293685,0.11512547571106041,0.1430285149888161,0.17867206335320165,0.09048755061391074,0.12087467329616243,0.10287098537123013,0.1682717842401434,0.0693625100514642,0.0642547098033986,0.05341771407936016,0.10309175272788944
5,'Banjolin',1,0.04762665921732876,0.06240077789899915,0.0,0.032252097915353495,0.11046760686688488,0.05319774312040874,0.06382233810944828,0.05561590590597685,0.030437294262193233,0.04017876100211374,0.0050837578086222,0.02514159953385316,0.02279107416680924,0.019863447869326208,0.021460490023982634,0.001181862299682424,0.03205400148093402,0.07052620701938252,0.04996532686035426,0.06675401441490825,0.060854041557794177,0.0407944053321784,0.05844321617860319,0.05034914146068347,0.07542955668635615,0.04681741338859169,0.0688230106976211,0.03158944840697477,0.047353302203837815,0.025842732359783304,0.04468377926288614,0.045359665140268936,0.027015065700137314,0.039816272100091255,0.03691953102320477,0.02733583187193005,0.021370303067791138,0.03570037413950892,0.05727726793762054,0.05821733070901692,0.08001759917906211,0.06117836748968669,0.08408471326132332,0.03391543184287054,0.014594970489908064,0.017082985115597464,0.01790202603047943,0.013605061832746295,0.00035492015427748006,0.07012447712250343,0.0564115831746261,0.030213391096470216,0.03651932434765703,0.025315491853948786,0.08031105814048554,0.16016978912925628,0.0641257911465616,0.04474217177529657,0.06332811622719825,0.04993502731811541,0.09658245321947485,0.05066743680847843,0.03902374447450189,0.05593582762053897,0.03051292895763742,0.021556074924381344,0.020228216065350246,0.06749894078646178,0.06880145465932418,0.07667088053775488,0.1048632265472982,0.02363217085310962,0.06145360172784573,0.01778144976555528,0.041702812537602184,0.05274956516353462,0.08065260444129034,0.1162961528056759,0.028086772714911584,0.058498762748636655,0.04047020747223098,0.1058958736926176,0.02292580426872173,0.027877209439821266,0.05217237915825179,0.040715842180363664
9,'Bouzouki',1,0.037330074798786764,0.09426497025783263,0.032252097915353495,0.0,0.0788240545139047,0.027065140835132565,0.032482358497843186,0.042902609753733424,0.06226269814149928,0.018872394677871104,0.03733585572397569,0.029967415647941965,0.05465526652564271,0.052115545784679695,0.017149948202109525,0.0330460546585159,0.016781586051553336,0.05182922789904174,0.03545562140014643,0.059635307145087545,0.054479438102822825,0.04308514463760965,0.036472930582463724,0.044208826914398286,0.04356536432752267,0.02201418582797704,0.03685265420200007,0.06384154632232826,0.017386792407110222,0.018924815706056305,0.013040226909905963,0.026764938069835625,0.03708246366372547,0.03802584691287692,0.024485705567830446,0.017935349256523434,0.015539554747733206,0.04568848971087628,0.08945625397099755,0.09046942862437042,0.1122696970944156,0.09343046540504019,0.06342675826662393,0.06607828131777704,0.04645916284874154,0.04933508303095096,0.05015412394583293,0.045857159748099785,0.03221911251311096,0.038260284763669945,0.024547390815792627,0.008474825697197043,0.009969119933989296,0.014964755453816212,0.04827960023098534,0.12852623677627611,0.058318922600650476,0.044308947864489,0.03165575480423549,0.02426240790961472,0.06455099530997466,0.04470857773881922,0.007380192121521706,0.024292275267558783,0.028673295172920155,0.05342026728321481,0.020352068376584286,0.03585538843348159,0.037157902306344,0.045027328184774694,0.07321967419431802,0.012324868833416158,0.029810049374865543,0.018823863240754173,0.03488908479212589,0.02545749738203461,0.049009052088310155,0.08465260045269572,0.010973740058908223,0.026855210395656467,0.017353256811958363,0.07425232133963743,0.02561620521957832,0.031542264993436146,0.040847256178472464,0.027120100030192777
10,'Cello',3,0.06477111558674824,0.17284351741441065,0.11046760686688488,0.0788240545139047,0.0,0.057348039087296306,0.05992339928580465,0.12154271279057234,0.14090490112907814,0.09752222347163138,0.10538384905826269,0.10856195214423403,0.13316282702799595,0.09060415899755868,0.08900711684290226,0.11159753381988997,0.0791713787981957,0.07894883139010939,0.06264196849025819,0.0868498695945051,0.08160775625041916,0.07052618542557114,0.06359201366503996,0.07164060197710705,0.0353437079409698,0.06380043267933837,0.11567670871590478,0.0909746136314525,0.09601532370149035,0.097748870219961,0.06578382760399874,0.06595177682852538,0.08440371417722022,0.07147252029368209,0.07354807584368012,0.08752308637034083,0.09008908935157113,0.07654424981230389,0.11674976663508223,0.11761175685187009,0.1394383752402181,0.12055407118520069,0.09054584134920018,0.09338793054033222,0.12498549305728068,0.09338462175128742,0.09256558083640547,0.09686490527286168,0.11073676244854987,0.0420386872427459,0.054909873992603137,0.08025421577041467,0.074784115213172,0.08551454238270535,0.08538663658715549,0.04974592300366457,0.08544701512837148,0.071441636034575,0.04716829970966921,0.06058005534505114,0.1376324041252703,0.1232142228606493,0.071443862392383,0.05453177924634592,0.08040894758665561,0.13194897507685058,0.09023939080153465,0.0429686660804231,0.043716201519594065,0.03853868534099885,0.0056046367886733684,0.09084439718563875,0.04901400513903916,0.09764791775465886,0.1137131393060306,0.057718041703350265,0.03926501380256832,0.03186057247021459,0.08261946406960592,0.05197441339692427,0.07086744913846953,0.004626543774479678,0.10444025973348303,0.11036631950734084,0.1195282802150233,0.06975176468652122
12,'Clarinet',1,0.010407398628687326,0.11559852101940789,0.05319774312040874,0.027065140835132565,0.057348039087296306,0.0,0.01062459498903954,0.06423616051530869,0.08359624890307454,0.04020594543944637,0.048157664546192025,0.05130096640951722,0.07598881728721797,0.03341178785601397,0.03178398253259799,0.05437960542009116,0.02182333971089939,0.024764087063909174,0.008390480565013863,0.03257016630995497,0.02741429726769026,0.016162468467510214,0.009407789747331153,0.01727688501904613,0.022231813565947417,0.006452393592042048,0.06363605361740017,0.0367764054871957,0.04221940367810833,0.04040083113266469,0.014724117157390302,0.008603737741229063,0.0270556750899239,0.01412448120638578,0.01632031784261377,0.03017504728304451,0.03274105026427482,0.019196210725007577,0.062391113135864984,0.06340428778923785,0.08520455625928304,0.06636532456990762,0.036361617431491376,0.03902421358227131,0.0677927136103168,0.036181814419802664,0.035388541551422195,0.039696359225917466,0.05355266327468622,0.04747311904347826,0.005893210691598159,0.023070621418065873,0.017711213589234127,0.02816650329540904,0.07520227640108479,0.10705022134966773,0.031253781765517914,0.01724380702935644,0.030250453573226543,0.0032627158022933297,0.09147367148007408,0.06604212850039447,0.023662994386906708,0.019489905959341216,0.023060908499359295,0.07475381804479007,0.03302342006375386,0.03093506691582958,0.01568188687973561,0.023551312758166302,0.05174365876770964,0.03365841959499142,0.028495382201898272,0.04029987866736256,0.05636510021873428,0.001720085843705416,0.02753303666170177,0.06317658502608732,0.02527142498230961,0.035094824888117236,0.013519410051173207,0.05897113305124022,0.047092220646186705,0.05301828042004453,0.06218080694004772,0.012538365199267246
12,'Clarinet',2,0.016195678892119512,0.12622311600844743,0.06382233810944828,0.032482358497843186,0.05992339928580465,0.01062459498903954,0.0,0.07486075550434822,0.09422084389211409,0.0508305404284859,0.058782259535231564,0.06192556139855677,0.08661341227625752,0.04403638284505351,0.042408577521637535,0.0650042004091307,0.0321302358629224,0.019522103573181952,0.013891064941090452,0.027328182819227748,0.022172313776963038,0.023322033628990338,0.005481936406202846,0.013473196648764807,0.026895164596676346,0.01700492472085659,0.06894446174750579,0.032320223175457456,0.049344938157725025,0.050707727284687705,0.020283799485134053,0.018910633893252076,0.03736257124194691,0.024431377358408793,0.026944912831653314,0.04048194343506752,0.04304794641629783,0.029503106877030588,0.05714912964513776,0.058162304298510624,0.07996257276855583,0.0611233410791804,0.03111963394076415,0.03377115699191726,0.07841730859935635,0.0468064094088422,0.04601313654046174,0.050320954214957005,0.06417725826372576,0.05271510253420549,0.011135194182325383,0.03369521640710541,0.02774297227789871,0.038506846255499494,0.08076195872882853,0.09674332519764471,0.026011798274790693,0.019167878946173906,0.03581013590097029,0.013887310791332872,0.09703335380781784,0.07666672348943403,0.029222676714650456,0.025049588287084965,0.0333678046513823,0.0853784130338296,0.0436480150527934,0.03649474924357333,0.016207197766210598,0.021384713944805813,0.056384855617284964,0.044283014584030965,0.03405506452964202,0.05060677481938558,0.06684687497551058,0.011107039995700957,0.020666486140778404,0.05286968887406432,0.03573556539453669,0.04065450721586098,0.02382630620319622,0.06453081537898397,0.05739911679820972,0.06332517657206756,0.07280540192908726,0.023162960188306787
15,'DallapeAccordion',1,0.060877834266475896,0.0513623605040992,0.05561590590597685,0.042902609753733424,0.12154271279057234,0.06423616051530869,0.07486075550434822,0.0,0.025180711594523533,0.02403021507586232,0.060699663714599054,0.030483184383883023,0.032920685744865806,0.07547935377530306,0.04051375619273288,0.05448597895297175,0.043092418875833975,0.08160131294306999,0.06104043278404172,0.0829991151357109,0.07784324609344619,0.06663290410529879,0.06951832210229066,0.06774732065683471,0.0864679740812561,0.05785583078349164,0.013207104791644253,0.08720535431295162,0.025527389089081993,0.030758547301497813,0.055758885186573605,0.05639808253516888,0.06063022313141461,0.06157360638056606,0.04799463694689223,0.04148310872421257,0.03908731421542234,0.06923624917856541,0.11285648531480989,0.11383323661499378,0.135633505085039,0.11679427339566356,0.09515981918501076,0.08949464922005988,0.041098019715581045,0.07269889102157433,0.07351793193645628,0.06922096773872315,0.055346750324311855,0.08116289451740337,0.06745000056952605,0.04128849702015768,0.047557741742556975,0.03851251492150535,0.036156076203416855,0.17124489505294374,0.08168273059127384,0.06767275585511236,0.07437441308090315,0.06097344471301536,0.04100323584228552,0.005046238483719748,0.05009885039818935,0.06701093354422644,0.0522210546406093,0.03413453769601117,0.04371587636720765,0.07857404671014924,0.07987656058301164,0.08774598646144234,0.11593833247098566,0.03206762120869606,0.07252870765153319,0.038590396212582874,0.014097400412670566,0.06382467108722208,0.0917277103649778,0.12737125872936336,0.03912519010981153,0.06957386867232411,0.051508624867130925,0.11697097961630505,0.03358779812753079,0.02945465248222349,0.0034844477474369855,0.051790948104051125
17,'Domra',1,0.07802516499999457,0.032002272116333344,0.030437294262193233,0.06226269814149928,0.14090490112907814,0.08359624890307454,0.09422084389211409,0.025180711594523533,0.0,0.043390303463628176,0.03552105207081543,0.03234294898484408,0.007742074101082187,0.05030074213151944,0.05189778428617586,0.02930736730918813,0.062452507263599834,0.10096350128157576,0.08040262112254748,0.09719130867710146,0.0912913358199874,0.07119291111484422,0.08888051044079642,0.08074764724334928,0.10582806246902195,0.07721591917125749,0.038385716435427875,0.062026742669168,0.04488957742758776,0.044139304713681465,0.07512107352507938,0.07575817092293474,0.05741357148280313,0.07021477788275705,0.067356825285398,0.05773433765459585,0.05176880885045695,0.06609887992217472,0.08767577372028634,0.08865462497121014,0.11045489344125535,0.0916156617518799,0.11452200752351654,0.06431393762553635,0.015919408071797425,0.04752027937779069,0.04833932029267266,0.044042356094939526,0.03016813868052824,0.10052298290516921,0.0868100889572919,0.06065068535866345,0.06691783013032283,0.05571399763661459,0.05551826454192263,0.19060708339144952,0.09456308540875481,0.0751794660374898,0.09373660141940891,0.08033353310078122,0.06618394743680905,0.02026893102581263,0.06946103873669512,0.0863731218827322,0.06091143474030322,0.00895592605222755,0.05066551032754348,0.09793623504865501,0.0992387489215174,0.10710817479994811,0.13530052080949143,0.05006050394343937,0.09189089599003897,0.04401082349584063,0.02737396891660351,0.08318685942572786,0.11108989870348357,0.14673344706786914,0.0584852784975774,0.08893605701082989,0.07086871325489678,0.13633316795481085,0.03736023793513085,0.03225243768706527,0.021735084896058552,0.07115313644255689
19,'DungDkarTrumpet',1,0.04543096360569143,0.07539257557996153,0.04017876100211374,0.018872394677871104,0.09752222347163138,0.04020594543944637,0.0508305404284859,0.02403021507586232,0.043390303463628176,0.0,0.045262518810735945,0.015046039480019915,0.03578287184777161,0.060042208871439955,0.025076611288869774,0.03904883404910864,0.024882474858458004,0.059755890985801995,0.043382284486906675,0.06756197023184779,0.062406101189583084,0.05118603344451431,0.0454978327833497,0.05230044999605024,0.06243775900539378,0.03382561570762931,0.02864424969550736,0.07176820940908851,0.007195838701104222,0.015311676640713348,0.03173839586763265,0.034865826876740294,0.04518335247063015,0.04612673571978159,0.03241236865459069,0.026036238063428103,0.023640443554637874,0.05378937851778095,0.09740961465402541,0.09839609171113066,0.12019636018117585,0.10135712849180044,0.0713534213533842,0.07404777855927541,0.027586768170870437,0.05726174611771121,0.05808078703259317,0.05378382283486003,0.039909605420448746,0.057132679441541045,0.04341978549366373,0.017268007701216722,0.023527526666694654,0.023065644260720882,0.04017871142408067,0.14722440573400278,0.06624558568741074,0.052235610951249255,0.05035392376196218,0.03694322963715303,0.05645010650306998,0.02583618306094811,0.02607836107924839,0.04299044422528547,0.03677418397982483,0.03454787260534371,0.028278731463344534,0.054553557391208284,0.05585607126407068,0.06372549714250138,0.0919178431520447,0.016630476304832945,0.04850821833259222,0.02314352555179841,0.016190915834399206,0.03980418176828112,0.06770722104603684,0.10335076941042241,0.019074628865812893,0.04555337935338314,0.0274784097912686,0.09295049029736412,0.018140927466746323,0.014007781821439025,0.022006056743391917,0.03504676311695303
