% Distances between instruments for pitch 33 (A1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 40 (ScaleChangerHarmonium), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 44 (Tanbur), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
6,'Bass',1,0.0,0.03516534021871856,0.05583718446329974,0.03111126896452433,0.05758112087281558,0.0960648064330785,0.0978176702152453,0.0975426770129617,0.09687316535870046,0.09460469949813456,0.06013222428796026,0.09434202631360729,0.08617344975770208,0.06115875327949133,0.09396952460871695,0.09597516263416096,0.07517557866446722,0.06457868171659704,0.05676302917087203,0.06901378013817099,0.1066579364982808,0.0759715198741841,0.05455436369671738,0.07558093486809707,0.062474667100774935,0.050884873146287424,0.06002721535001971,0.07508313623986355,0.05665180732591149,0.060656588599128515,0.07557678141526943,0.0737515288056903,0.048007108445317664,0.040922174562061625,0.084350213707116,0.05945019433822374,0.05698368061169945,0.0254090716408344,0.04150394987385728,0.05891509664567132
6,'Bass',2,0.03516534021871856,0.0,0.021307245135281757,0.007173802785164187,0.0230511815447976,0.06089946621435995,0.06265232999652674,0.06237733679424312,0.0617078251399819,0.05943935927941601,0.0254260113718823,0.059176686094888735,0.05100810953898352,0.02599341306077277,0.058804184389998404,0.060809822415442416,0.040010238445748664,0.029413341497878494,0.02167899913194911,0.03761845946004035,0.12418409568307275,0.09349767905897605,0.036392803621224865,0.040415594649378515,0.027309326882056385,0.0318478406057349,0.0253130030447585,0.039917796021144994,0.038671426538193186,0.02992258575826333,0.04041144119655086,0.03858618858697174,0.03349887652095822,0.02949397417070761,0.04918487348839745,0.02428485411950518,0.022453741283681466,0.013065305830983495,0.014228740867370054,0.023749756426952765
7,'Bassoon',1,0.05583718446329974,0.021307245135281757,0.0,0.024725915498775407,0.0056747154431242425,0.04380479929431678,0.04555766307648357,0.04528266987419995,0.04461315821993872,0.04234469235937283,0.013389558267467497,0.04208201917484556,0.03391344261894035,0.03199667400056819,0.041709517469955236,0.043715155495399234,0.023503623134162013,0.012318674577835318,0.0076669779649582845,0.02663977435020168,0.13937535900814998,0.1086889423840533,0.025414118511386197,0.023320927729335337,0.013877303228419758,0.02086915549589624,0.01433431793491983,0.02518535314109448,0.027511562140580297,0.018943900648424664,0.02331677427650769,0.021491521666928567,0.04812719360824328,0.04468523749578487,0.03209020656835428,0.03516454964094489,0.00980688529385315,0.03119662789329845,0.01516995575592328,0.013770076213734153
7,'Bassoon',2,0.03111126896452433,0.007173802785164187,0.024725915498775407,0.0,0.02695420653576355,0.06556833452179626,0.06732119830396306,0.06704620510167944,0.06637669344741821,0.06410822758685232,0.02963575237667802,0.06384555440232505,0.05567697784641984,0.030662281368209084,0.06347305269743471,0.06547869072287872,0.04467910675318498,0.03408220980531481,0.026266557259589794,0.03851730822688875,0.13135789846823692,0.10067148184414022,0.030469198780003343,0.045084462956814834,0.0319781951894927,0.025924235764513383,0.02953074343873747,0.044586664328581306,0.03256664240919745,0.030160116687846277,0.04508030950398718,0.04325505689440806,0.04010973306833022,0.036667776955871804,0.05385374179583377,0.0289537224269415,0.026041409830807327,0.020239108616147684,0.011007477962575042,0.02841862473438908
13,'Contrabassoon',1,0.05758112087281558,0.0230511815447976,0.0056747154431242425,0.02695420653576355,0.0,0.03861412798603272,0.040366991768199516,0.040091998565915894,0.03942248691165467,0.037154021051088774,0.007714842824343256,0.0368913478665615,0.028722771310656287,0.02632195855744394,0.03651884616167117,0.03852448418711518,0.01782890769103777,0.010545281571882175,0.009894958509314314,0.02886775489455771,0.13370064356502576,0.10301422694092906,0.02764209905574223,0.018130256421051278,0.016105283772775786,0.023097136040252264,0.016562298479275858,0.027413333685450503,0.029739542684936327,0.021171881192780694,0.01812610296822363,0.018382456537908536,0.042452478165119045,0.039010522052660625,0.02689953526007022,0.02948983419782065,0.012350222282049265,0.032940564302814286,0.016913892165439124,0.008095360770609912
21,'ElectricBass',1,0.0960648064330785,0.06089946621435995,0.04380479929431678,0.06556833452179626,0.03861412798603272,0.0,0.0017898251640106036,0.001478512503026013,0.000897015461542431,0.0014601069349439463,0.03593258214511825,0.001722780119471218,0.009891356675376432,0.04233469585587419,0.0020952818243615483,8.964379891754138e-05,0.03384164498946802,0.03153444117374572,0.039301777262206475,0.027085288226277607,0.16431363111647534,0.13211547632888201,0.043732559740514244,0.02052289486958057,0.03366454765449815,0.04517993328679109,0.0360375910830588,0.020981670193214962,0.04075154538446508,0.03540821783394999,0.020519038449333685,0.022339845139752634,0.059348882475527054,0.05526686499495229,0.03251113580503079,0.04550257149625089,0.039526924690988945,0.07065573479224412,0.05456085655922122,0.03714970978740719
21,'ElectricBass',2,0.0978176702152453,0.06265232999652674,0.04555766307648357,0.06732119830396306,0.040366991768199516,0.0017898251640106036,0.0,0.0003113126609845905,0.0009445048565448459,0.003212970717110736,0.03768544592728504,0.003475643901638008,0.011644220457543222,0.0405818320737074,0.0038481456065283383,0.001842507581084331,0.03208878120730123,0.03332426633775633,0.041054641044373265,0.028875113390288212,0.16610345628048595,0.13390530149289262,0.045485423522681034,0.022312720033591176,0.03545437281850876,0.04693279706895787,0.03779045486522559,0.022739614694771777,0.04250440916663187,0.03716108161611678,0.02230886361334429,0.02412967030376324,0.05755905731151645,0.05689549565318367,0.030721310641020183,0.0437497077140841,0.041279788473155735,0.0724085985744109,0.05631372034138802,0.038902573569573974
21,'ElectricBass',3,0.0975426770129617,0.06237733679424312,0.04528266987419995,0.06704620510167944,0.040091998565915894,0.001478512503026013,0.0003113126609845905,0.0,0.0006695116542612295,0.0029379775148271198,0.037410452725001424,0.0032006506993543914,0.011369227255259606,0.040856825275991014,0.003573152404244722,0.0015675143788007146,0.03236377440958484,0.033012953676771734,0.04077964784208965,0.02856380072930362,0.16579214361950137,0.133593988831908,0.04521043032039742,0.022001407372606585,0.035143060157524164,0.04665780386667426,0.03751546166294197,0.022459540773098138,0.04222941596434825,0.03688608841383317,0.0219975509523597,0.023818357642778648,0.057870369972501036,0.056620502450900057,0.031032623302004774,0.044024700916367725,0.04100479527087212,0.07213360537212728,0.056038727139104405,0.03862758036729036
21,'ElectricBass',4,0.09687316535870046,0.0617078251399819,0.04461315821993872,0.06637669344741821,0.03942248691165467,0.000897015461542431,0.0009445048565448459,0.0006695116542612295,0.0,0.00226846586056589,0.0367409410707402,0.002531139045093162,0.01073366269314504,0.04152633693025225,0.0029036407499834923,0.0008980027245394851,0.03303328606384607,0.03243145663528815,0.04011013618782842,0.027982303687820037,0.1652106465780178,0.13301249179042443,0.04454091866613619,0.021419910331123,0.03456156311604058,0.04598829221241304,0.03687239146775903,0.021846804992303608,0.04155990431008702,0.03621657675957193,0.021416053910876115,0.023236860601295067,0.05845186701398462,0.05595099079663882,0.03164390714112069,0.04469421257062895,0.040335283616610894,0.07146409371786606,0.05536921548484317,0.037958068713029126
21,'ElectricBass',5,0.09460469949813456,0.05943935927941601,0.04234469235937283,0.06410822758685232,0.037154021051088774,0.0014601069349439463,0.003212970717110736,0.0029379775148271198,0.00226846586056589,0.0,0.034472475210174304,0.0002626731845272717,0.008533275148461453,0.043794802790818134,0.0006674540868738254,0.0013721811240595457,0.03530175192441196,0.03023106909060457,0.037841670327262523,0.025781916143136453,0.1630102590333342,0.13081210424574083,0.04227245280557029,0.019219522786439413,0.032361175571357,0.043751092894497044,0.03467200392307545,0.01964641744762002,0.03929143844952113,0.03394811089900605,0.01921566636619253,0.02103647305661148,0.06065225455866821,0.05657023707809345,0.03391237300168658,0.046962678431194844,0.038066817756045,0.06919562785730017,0.05313808397767474,0.03569304563761942
