% Distances between instruments for pitch 88 (E6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 41 (Shakuhachi), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
3,'Bandura',1,0.0,0.017939092341530783,0.049103259047463106,0.017313451195374387,0.03766120160047943,0.02665606692967418,0.014724172421156664,0.033277147881268794,0.01875159304769189,0.07627766753101488,0.052094701944897674,0.04288560750693615,0.04169888383468758,0.01097081859601693,0.06407180049282248,0.026023594618378453,0.013798609549201611,0.019465077439012723,0.063476258559496,0.013234668311440009,0.06786949204429156,0.06833777497387934,0.09260729529775953,0.06395951669151766,0.06108834093565128,0.016101230595479927,0.04244007020374276,0.02868427827741948,0.02396694865254416,0.03206888118059281,0.03616194810061612,0.03056007514425597,0.02580957482953679,0.012097321211649326,0.08488205103518975,0.038325610847771495,0.021169333793744274,0.018127471055941233,0.025373875360388914,0.03967294866490682,0.01755699523988001,0.01885207506514625,0.048989666350414934,0.023629420415533953,0.039790532437290055,0.038674966098244806,0.00892487549936707,0.04233456359393207,0.024949766640975563,0.028525677749732067,0.05114880188393123
12,'Clarinet',2,0.017939092341530783,0.0,0.05365936620523043,0.03525254353690518,0.042533777474133415,0.044595159271204964,0.032663264762687445,0.041330990541630946,0.036690685389222676,0.06137971779819837,0.03677841712717001,0.030682375068358015,0.026800934101871066,0.006968273745513853,0.049173850760005966,0.012249820709393996,0.004140482792329173,0.013774502787219811,0.06796264493711794,0.004704424030090776,0.06603805877935186,0.06650634170893964,0.09077586203281984,0.06212808342657795,0.05925690767071157,0.02316353680985268,0.047312646077396735,0.033541001517013974,0.01721187165131326,0.0500079735221236,0.0541010404421469,0.013938852941452891,0.010196824765118085,0.006057714563606668,0.08975462690884374,0.043198186721425474,0.02604190966739825,0.023000046929595213,0.02951464585094393,0.042628095277476984,0.021957979482571433,0.01027774839034886,0.0460166100592763,0.01641608369420462,0.04434140167378714,0.04354754197189878,0.009103389881542075,0.04579271333709819,0.031807568917171715,0.03857651537096143,0.06402589993443711
15,'DallapeAccordion',1,0.049103259047463106,0.05365936620523043,0.0,0.05311277527868959,0.01350849509002384,0.04377854739117761,0.055698304884597157,0.01595221011822322,0.051670121701414794,0.09774607373804,0.07324663943603614,0.08161706738076083,0.07357050817798437,0.05416103873243064,0.08554020669984759,0.06529682214840342,0.054063839771925186,0.04083591136486351,0.022914381683990608,0.05158123221639329,0.11697275109175465,0.11744103402134247,0.14171055434522264,0.11306277573898076,0.11019159998311438,0.06520448964294304,0.02554600723696965,0.04041517329309795,0.04543535485956928,0.03837024740226264,0.03427506647695653,0.05171201263539443,0.046961512320675254,0.04762279386014175,0.03609526070361331,0.01355441563057553,0.0425773356180959,0.03110970975663389,0.0241447203542865,0.06114135487193193,0.03170138672265899,0.06121244070275167,0.07045807255744006,0.06735077600660744,0.00931796453144329,0.010603114825184362,0.056854803665224295,0.06374535878315248,0.02421438014951265,0.021086721925120722,0.02493487010176786
23,'ElectricPiano',1,0.017313451195374387,0.03525254353690518,0.05311277527868959,0.0,0.041651928393961694,0.009342615734299795,0.0025892787742177255,0.03716056516046636,0.0014426535772747975,0.09344919149235902,0.06940815314027206,0.06019905870231054,0.05890367653623806,0.028284269791391318,0.08123682066363148,0.04333704581375284,0.031112060744576,0.03677852863438711,0.06748577479072247,0.030548119506814398,0.06385997581306507,0.06432825874265287,0.08867898148651028,0.05995000046029117,0.057078824704424796,0.012091714364253449,0.04629064017238948,0.0362760709155067,0.04114406056031415,0.014755429985218421,0.018848496905241728,0.04787352633963035,0.04312302602491117,0.02941077240702371,0.08881213918257551,0.04217618081641821,0.0382750076050817,0.022003065522055696,0.029383391591615394,0.056827453597701444,0.021566511471106487,0.03611968401639523,0.06614417128320955,0.04093552575073262,0.043800048668516535,0.04252553606689152,0.026238326694741455,0.05964801478930646,0.028959282872202046,0.03253519398095855,0.05511283187565394
23,'ElectricPiano',2,0.03766120160047943,0.042533777474133415,0.01350849509002384,0.041651928393961694,0.0,0.03231770050644973,0.04423745799986927,0.015413197645354674,0.0402092748166869,0.08423757864801616,0.06007340249964316,0.07042023290373652,0.062109661293256485,0.04281656804694928,0.07203171160982376,0.0541712334173064,0.04293825104082816,0.028759274686913597,0.03642287677401445,0.04045564348529626,0.10551190420702677,0.10598018713661456,0.13024970746049477,0.10160192885425286,0.09873075309838648,0.05374364275821514,0.012037512146945812,0.026941320274877795,0.031926859769545436,0.02690940051753475,0.02818324754587063,0.03853877569900146,0.034736825119453175,0.036497205129044724,0.04722084943471033,0.0006644092472920678,0.029068840528072067,0.019648862871906,0.013019131623189475,0.0476328597819081,0.02057579799156197,0.04975159381802378,0.05694957746741621,0.05590137269944803,0.016008453030785106,0.015133703701827142,0.045729214934127266,0.05031326414867756,0.01308879141841563,0.013503121255705708,0.03810810703816084
23,'ElectricPiano',3,0.02665606692967418,0.044595159271204964,0.04377854739117761,0.009342615734299795,0.03231770050644973,0.0,0.01193189450851752,0.02782633727295439,0.007904473881982293,0.10279180722665882,0.07875076887457184,0.06954167443661034,0.06824629227053786,0.037626885525691114,0.09057943639793127,0.05267966154805263,0.040454676478875795,0.046121144368686896,0.058151546903210505,0.03989073524111419,0.07319420370057704,0.07366248663016484,0.09802159722081007,0.06928422834780315,0.06641305259193676,0.021431622461352287,0.03694802443808968,0.0456186866498065,0.05048667629461395,0.005412814250918628,0.009505881170941935,0.057216142073930144,0.05246564175921097,0.03875338814132351,0.07947791129506353,0.03283356508211842,0.04761762333938149,0.02170716237102113,0.02004916370410342,0.06616168148521341,0.027376369901978153,0.045462299750695025,0.07547839917072154,0.05027814148503242,0.03446582078100456,0.03318292033259173,0.03558094242904125,0.06899063052360625,0.019625054984690072,0.023200966093446573,0.045778603988141965
23,'ElectricPiano',4,0.014724172421156664,0.032663264762687445,0.055698304884597157,0.0025892787742177255,0.04423745799986927,0.01193189450851752,0.0,0.03974609476637394,0.004028183183182367,0.0908599127181413,0.06681887436605434,0.05760977992809282,0.05631439776202033,0.025694991017173596,0.07864754188941375,0.04074776703953511,0.028522781970358273,0.034189249860169385,0.07007130439663005,0.027958840732596673,0.0612744462071575,0.0617427291367453,0.08608970271229255,0.0573644708543836,0.054493295098517226,0.009506184758345878,0.048879918946607204,0.03527932411455353,0.03855478178609643,0.01734470875943615,0.021437775679459453,0.045284247565412626,0.040533747250693454,0.02682149363280599,0.09139766878848306,0.044765459590635936,0.03568572883086397,0.02458859512796327,0.03196892119752296,0.054241923991793874,0.02415204107701406,0.03353040524217751,0.06355864167730199,0.03834624697651489,0.046385578274424105,0.04511481484110925,0.023649047920523733,0.057058736015088735,0.03154481247810961,0.035120723586866125,0.05769836148156151
23,'ElectricPiano',5,0.033277147881268794,0.041330990541630946,0.01595221011822322,0.03716056516046636,0.015413197645354674,0.02782633727295439,0.03974609476637394,0.0,0.03571791158319157,0.09954346677908614,0.07548660014499783,0.06627750570703632,0.06498212354096383,0.03843251432773865,0.08733759974089372,0.04978717969809577,0.03855419732161753,0.042856975639112886,0.030325209630256103,0.03662656651154017,0.10102054097353146,0.10148882390311924,0.1258066993364258,0.09711056562075754,0.09423938986489117,0.04925227952471981,0.027343400278015784,0.042354517920232475,0.04723274790061541,0.022418037284039422,0.01832285635873331,0.05395197334435612,0.049201473029636955,0.03548921941174949,0.05165157402210913,0.01535180867162166,0.04437472865914204,0.01845081645453021,0.012051192431207837,0.06293874791297806,0.024112201172404132,0.04534048729243196,0.07225546559848618,0.051517318980237405,0.006639483508050169,0.005397818216976006,0.04134516121491664,0.06572646179403223,0.00952342162445923,0.005577079474813073,0.022775522105331306
23,'ElectricPiano',6,0.01875159304769189,0.036690685389222676,0.051670121701414794,0.0014426535772747975,0.0402092748166869,0.007904473881982293,0.004028183183182367,0.03571791158319157,0.0,0.09488733334467651,0.07084629499258956,0.06163720055462804,0.06034181838855556,0.029722411643708823,0.08267496251594898,0.04477518766607034,0.0325502025968935,0.03821667048670461,0.06604312121344767,0.0319862613591319,0.06530262939033987,0.06577091231992767,0.09011712333882778,0.06139265403756597,0.058521478281699596,0.013534367941528245,0.04485249832007198,0.0377142127678242,0.04258220241263166,0.013317288132900923,0.01741035505292423,0.049311668191947856,0.04456116787722867,0.030848914259341217,0.08736948560530071,0.04073803896410071,0.0397131494573992,0.0205604119447809,0.027940738014340594,0.05827010717497624,0.02012385789383169,0.03755782586871274,0.06758682486048435,0.042373667603050114,0.042357395091241735,0.041087394214574025,0.02767646854705896,0.06108615664162396,0.027516629294927247,0.03109254040368375,0.05367017829837914
25,'Flute',1,0.07627766753101488,0.06137971779819837,0.09774607373804,0.09344919149235902,0.08423757864801616,0.10279180722665882,0.0908599127181413,0.09954346677908614,0.09488733334467651,0.0,0.032975549451907414,0.048100373688555055,0.03969993302199532,0.06540443569650027,0.012212370828727536,0.052682850755129705,0.06470925721231079,0.05691016237317648,0.12066045542203059,0.06407378643228621,0.08306890719555927,0.08353719012514706,0.10787089384045495,0.07915893184278537,0.07628775608691898,0.08136018476530653,0.07223249601680394,0.057330900444942046,0.05231071887847072,0.10820462147757744,0.11229768839760075,0.04744086485674548,0.05118289303308029,0.0672426311465978,0.10313061359304676,0.08422006353385973,0.055174183887277316,0.08109265032455591,0.08835017868300617,0.036634408988741686,0.07602895618967347,0.05742559246586864,0.02733135145280088,0.05264824711548093,0.10024603167880126,0.09924814455355725,0.07048310767974043,0.03400071495488752,0.09052350056556757,0.09774069990372186,0.12231898888441743
25,'Flute',2,0.052094701944897674,0.03677841712717001,0.07324663943603614,0.06940815314027206,0.06007340249964316,0.07875076887457184,0.06681887436605434,0.07548660014499783,0.07084629499258956,0.032975549451907414,0.0,0.015297936351599416,0.010504476604033997,0.04112388334888074,0.03146076797986173,0.028081550084101348,0.04010795654128243,0.03262962450588495,0.09609130033988138,0.039472485761257864,0.05065362006259325,0.051121902992181056,0.07539142331606125,0.04674364470981935,0.04387246895395297,0.057319146413219564,0.060074277270352215,0.04630263270996945,0.029973502844268734,0.08416358312549048,0.0882566500455138,0.025958751315164563,0.026581592362051928,0.04264133047556945,0.10251625810179922,0.06017902518177278,0.038803540860353716,0.057043606503550726,0.0637488780119778,0.055389726470432464,0.05142765551864511,0.03328846912387682,0.058778241252231765,0.02847262738953944,0.07574135945552717,0.0752071062014703,0.04588180700871208,0.058554344530053655,0.06596317852053861,0.07313939923269351,0.09818150953780398
25,'Flute',3,0.04288560750693615,0.030682375068358015,0.08161706738076083,0.06019905870231054,0.07042023290373652,0.06954167443661034,0.05760977992809282,0.06627750570703632,0.06163720055462804,0.048100373688555055,0.015297936351599416,0.0,0.008400440666559737,0.03191478891091922,0.046585592216509375,0.019045567761091595,0.03107197421827268,0.041660958216822926,0.09599006689279371,0.03075015366119223,0.03535568371099384,0.035823966640581635,0.060093486964461824,0.031445708358219936,0.028574532602353556,0.04811005197525805,0.07519910150699986,0.06142745694661709,0.04509832708091638,0.07495448868752896,0.07904755560755226,0.04125668766676398,0.036152985145926166,0.036740089631964686,0.11764108233844688,0.0710846421510286,0.053928365097001364,0.05088650235919833,0.05788768369368663,0.07051455070708011,0.050070803573177725,0.0240793746859153,0.07390306548887941,0.019263532951577924,0.07230434077058777,0.0714339974015019,0.03684582468570234,0.0736791687667013,0.05746357497427327,0.06410341690968376,0.08897241509984248
25,'Flute',4,0.04169888383468758,0.026800934101871066,0.07357050817798437,0.05890367653623806,0.062109661293256485,0.06824629227053786,0.05631439776202033,0.06498212354096383,0.06034181838855556,0.03969993302199532,0.010504476604033997,0.008400440666559737,0.0,0.030825652000172964,0.038185151549949635,0.0181040670588024,0.03013047351598348,0.033466748325261426,0.08794350769001726,0.029495002735958915,0.043402242913770296,0.04387052584335809,0.06817096081845962,0.039492267560996386,0.03662109180513001,0.04681466980918556,0.06679866084044013,0.05315152740794074,0.036697886414356645,0.07365910652145648,0.07775217344147979,0.03321012846398752,0.028106425943149705,0.03266384745027051,0.10926987208187028,0.06268420148446886,0.04552792443044163,0.04653912989951673,0.05377139498667886,0.062114110040520365,0.042024244370401274,0.02284680876954133,0.06550262482231968,0.018069463419153626,0.06566724798247396,0.06470262959743629,0.035904323983413144,0.06544499761177018,0.05594471686924027,0.06316191620739457,0.08774020518809013
25,'Flute',5,0.01097081859601693,0.006968273745513853,0.05416103873243064,0.028284269791391318,0.04281656804694928,0.037626885525691114,0.025694991017173596,0.03843251432773865,0.029722411643708823,0.06540443569650027,0.04112388334888074,0.03191478891091922,0.030825652000172964,0.0,0.053198568658307875,0.015052776022361518,0.0028277909531846807,0.014057293360035682,0.06853403824446352,0.0032941250128620462,0.06281171235932402,0.06327999528891182,0.087549515612792,0.058901737006550124,0.05603056125068374,0.016195263064338824,0.04759543665021262,0.03382379208982985,0.017494662224129136,0.04303969977660974,0.04713276669663305,0.019589256548239037,0.014838756233519858,0.009284060983634497,0.09003741748165961,0.04348097729424135,0.02632470024021412,0.023282837502411086,0.030431655045356446,0.04291088585029285,0.022614774924847546,0.007978843230631633,0.046299400632092175,0.01318973727417679,0.04484831212225759,0.043830332544714655,0.005078671983240179,0.04607550390991406,0.0300075463259431,0.0335834574346996,0.05705762618892326
