% Distances between instruments for pitch 84 (C6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 4 (BanjoFramus), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 24 (Erhu), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 30 (Melodica), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 31 (MorinKhuurViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 41 (Shakuhachi), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
3,'Bandura',1,0.0,0.07466599008540778,0.027628595815074253,0.03425295217728061,0.0641236017309364,0.0010207784558171082,0.09947071339136256,0.01441784431015025,0.004123973399236065,0.041162980166195955,0.010785185861855178,0.027405212976502318,0.0533250575121309,0.044189284245732846,0.05500354395820508,0.03785548100535274,0.037659340685493536,0.041750549291113194,0.0328395960266418,0.03786674361870693,0.03243755643897152,0.052479803915948954,0.011301042554691861,0.06110442017752197,0.03346181838467179,0.030487613040450518,0.028517764654742886,0.030821876610614477,0.024374948597679937,0.02476888940693617,0.032616824380477645,0.02592527591052374,0.02092156099328943,0.04718387890727885,0.08192751129240357,0.07114334551419187,0.0416737521851451,0.04043374575014783,0.02269324228308475,0.059357646267949586,0.03203091248448134,0.08129885491349473,0.001897591067280115,0.026978272201345573,0.06343064154598094,0.03189896579213131,0.026092417727722927,0.042243968115292546,0.10163766136895502,0.035964648516762364,0.040201958952424094,0.042759269777285384,0.06917746760718622,0.09972878404614745,0.09355512106485385,0.045345157061931124,0.030402253167340954,0.033808696520545266,0.017834208030605314,0.04057795765630606,0.04446201099401339,0.04709664476081562,0.07706571904636345,0.0333607349266136,0.03564903920487886,0.02489068386773927,0.06382523597140863,0.02525972059364483,0.05612520123144679,0.04956694090934738,0.04378173048341207,0.08005516641486782,0.03902688805874589,0.06087135923570369,0.03569214867775754,0.04007029760783211,0.05530887782918667
4,'BanjoFramus',1,0.07466599008540778,0.0,0.09856835509834151,0.10866224958537084,0.04060844845199714,0.07368622731277012,0.14507379186579575,0.060330461153311525,0.07878996348464384,0.062162114444331874,0.06394252233861707,0.08135159340164273,0.12799104759753868,0.11875452619321991,0.12964562861718446,0.11252147109076051,0.11206863809358375,0.11641653937652098,0.10724889343473204,0.11227604102679715,0.1069272172065141,0.06474019042874264,0.08596703264009965,0.06703817498875896,0.0815085465740749,0.10294087485204423,0.10292706206283313,0.1052311740187047,0.09878424600577017,0.09941875844156499,0.0887788054797287,0.0927806593511933,0.09533085840137966,0.12184986899268663,0.15659350137781136,0.14579108389348477,0.11633974227055288,0.1150997358355556,0.09722483643589051,0.0683132854637145,0.10668631809637796,0.1559648449989025,0.0728563222487497,0.04778444845585994,0.125833376005577,0.10630826320022153,0.10050171513581314,0.07918778977511864,0.06775352038040482,0.11058105068226988,0.11486794903783189,0.11742525986269318,0.143843457692594,0.031963465016906015,0.07665839702374966,0.09986419513443522,0.08840409577207657,0.08391899637747559,0.09224350543869553,0.11524394774171383,0.11912800107942116,0.1217626348462234,0.15173170913177123,0.10802672501202137,0.08247621941030094,0.0745242686631536,0.04132053742825457,0.0999257106790526,0.13079119131685457,0.12423293099475514,0.08348479503093198,0.12664040076591576,0.07726152782166532,0.12113959415902693,0.0720390331613766,0.06898707319181875,0.050639933788478315
12,'Clarinet',1,0.027628595815074253,0.09856835509834151,0.0,0.01091575920797344,0.05827558376796483,0.026648833042436607,0.0718612681124392,0.038339359859234895,0.03175256921431032,0.03651057031594206,0.03470670141093982,0.018132018587411522,0.02942269249919716,0.04055609787625187,0.03948071593891124,0.029121479462721356,0.039315596198575845,0.03389040235567773,0.03099360595444256,0.013945228069622284,0.008516040889886875,0.034118307305952895,0.038929638369766116,0.03347582436244771,0.017059808524266612,0.004372519753702712,0.013081167454511966,0.006983129284875722,0.019472371001773084,0.01677059953551732,0.015088870185321348,0.0073752435957782775,0.013780917667247173,0.0748124747223531,0.058025146279469836,0.09875368962315124,0.06930234800021935,0.06806234156522208,0.0503026875620081,0.031748200989026226,0.008117962998036446,0.057396489900560975,0.02581910661636476,0.05089978775043021,0.03580204573090668,0.012847159290006696,0.01523790504156095,0.019828230120774087,0.07402751942409487,0.01794388656036822,0.027199674854401525,0.034280338018072135,0.04527510259425247,0.07211933876722411,0.06594567578593048,0.017735711783007767,0.010244785295040039,0.014939061991434549,0.011979500125876898,0.020704414106128697,0.021519649032872606,0.031885504972497015,0.0531633540334297,0.009458369913679855,0.016186710916608997,0.0245155319727652,0.05726306772651618,0.021824859041412403,0.032222836218513046,0.025664575896413636,0.01615313466833781,0.05244572113594446,0.02189235262435234,0.03326191395678034,0.026919872739407037,0.030008264143892616,0.047928421309863196
12,'Clarinet',2,0.03425295217728061,0.10866224958537084,0.01091575920797344,0.0,0.06805380113337368,0.035273730633097716,0.08277702732041264,0.04867079648743086,0.03020144857198026,0.04684200694413804,0.04503813803913579,0.027864152522584607,0.019690558564024078,0.0301580437595315,0.02915950453368317,0.0188050229477708,0.028399836990602407,0.02357394584072717,0.020077846746469123,0.0036347254788273975,0.010204716102304901,0.04392205915662819,0.028613181854815557,0.044227485245636994,0.027292078919510344,0.013793926969500603,0.00581092698391357,0.00651485719136805,0.011875388575608783,0.009484062770344437,0.02482100412049443,0.017107377530951363,0.014179205120678223,0.06449601820740254,0.04829301234429675,0.08843723310820069,0.0589858914852688,0.05774588505027153,0.03987098565060642,0.042663960196999674,0.011549961719128844,0.060405211446734795,0.03615054324456072,0.06123122437862618,0.046118502245857236,0.002690348007605866,0.008406418496427847,0.02956036405594717,0.08494327863206831,0.007596992661668312,0.016883218339450966,0.023963881503121575,0.03554296865907939,0.08303509797519755,0.07686143499390392,0.02865147099098121,0.020576221923236004,0.02474325320789525,0.016864422009897115,0.01038795759117814,0.011203192517922046,0.021569048457546456,0.04343122009825662,0.01152687695294348,0.02651814754480496,0.034247665907938284,0.06759450435471213,0.011508402526461842,0.02297374389944923,0.015932441961240554,0.026662322819351696,0.0633614803439179,0.031624486559525426,0.044177673164753774,0.03665200667458012,0.0397403980790657,0.05822202065401979
15,'DallapeAccordion',1,0.0641236017309364,0.04060844845199714,0.05827558376796483,0.06805380113337368,0.0,0.06314383895829874,0.10478102053541909,0.04978807279884014,0.06824757513017247,0.023045800690521968,0.0534001339841457,0.04074314494964559,0.08769827626716199,0.07846175486284322,0.08935285728680775,0.07222869976038383,0.07525738285165089,0.07612376804614429,0.0669353926075176,0.0716675925748,0.06663444587613741,0.024157276462011944,0.07542464428562827,0.026745403658382266,0.04121577524369822,0.06264810352166754,0.06231861361083598,0.06462272556670756,0.05817579755377302,0.059125987111188306,0.048170357027731564,0.05217221089919616,0.05472240994938252,0.11130748063821526,0.11630073004743469,0.1352486955390134,0.10579735391608151,0.10455734748108421,0.08668244808141912,0.028020514133337806,0.06639354676600127,0.11567207366852583,0.06231393389427833,0.037242060101388565,0.08522492755357987,0.0656998147482244,0.059893266683816004,0.038579341323121505,0.038085732771019835,0.0702882793518932,0.07457517770745518,0.07713248853231648,0.1035506863622173,0.03617755211414906,0.036365625693372976,0.05957142380405852,0.048111324441699875,0.04333652177653028,0.051635056986698395,0.07495117641133715,0.07883522974904447,0.08146986351584672,0.11143893780139452,0.06773395368164468,0.042183448079924246,0.039388686279153956,0.0010277660978778834,0.05963293934867592,0.09049841998647788,0.08394015966437847,0.04302299478476238,0.08634762943553907,0.03665307936966817,0.08084682282865026,0.03143058470937945,0.028378624739821622,0.010347162458101631
23,'ElectricPiano',1,0.0010207784558171082,0.07368622731277012,0.026648833042436607,0.035273730633097716,0.06314383895829874,0.0,0.09844993493554545,0.013397065854333144,0.005103736171873715,0.04014220171037885,0.00976440740603807,0.026425450203864668,0.05430482028476855,0.04521006270154995,0.056024322414022186,0.03883524377799039,0.03868011914131064,0.04273031206375085,0.03386037448245891,0.03888752207452404,0.03345833489478863,0.051500041143311304,0.012280805327329515,0.06012465740488432,0.032482055612034134,0.02946683458463341,0.029538543110559992,0.03184265506643159,0.025395727053497047,0.025789667862753277,0.031637061607839995,0.024945513137886094,0.021942339449106535,0.0481636416799165,0.08290727406504123,0.07216412397000897,0.04265351495778275,0.041413508522785476,0.023714020738901855,0.05833686781213248,0.03305169094029845,0.08227861768613237,0.0008768126114630068,0.025957493745528467,0.06245087877334329,0.03291974424794842,0.027113196183540033,0.041264205342654896,0.10065789859631737,0.03698542697257947,0.04121520493484923,0.04375588876167713,0.0701870030403921,0.09872891000496441,0.09253434260903674,0.04432437860611402,0.029381474711523848,0.03282893374790761,0.01885498648642242,0.041562377787704274,0.04544177376665104,0.04807640753345327,0.0780454818190011,0.03434049769925125,0.03462826074906175,0.023910921095101623,0.06284547319877097,0.026275075690149415,0.057104964004084435,0.05054670368198503,0.042801967710774415,0.0790343879590507,0.03804712528610824,0.059850580779886586,0.03471238590511989,0.03909053483519446,0.05432911505654902
23,'ElectricPiano',2,0.09947071339136256,0.14507379186579575,0.0718612681124392,0.08277702732041264,0.10478102053541909,0.09844993493554545,0.0,0.08506796098089148,0.1035274633122238,0.08292963306887058,0.08868552752950738,0.07323744998289053,0.09901228893885172,0.11241736598869108,0.11134198405135047,0.10089637356063486,0.11117686431101508,0.10566529645359123,0.10285487406688176,0.080726343142718,0.07257231121810775,0.08062374407340712,0.1107045324676796,0.07803561687703679,0.0661272117757939,0.06898310035091205,0.08494243556695118,0.07884439739731493,0.09133363911421229,0.0886288381625846,0.07240990225491101,0.07538967800678643,0.0856421857796864,0.1465873688202666,0.1072569271313167,0.1706140589055544,0.14107724209813285,0.13983723566313558,0.12216395567444732,0.07678817165990998,0.07122706560128382,0.022371815873677856,0.09759382207632966,0.09731885050335871,0.03716455881484509,0.08470842740244593,0.08709917315400016,0.06633366688822832,0.07732027148539093,0.08980515467280743,0.09903425995729787,0.10609829612293509,0.10970783671618607,0.11311032684888973,0.06842648541692947,0.05413322491358144,0.0690684602240216,0.06620841281870347,0.08384076823831611,0.0925101733579981,0.09331983244214044,0.10366039907041051,0.06611482044924556,0.07125125196507716,0.06382987540052641,0.07530816773851813,0.10375325443754119,0.0936615532583882,0.05983262486203089,0.09254407547348809,0.06175802575065669,0.01944145693847901,0.06839778939180657,0.03859935415565887,0.07342530950686127,0.07651370091134685,0.09443385807731743
23,'ElectricPiano',3,0.01441784431015025,0.060330461153311525,0.038339359859234895,0.04867079648743086,0.04978807279884014,0.013397065854333144,0.08506796098089148,0.0,0.018469347915450598,0.02674513585604571,0.003632658448295072,0.021360140303702757,0.06766058644422716,0.0586071285558831,0.06942138826835532,0.05219592105054786,0.05207718499564379,0.05609628527474353,0.04725744033679205,0.05228458792885718,0.04685540074912178,0.0381442749838527,0.025643230503076306,0.046768891245425714,0.02137871756792051,0.0426300875886007,0.042935608964893145,0.045239720920764726,0.038792792907830186,0.03918673371708642,0.028787352381788728,0.03278920625325333,0.03533940530343968,0.06152552692293031,0.09626304022449983,0.08556118982434212,0.05600928111724136,0.054769274682244094,0.037111086593235,0.044939801957799334,0.04644875679463159,0.0956495319938177,0.01252586109543818,0.012560427891195323,0.06584192290763703,0.04631681010228156,0.040510262037873175,0.027908439183196288,0.08730213243685876,0.050382492826912616,0.05461227078918237,0.057152954616010276,0.08358406889472525,0.0853731438455058,0.07914127807949937,0.03954115729665286,0.028094574564194855,0.023927543279535612,0.032252052340755566,0.05495944364203742,0.05883792113714317,0.06143924051658247,0.09141007132142702,0.047710254160781035,0.022152648942625894,0.014532815565213625,0.049489707039312374,0.03967214154448256,0.07046073016354305,0.06390784295463638,0.029446201551315807,0.06630993961260424,0.024691359126649635,0.0608468459399548,0.02135661974566128,0.025734768675735847,0.040973348897090416
23,'ElectricPiano',4,0.004123973399236065,0.07878996348464384,0.03175256921431032,0.03020144857198026,0.06824757513017247,0.005103736171873715,0.1035274633122238,0.018469347915450598,0.0,0.045214483771496304,0.014847441146026768,0.03152918637573838,0.049201084112894845,0.0401377806404325,0.050952040352904716,0.03373150760611668,0.03360783708019319,0.03762693735929292,0.02878809242134145,0.03381524001340658,0.031198704890356074,0.05660377731518503,0.007177069155455798,0.06522839357675803,0.037585791783907856,0.03454894495150057,0.024466261049442536,0.027950969890727814,0.020323444992379588,0.02071738580163582,0.03674079777971371,0.03004924930975981,0.01941876817677307,0.04305990550804279,0.07780353789316752,0.06709184190889152,0.03754977878590904,0.03630977235091177,0.018641738677784396,0.06340914987324993,0.032378205662825975,0.0811557036870935,0.005949094672580463,0.031029775806645923,0.067554614945217,0.02784746218683096,0.022040914122422577,0.04636794151452861,0.10576163476819107,0.031913144911462014,0.036142922873731775,0.038683606700559675,0.06511472097927465,0.10383264617683813,0.0976066246701542,0.04939666066723147,0.03446485113395284,0.03793266991978133,0.02081804964467812,0.03649009572658682,0.04036857322169257,0.04297267136157956,0.07294174564712737,0.03227621134714665,0.03970054281017921,0.029014657266975333,0.06794920937064469,0.02120279362903196,0.05200122783221073,0.04544296751011132,0.047905703882648136,0.08410667002016815,0.043150861457981964,0.06495073019112514,0.03981612207699361,0.044194271007068166,0.059432851228422734
23,'ElectricPiano',5,0.041162980166195955,0.062162114444331874,0.03651057031594206,0.04684200694413804,0.023045800690521968,0.04014220171037885,0.08292963306887058,0.02674513585604571,0.045214483771496304,0.0,0.030377794304340778,0.01953135076040993,0.0658289331532068,0.05677833901259027,0.0675925987250625,0.050367131507255025,0.05286913108584845,0.0542674957314507,0.045428650793499226,0.050455798385564354,0.04502661120582894,0.011402002875534528,0.05238836635912201,0.020026619137107533,0.019549928024627686,0.04080129804530787,0.041106819421600306,0.0434109313774719,0.03696400336453736,0.037357944173793595,0.0269585628384959,0.030960416709960498,0.033510615760146856,0.08827066277897601,0.09443138693347948,0.1123063256803878,0.08275318935044867,0.08151154679056226,0.0638562224492807,0.018194666101753628,0.044619967251338766,0.09382074245052487,0.039268133203756356,0.01438921743448815,0.06401313336434421,0.04448802055898873,0.03868147249458035,0.017367547133885844,0.060559860328540584,0.04855370328361978,0.05278348124588955,0.055324165072717445,0.08175527935143241,0.058630871737187625,0.052399005971181196,0.03771236775336003,0.026265785020902026,0.022098753736242784,0.03042326279746273,0.05313065409874459,0.05700913159385035,0.05961045097328963,0.0895812817781342,0.04588146461748821,0.02032385939933307,0.017000434513351512,0.0227474349309942,0.03784335200118973,0.06862907687252269,0.062079053411343545,0.021664552389699165,0.06447828632158388,0.01544128518043251,0.059018056396661966,0.010218790520143786,0.007166830550585959,0.014231076788772237
