% Distances between instruments for pitch 79 (G5)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 4 (BanjoFramus), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 5 (Banjolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 9 (Bouzouki), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 16 (Dilruba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 17 (Domra), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 19 (DungDkarTrumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 24 (Erhu), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 30 (Melodica), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 31 (MorinKhuurViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 41 (Shakuhachi), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 42 (Sitar), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 49 (Ukulele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 52 (Flugelhorn), style 1' NUMERIC

@DATA
3,'Bandura',1,0.0,0.11119130732993933,0.047235508000588504,0.03148165839316747,0.019238776076082004,0.026059376925546288,0.035451294585055054,0.00490672472419884,0.009412015872840476,0.026426187973624327,0.015885609466932186,0.04244408816148468,0.06696125604920518,0.02571927149834104,0.06925879078749518,0.04253229599257399,0.042800583313648305,0.09539943303264214,0.06122972557181374,0.03121788675736599,0.05197554693252707,0.051127091944680535,0.017654959672653542,0.020511865707443913,0.014128464290046801,0.018646150778563072,0.01564164683479408,0.019507560696635656,0.008184984984835915,0.004140910294675149,0.028807094643362428,0.017219041476030504,0.015619176265015371,0.016879185541562713,0.06498523154934849,0.029584811892778822,0.03721502145075147,0.02237621658700899,0.01726457079899095,0.01226126584103001,0.011929778709230546,0.008742454197961332,0.008483192801204709,0.025254387726214505,0.02809701768080605,0.016084146062919892,0.08947832619785095,0.09218605643732321,0.07525482643977376,0.13710889750749852,0.18317652468323797,0.037566368324126936,0.04503028571420784,0.049761833017968576,0.0415877188233822,0.03534174594874219,0.04851884783179675,0.006135408638751803,0.008768402113243276,0.04943445782823022,0.020298741873625136,0.018237707838816872,0.02456903426884198,0.07773435153303351,0.022206596294640363,0.03714092445392222,0.02401241190747022,0.00887996296844918,0.035279261296577095,0.037812129570197334,0.09012290872122287,0.08160872340141188,0.032780462679312665,0.010474168438620937,0.020297489462625325,0.09680808147169896,0.004020964134753192,0.0414095745758627,0.008349468256621043,0.010524738246232247,0.0050495966964374415,0.04567611997893467,0.02775667791296528,0.03085366457331652,0.06229978183018383,0.007136131712842567,0.004484025205007322,0.03277223373635121,0.020602325845959984,0.029076742110665244,0.011093012177413675,0.08805320545489119,0.0398392963513526,0.04626031513585413,0.051684283678972466,0.007352480668483759
4,'BanjoFramus',1,0.11119130732993933,0.0,0.06395579932935083,0.09573978497179374,0.1042782140254624,0.08520603431388236,0.07581076888766163,0.11093566859759461,0.10891771515244293,0.08772990458648854,0.11429464145510455,0.15359169550111204,0.044448524731952654,0.10288701331281996,0.041979768498163615,0.06865901133736534,0.06840691532009154,0.1299426284748971,0.05003323565664763,0.08002509227441,0.1178444235119358,0.0601036493056783,0.09389449355925084,0.13137432710657648,0.1249909256891794,0.12163014527750671,0.1125339674970673,0.09168374663330368,0.11556534239880156,0.11521346738115514,0.1222814147152698,0.11416967356051934,0.12648163766414797,0.09851716973724778,0.058799316116847446,0.09281622792841941,0.07510653122435916,0.08985918804324812,0.12302700043808897,0.09966302244962334,0.09978458970729666,0.10542670507071207,0.1056816095657019,0.08943229664119699,0.08407477233171441,0.10278185684671227,0.2003407875969835,0.2030485178364558,0.13850224816005235,0.2479713589066311,0.2940389860823705,0.10079778435976751,0.06623858040338655,0.061496470925273224,0.0696774951202331,0.07591081959352464,0.06274559852699381,0.11732671596869111,0.11214541341878777,0.06181563463523904,0.10695583924003686,0.0964295277271175,0.08749852618490189,0.03351829556524086,0.09172452185049838,0.14800338585305475,0.130171212140333,0.11974242436758176,0.09257794141643604,0.14871879293986914,0.029100525565290625,0.059255862833567874,0.08559904996478808,0.10271644209213344,0.09099638458783071,0.014387389833879924,0.11492353740557411,0.1508307515155832,0.11921192965575361,0.1125239053199286,0.11506195887112465,0.13032160872831045,0.12427442157907836,0.0808867457433418,0.048891525499755506,0.10867748153396306,0.11377121762594596,0.14363469513548377,0.09121994503788926,0.11760566338210364,0.10400485339208415,0.19891566685402373,0.07198383782213781,0.06642586242252675,0.05950702365096686,0.11207962028362854
5,'Banjolin',1,0.047235508000588504,0.06395579932935083,0.0,0.03209623756694914,0.040322414696111586,0.021271677969021255,0.01704596201709833,0.04697986926824377,0.044983358807581815,0.0237741052571377,0.050338842125753736,0.08963589617176121,0.0606686440523539,0.038931213983469125,0.022023282786906673,0.02901908845903824,0.004472558975230413,0.09579497039554563,0.013994217571225232,0.016090735929548874,0.05391006716707469,0.0038915839440920356,0.029938694229900004,0.06743997076171536,0.061056569344318246,0.05769578893264558,0.04859961115220617,0.02772794730395285,0.05163098605394045,0.051257668051804296,0.05832561538591897,0.05021387423116852,0.06254728131928682,0.03456137040789695,0.06568817185856901,0.028881871583558292,0.03781483439968187,0.0259033887138973,0.05909264409322784,0.03570722312027251,0.03582879037794583,0.041470905741361246,0.04172773888294068,0.025476497311846157,0.020118973002363583,0.038826057517361436,0.1364064312521224,0.1391141614915947,0.07455188613055323,0.18403700256177,0.23010462973750942,0.036863428014906406,0.002304224058525436,0.0025263250173800755,0.005743138775371969,0.011976463248663515,0.011865350413218801,0.0533709166393403,0.04818961408943694,0.04952778173696495,0.043000039910686016,0.03247372839776667,0.024964571631745463,0.05166286469646612,0.027768722521147555,0.08406902950819367,0.0662368557954719,0.055808068022720626,0.03567479865948057,0.08476299361051831,0.09051844608412635,0.08200426076431537,0.03317600004221615,0.03878208574727233,0.027040585258479882,0.049572573471110465,0.05096773807622329,0.08689639517072206,0.05527757331089248,0.048589548975067474,0.05112760252626355,0.06638725238344932,0.06034006523421725,0.01693094641399098,0.04578118620953206,0.04473270807561633,0.04983686128108483,0.07970033879062266,0.027264145708538422,0.053671307037242516,0.04004905406273332,0.13498131050916262,0.020154907316311265,0.023981738132471186,0.04634277693684674,0.04814526393876744
9,'Bouzouki',1,0.03148165839316747,0.09573978497179374,0.03209623756694914,0.0,0.01244654129276782,0.011846607617813606,0.01999977222690946,0.026620845222449004,0.022391966144592202,0.020737702607540594,0.018765321133743462,0.0578519105293183,0.05159809482649846,0.007186159552124108,0.053807268429349575,0.027080773634428398,0.03656879654217955,0.06391777463947468,0.045778203213668135,0.04818697349649801,0.02234512333550998,0.03567556958653494,0.015780041731429266,0.03587502693015065,0.04158873824431378,0.05003944803629168,0.047034944092522686,0.031386948080680814,0.03957828224256452,0.03076040232511251,0.026631999470358447,0.018493704442278398,0.030982337487722108,0.019338339925420382,0.03706685927776623,0.060978109150507435,0.02063325374743458,0.017973513982357428,0.027527700261663127,0.028139645304594476,0.028685024777454923,0.0402241125911288,0.023219436049430563,0.01736529196840303,0.013838072210323982,0.04756580445608736,0.1048414874205577,0.10754921766002996,0.10664812369750237,0.15247205873020528,0.19853968590594473,0.06895966558185555,0.034400461625474575,0.03431031065982298,0.03783937634232111,0.04407270081561265,0.033067325473651155,0.025899896366049432,0.023013009013967505,0.03398293547008462,0.011670037538922165,0.013338298311284717,0.008241387465493265,0.06228282917488792,0.025349694780789616,0.05250408567662895,0.05540570916519883,0.033757685154308145,0.003797602903409624,0.05317529079290407,0.06667715954801103,0.05012706500824441,0.010206009161970123,0.021311993135648338,0.0285811599749774,0.08135655911355337,0.030519955715518864,0.055331451339157345,0.026193802515327647,0.021266201868373885,0.02674455343719946,0.0348223085518846,0.028775121402652527,0.017597982834384882,0.046848259472038224,0.038529428970571176,0.027323070231408092,0.04813539495905794,0.02118736376894333,0.02210636320567781,0.04257467057058115,0.1034163666775979,0.024476135128645864,0.03089715391314739,0.036232761320826874,0.024416239898139503
10,'Cello',1,0.019238776076082004,0.1042782140254624,0.040322414696111586,0.01244654129276782,0.0,0.019146283621069373,0.02853820128057814,0.014332051351883165,0.009945424851824385,0.01980511478026863,0.010023233104392426,0.04931348147564962,0.060340182855849495,0.006645223186843501,0.06234569748301825,0.03564349456975596,0.03588749000917139,0.07616065695656014,0.054316632267336816,0.035740432203730195,0.03273677085644506,0.04421399864020362,0.011033886479297844,0.02713293890079961,0.02914219695154596,0.03759290674352386,0.034588402799754864,0.019144065763595345,0.027131740949796705,0.018487130900006553,0.01800320068980739,0.009891459535056933,0.02224024945837107,0.010258112348207013,0.04603847558438769,0.048531567857739606,0.029360575551934345,0.015755143393653293,0.01878561223231209,0.01589676298750901,0.016442142460369458,0.027981230274043336,0.010772894756662743,0.018633314532858804,0.021475944487450344,0.03532292213900189,0.09609939939120665,0.0988071296306789,0.09420158240473454,0.14372997070085422,0.18979759787659367,0.056513124289087724,0.03811719240973093,0.04284873971349166,0.03467462551890529,0.03162615952284483,0.041605754527319835,0.013657014048963969,0.010770126696882043,0.042521364523753304,0.0026776252145744323,0.008235054166400248,0.016779816519161946,0.0708212582285566,0.015585523101284667,0.043761997647277916,0.042959167872431016,0.021311143861540326,0.016040485220495088,0.044440578914406725,0.07521558860167969,0.062369947325329876,0.018744438215638804,0.008865451842880519,0.016338277657891937,0.08989498816722206,0.018076700474753862,0.046589363309806314,0.01497054144997674,0.008819660575606063,0.014298012144431639,0.02643734390285267,0.020033033373301496,0.02423259137996082,0.05553960985744021,0.026082887677803354,0.01487652893864027,0.039393306929706905,0.013981252652604283,0.01336427517632677,0.03033178825349568,0.09467427864824686,0.033218223157996905,0.03963924194249843,0.044800226854736745,0.011969698605371684
10,'Cello',2,0.026059376925546288,0.08520603431388236,0.021271677969021255,0.011846607617813606,0.019146283621069373,0.0,0.009395265426220743,0.025803738193201555,0.023711680838560557,0.009205683694584221,0.029162711050711516,0.06845976509671899,0.041304828963954994,0.01775508290842691,0.04322626581571876,0.016608140677861465,0.024780101530054773,0.07547990597799681,0.035172798657234744,0.036362798086337085,0.032690395851220876,0.02510238500820407,0.008762563154857789,0.046168292792694104,0.039834883707919606,0.038255687862906,0.035188336474709085,0.019854929167724435,0.030359308084919195,0.030081536976762083,0.03714948431087676,0.0290377431561263,0.041277553082310674,0.013385239332854739,0.04543854190943348,0.04914154943290949,0.01756520445054634,0.006441495069401056,0.037844912274141995,0.0166076263916381,0.01715300586449855,0.028692093678172426,0.020549679161308853,0.005833273055446658,0.0024405905955558536,0.03603378554313099,0.11514528309346916,0.11784248352257343,0.09489162567381611,0.16276532459274873,0.20883295176848815,0.057157128840925275,0.022553854007660967,0.023709563388609148,0.02599296602032088,0.032238938894960885,0.022460435786888555,0.03219478556429809,0.027013483014394723,0.029197923669809764,0.021823908835643807,0.011297597322724458,0.0046933700195187856,0.051687738748641514,0.013817675867833239,0.0628240314499257,0.044970458727813904,0.034544710884924494,0.015424232645685538,0.06358686253547609,0.07020947300899319,0.061659083921200786,0.012839652953626433,0.017520493302006498,0.017049141062021027,0.07081864448000245,0.02979160700118108,0.06562471720170081,0.034010816151135,0.027323177989464792,0.02985802152163009,0.045156385720826094,0.03909100396559043,0.0060659639214285105,0.03650425596554572,0.02676734237573249,0.02856518331206358,0.05845884299417187,0.00965534485598696,0.03241052609543659,0.031042651657624775,0.11371595789946032,0.014182869266102405,0.020603888050603935,0.026093146987711213,0.026901112501147618
10,'Cello',3,0.035451294585055054,0.07581076888766163,0.01704596201709833,0.01999977222690946,0.02853820128057814,0.009395265426220743,0.0,0.03519565585271032,0.0331069462647813,0.011989891841604254,0.038554628710220286,0.07785168275622777,0.04371488116252264,0.027147000567935675,0.033831000389498024,0.012065325569206977,0.021480886704038527,0.07877577303730107,0.025778430986758676,0.03306358326032085,0.04208231351072964,0.01570711958198333,0.018154480814366557,0.055563558218914844,0.04922680136742837,0.045878876067561025,0.036723198609405656,0.016555714341708192,0.03975457351113994,0.039473454636270854,0.04654140197038553,0.03842966081563507,0.05067086877648631,0.022777156992363507,0.04873440896873774,0.04584233460689325,0.020861071509850605,0.014119175298363852,0.04723682993365077,0.023923009704739068,0.024044576962412384,0.029686692325827796,0.02994159682081762,0.013692283896312711,0.008334759586830139,0.03273457071711475,0.12453720075297792,0.12723774894879417,0.09159241084779986,0.17216059001896947,0.21822821719470895,0.053857914014909025,0.0192579869483567,0.014519636999718255,0.02269690166520323,0.02893972406894464,0.013067553246741697,0.04158670322380686,0.03640540067390349,0.032493790729114035,0.03121582649515257,0.020689514982233228,0.011758384761416196,0.042292473322420775,0.015984509105614105,0.07221594910943448,0.054362376387322664,0.04393662854443326,0.018720099704989807,0.07297878019498487,0.07350534006829747,0.06495829874721702,0.016135520012930702,0.026912410961515268,0.015256371842946438,0.06142337905378171,0.03918352466068985,0.07501998262792155,0.043402733810643766,0.036715095648973566,0.03925118998346303,0.05454830338033486,0.0484829216250992,0.005146732998457532,0.028827423319700795,0.03293746878907877,0.03796044873828432,0.06785076065368063,0.015479932293004978,0.04180244375494536,0.028264840647199873,0.12310787555896908,0.004787603839881663,0.011208622624383194,0.02938901404701548,0.03629303016065639
10,'Cello',4,0.00490672472419884,0.11093566859759461,0.04697986926824377,0.026620845222449004,0.014332051351883165,0.025803738193201555,0.03519565585271032,0.0,0.004505291148641636,0.02630482193019883,0.010978884742733347,0.04265602690351744,0.06683989000577968,0.020819527116524683,0.06900315205515044,0.04227665726022926,0.04254494458130357,0.0904927083084433,0.060974086839469,0.030962248025021257,0.047068822208328226,0.050871453212335806,0.017533593629228045,0.02063323175086941,0.014967893021864775,0.02341860281384268,0.020414098870073685,0.01930209946563026,0.012957437020115523,0.004277798783560533,0.023900369919163587,0.012312316751831663,0.01574054230844087,0.016757819498137212,0.06021277951406887,0.03435726392805843,0.03586028270186454,0.022254850543583494,0.01235784607479211,0.012139899797604511,0.011808412665805049,0.01364917892216017,0.005254059031892702,0.025133021682789008,0.027975651637380545,0.02099087078711873,0.08959969224127645,0.0923074224807487,0.08002727847505337,0.13723026355092402,0.18329789072666347,0.04233882035940654,0.04477464698186311,0.04950619428562384,0.04133208009103747,0.03508610721639746,0.04826320909945201,0.006391047371096537,0.003995950077963669,0.049178819095885486,0.01552628983834553,0.014734761316330449,0.023437271091294124,0.07747871280068878,0.022085230251214866,0.037262290497347715,0.02878486394274983,0.009001329011874679,0.03037253657237825,0.03793349561362284,0.08521618399702403,0.07670199867721304,0.02787373795511383,0.008283244891195056,0.02017612341919983,0.09655244273935425,0.00414233017817869,0.040089656159876114,0.00847083430004654,0.005618013522033405,0.004320863515417595,0.04076939525473584,0.022849953188766443,0.03073229852989102,0.062044143097839094,0.01190858374812217,0.0030301222702388865,0.032893599779776704,0.020480959802534483,0.024170017386466403,0.015999736901612518,0.08817457149831666,0.039717930307927106,0.04613894909242863,0.05142864494662774,0.002445755944284918
10,'Cello',5,0.009412015872840476,0.10891771515244293,0.044983358807581815,0.022391966144592202,0.009945424851824385,0.023711680838560557,0.0331069462647813,0.004505291148641636,0.0,0.0244814417269347,0.0065854525679242834,0.04475581917756641,0.06501650980251555,0.016590648038667884,0.06693794665427932,0.04031982151642202,0.0405107998323514,0.08602526450477539,0.058884479495795304,0.02889262287803294,0.04262327263226201,0.04881406584676463,0.015710213425963907,0.022456611954133548,0.019254499351752167,0.02771806425553538,0.02464764353043769,0.017478719262366122,0.01719026649851847,0.008660370696765025,0.019627032667904786,0.008065533373902452,0.017573607163158096,0.014934439294873078,0.055983900436212077,0.03860392582553887,0.03403690249860041,0.02043147034031936,0.014140966354989412,0.010316519594340377,0.009985032462540915,0.018154470070801808,0.003255619924641139,0.023309641479524867,0.026152271434116414,0.025496161935760365,0.09144133717431659,0.09413080268401286,0.08435400206644549,0.13905499609803262,0.1851212709299276,0.04661950523355465,0.04267913474905638,0.04742124422716971,0.039240220032209845,0.0330068955589183,0.046172116625449115,0.008490839645145508,0.003309537095242144,0.04710208051720388,0.011297410760488734,0.012911381113066315,0.021419188967541036,0.07539941958720207,0.020261850047950735,0.039120085530773126,0.033026758841377866,0.011381774760349043,0.025969591172464137,0.03988291661632352,0.0807548315357718,0.07220130339764386,0.023385011480405032,0.006201273060309486,0.018352743215935694,0.09453032531856302,0.008249940271512332,0.04191377949914058,0.01030687023198242,0.003619232070312213,0.00615407560247751,0.03631265033190021,0.01837501365992723,0.028908918326626887,0.06021593680410628,0.016229718768361875,0.0049311040868158865,0.03475489707501928,0.01865757959927035,0.019683358184448076,0.020505028050254153,0.09001201198030773,0.037894550104662965,0.04431556888916449,0.04947655380140281,0.003197166581995037
10,'Cello',8,0.026426187973624327,0.08772990458648854,0.0237741052571377,0.020737702607540594,0.01980511478026863,0.009205683694584221,0.011989891841604254,0.02630482193019883,0.0244814417269347,0.0,0.029828347884661058,0.068870276135109,0.04900327450628799,0.018249186303041703,0.045797388044044374,0.01907089324912319,0.0193391805701975,0.08465547724701526,0.037768322828362934,0.03050241725456981,0.04123159114690019,0.027665689201229735,0.008771228300970789,0.04693805368106824,0.04055465226367113,0.03719387185199846,0.02935038785059449,0.013698125890893644,0.03112906897329333,0.03056709826829948,0.037695026221276046,0.029556731193195993,0.0420453642386397,0.010787265150759255,0.05420324647634054,0.043293552908579225,0.0264710656651246,0.0040499713866153355,0.038590727012580726,0.014164922132594321,0.014496409264393781,0.022168766936182416,0.02122582180229356,0.0039030024464361923,0.00689963039721661,0.02901289647990843,0.11590451417147529,0.11861224441094755,0.08896356745557417,0.16353508548112286,0.20960271265686228,0.05127510933992734,0.021568882970757042,0.026300430274517773,0.020154820100392906,0.026388144573684453,0.025057445088345953,0.03201901984514637,0.027080541328429453,0.03838828858843459,0.021703598864342016,0.011570060613868382,0.013825078483215104,0.05427294878958272,0.004836966588223129,0.06356711242754655,0.04573493871482478,0.03530615094207351,0.024535305510950216,0.06423831754382166,0.07937895293559599,0.070864767615785,0.022036506893685793,0.01828016866662521,0.010705675877093626,0.07334667872824817,0.03044715210837752,0.06639447809007494,0.03477565623024537,0.02808763189442036,0.03062568544561643,0.0458853353028022,0.039838148153570126,0.006843158843146722,0.03883837908673302,0.02423079099496921,0.02933494420043772,0.059198421709975545,0.005823862127664348,0.0331693899565954,0.024529813645738936,0.1144793934285155,0.015746066764350714,0.021304042163961773,0.035158864472879366,0.02764334685812032
