% Distances between instruments for pitch 83 (B5)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 4 (BanjoFramus), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 9 (Bouzouki), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 17 (Domra), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 24 (Erhu), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 30 (Melodica), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 31 (MorinKhuurViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 41 (Shakuhachi), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 49 (Ukulele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 52 (Flugelhorn), style 1' NUMERIC

@DATA
3,'Bandura',1,0.0,0.07232891592371989,0.030232560580277346,0.03789638949215759,0.039353510452552275,0.06569469464966395,0.05512768032191656,0.015606662628088687,0.028134257284197384,0.048985953043672446,0.01726091160802529,0.007853864214897874,0.01958039218660205,0.024665275452594077,0.04298256736427066,0.04523354373984572,0.018341738187773807,0.022170091439625794,0.0374820818132708,0.029645196245622393,0.035040737778509405,0.023120111604861614,0.02058764022203485,0.052499897861654043,0.01949645873348845,0.05384457630495145,0.02840702187644693,0.02858670832185886,0.015608564596907959,0.013684508202910195,0.014135787782087543,0.015026035499127127,0.027515352456679465,0.021578041344050947,0.007771854953380525,0.05857428568063001,0.05287761397799268,0.07674404163201853,0.12361341602349747,1.3668987620396154,0.01206449496259124,0.017805238333913845,0.026611706018583536,0.07707228479663203,0.014253386475816728,0.02069010726113712,0.05610199053051757,0.02693676942440906,0.018466313650368656,0.03425159821652941,0.09261730728576283,0.10550770421308016,0.027412057299887594,0.0048859272170379935,0.047774624237794355,0.11877204271995984,0.057608177050320564,0.03693218052669159,0.02283925836753341,0.026173215762046283,0.050872192235363635,0.03539856860144481,0.11287572822721563,0.02314329088405595,0.0338720872707201,0.0677914310993832,0.03886275699757601,0.04479683374142277,0.024146973426160984,0.05734704355004335,0.023644847405531976,0.047996202203521444,0.04470762820356051,0.038397502049196855,0.08030097953491898,0.024992291818065292,0.01981537551712785,0.02670504991729827,0.02676509025213665,0.05318451503558125,0.03890541370766109
4,'BanjoFramus',1,0.07232891592371989,0.0,0.07882784503298086,0.11006075105007418,0.11151787201046887,0.03824222837560075,0.017201235601803328,0.07207456042323719,0.09552735385553497,0.023431611125431736,0.0737288094031738,0.07696197874281734,0.052820474685421004,0.07708224723381879,0.11531148328799055,0.11739790529776233,0.0906706541114937,0.0944990073633457,0.10964644337118741,0.10197411216934228,0.10720509933642601,0.09528447316277822,0.09275200177995142,0.05494916895191567,0.07596435652863696,0.05977698378731069,0.07377011390726519,0.10091562424557876,0.08777292615482456,0.08584886976082678,0.08630014934000413,0.08735495142284701,0.08158104271596306,0.07918898887893909,0.07828426945025353,0.1150421834757785,0.10934551177314118,0.13321193942716705,0.19594233194721733,1.4392276779633353,0.06035301131106117,0.054608914168304094,0.09894062194230342,0.14940120072035193,0.058146776713469045,0.05704220731572716,0.12659432990465547,0.09910113098232565,0.07032868581574915,0.06700379150845424,0.05872115801711419,0.17782671439580952,0.09974097322360749,0.07706622690130709,0.1200842776183388,0.06236000081803423,0.0710488618040863,0.08692795865832352,0.08246175439454642,0.0764535325833483,0.02153498140508762,0.1075629301593614,0.18520464415093554,0.09547220680777585,0.10620100319444,0.14012034702310308,0.06747425183584928,0.055280025654566946,0.059817284852946455,0.03458399798489161,0.09597376332925185,0.12032511812724134,0.11703654412728041,0.060228219339153434,0.11425222887234811,0.09715665337598188,0.07605029672005269,0.06304614814774265,0.05751649033328726,0.034107681751090975,0.11123432963138098
9,'Bouzouki',1,0.030232560580277346,0.07882784503298086,0.0,0.03134808471487314,0.03280520567526784,0.040624756310773696,0.06163744990960315,0.04583922320836603,0.01677017082289227,0.05553425782095688,0.04749347218830263,0.02237869636537947,0.026585137470549833,0.006542703034289189,0.036974822477890225,0.04275932107489084,0.022142859715306672,0.036687746549499724,0.034561916384874936,0.0245730720727072,0.0449052561135718,0.016571806827577168,0.015129429331145935,0.024674932557655863,0.0497290193137658,0.023612015724674102,0.0050577311257156725,0.022087779212597886,0.024419257470528654,0.03194998788102173,0.03162908812234268,0.029603160922809377,0.009662251098646445,0.009878247488718732,0.0379550398656344,0.08880684626090735,0.08311017455827002,0.10697660221229588,0.11711448691423648,1.3603998329303544,0.034117674096189994,0.028373576953432917,0.02011277690932256,0.07057335568737104,0.03191143949859788,0.021935409002971844,0.04788166356945442,0.020388464647124616,0.012172678851719326,0.012121720352293738,0.062434122373508934,0.09899886936282865,0.03511578013091341,0.028125127275858388,0.04125643258535794,0.09360324968528945,0.02742499213806669,0.00810011362534264,0.007463773745830817,0.004627318156119911,0.057420497012648085,0.028850263824160362,0.10637679911795465,0.04575779794407242,0.027373158161459122,0.061292501990122206,0.011464385898661283,0.023668919425663754,0.019748626898897906,0.044278891757218074,0.04068349628431527,0.04149727309426047,0.03820869909429953,0.018864541648508527,0.050117794622665086,0.018443987040780846,0.010483420501178056,0.01628310609659609,0.02182524781652545,0.0447201632818899,0.032406484598400113
12,'Clarinet',1,0.03789638949215759,0.11006075105007418,0.03134808471487314,0.0,0.002736628569031995,0.07181852267447343,0.09298553462447628,0.038209739985287726,0.014612550440294624,0.08688234253583,0.036565216472258154,0.03323785564426182,0.057476781678759636,0.033747342203312033,0.020399886260726755,0.02603316301944596,0.019597714375453355,0.02011281033233625,0.017830814364600565,0.008336367269894797,0.02812374037685905,0.01507920822695799,0.01730874927012273,0.05581643775297973,0.03434322375630564,0.050317438223777176,0.03634858923576445,0.009364811578989819,0.023076489469292628,0.027717698012839066,0.02643804355510768,0.022899970126177,0.035218171789610404,0.031888910904078145,0.03524188937145586,0.07223191004374388,0.06653523834110654,0.0904016659951324,0.08597298171891261,1.3292583277350307,0.049960884454748826,0.05570162782607143,0.011286721802631969,0.05682685274972896,0.052149775967974314,0.053283493717844986,0.042444366167403706,0.011681716714887729,0.039931917636586385,0.0432632255476176,0.07921563811022168,0.06785736416750478,0.018540843913749935,0.03301046227511959,0.017829368013201424,0.12489201159560566,0.04420650787477944,0.023530511351150463,0.027834022554417942,0.033968612285065446,0.08876858172752122,0.009969600662026434,0.0752352939226308,0.029182861726908954,0.004090733482901954,0.03015099679479835,0.04281247061353443,0.055017004140536896,0.05089013209422177,0.07562697647209121,0.0241085600671518,0.010355767898936608,0.007067193898975671,0.050006046843832384,0.06689931035937785,0.013877235143875455,0.03424124413385335,0.04742461129191996,0.05296675301184931,0.07604670683937376,0.022672688776320494
12,'Clarinet',2,0.039353510452552275,0.11151787201046887,0.03280520567526784,0.002736628569031995,0.0,0.07327564363486812,0.09444265558487097,0.03966686094568242,0.016035034852375566,0.08833946349622472,0.03802233743265285,0.034694976604656515,0.05893390263915432,0.03512170115316908,0.023136514829758748,0.028769791588477953,0.021054835335848048,0.022849438901368244,0.020567442933632562,0.010734764424575716,0.0307776069353534,0.01645356717681504,0.01876587023051743,0.05719079670283678,0.03589071166563431,0.05177455918417188,0.037805710196159144,0.01082193253938451,0.02445084841914968,0.029092056962696122,0.027812402504964733,0.024357091086571695,0.03659253073946746,0.0332632698539352,0.036616248321312904,0.07496853861277587,0.06927186691013854,0.0931382945641644,0.08459862276905557,1.3278839687851736,0.05141800541514352,0.057158748786466124,0.012743842763026663,0.05417298619123462,0.05360689692836901,0.05474061467823968,0.03970773759837171,0.013056075664744779,0.04130627658644343,0.04463758449747465,0.07656177155172733,0.06648300521764773,0.02127747248278193,0.034467583235514285,0.02056599658223342,0.12634913255600036,0.04155264131628509,0.024830496759119854,0.029291143514812632,0.0353429712349225,0.09022570268791591,0.012706229231058429,0.07386093497277374,0.03191949029594094,0.005550340031217707,0.0287766378449413,0.044269591573929123,0.05647412510093159,0.05226449104407882,0.0770840974324859,0.026845188636183796,0.00898140894907956,0.005692834949118621,0.05138040579368944,0.0642454438008835,0.015251594093732503,0.03569836509424804,0.048798970241777005,0.05434111196170636,0.07750382779976844,0.02001882221782614
15,'DallapeAccordion',1,0.06569469464966395,0.03824222837560075,0.040624756310773696,0.07181852267447343,0.07327564363486812,0.0,0.026428032456318754,0.08130135727775263,0.0573242651333278,0.03265840797994716,0.08295560625768923,0.057840830434766066,0.06204727153993642,0.041850518752502376,0.07710839456578338,0.07915877343505356,0.05760499378469327,0.07214988061888632,0.07140421499558665,0.0637710234471351,0.08021307183178499,0.057042244787177454,0.05453145726875019,0.01670694057631492,0.08519115338315238,0.021573895065103516,0.03728767277321701,0.06271253552337158,0.05972707318874184,0.0672578035992349,0.06693690384055585,0.06506529499219597,0.04497006681685963,0.045186063206931915,0.07326285558384758,0.12426898033029395,0.11857230862765661,0.14243873628168247,0.15773924322501018,1.4010245892411282,0.06957980816557659,0.06383571102281953,0.06073753322009625,0.11119811199814474,0.06737357356798447,0.04510498300622149,0.0883521015290547,0.060858902606724906,0.04748049456993251,0.03170162360750805,0.02712630665529575,0.13962362567360234,0.0705779142003,0.06348802077381764,0.08188118889613162,0.053172343616912386,0.03284577308187913,0.048724869936116334,0.04425866567233925,0.0399351338743331,0.03076177825960305,0.06935886429376782,0.14700155542872836,0.08121993201345902,0.06799791447223281,0.10191725830089592,0.0292711631136421,0.020969585287467535,0.042246648288972864,0.008347651099620589,0.07614563035370187,0.08212202940503417,0.07883345540507324,0.027522968901754596,0.07604914015014093,0.05891442500038113,0.04594555457056465,0.039451914290329966,0.03940435786096555,0.012510179614082696,0.0730312409091738
17,'Domra',1,0.05512768032191656,0.017201235601803328,0.06163744990960315,0.09298553462447628,0.09444265558487097,0.026428032456318754,0.0,0.05487332482143387,0.07840762073249541,0.006230375523628408,0.056527573801370475,0.059760743141014004,0.03561923908361767,0.060007030808220896,0.09811024768618722,0.1003226888721644,0.07346941850969037,0.07729777176154236,0.0925712269455895,0.08477287656753896,0.09012988291082809,0.07820925673718031,0.07567678535435354,0.037873952526317776,0.05876312092683363,0.0426680964006991,0.056636945388711835,0.08371438864377541,0.07069770972922666,0.0687736533352289,0.06922493291440625,0.07015371582104368,0.06450582629036516,0.06211377245334119,0.061209053024655645,0.0978409478739752,0.09214427617133786,0.11601070382536371,0.17874109634541402,1.422026442361532,0.04315177570925784,0.03740767856650076,0.0817393863405001,0.1321999651185486,0.04094554111166572,0.03984097171392383,0.10951911347905756,0.08202591455672775,0.05325346939015125,0.049928575082856336,0.053389180282015496,0.16062547879400618,0.08253973762180417,0.059975072349356694,0.10288304201653548,0.07950538052661466,0.05384762620228297,0.06972672305652018,0.0652605187927431,0.0593783161577504,0.004333745803284294,0.0904877137337635,0.1680034085491322,0.07827097120597251,0.08899976759263667,0.12291911142129974,0.050273016234045946,0.03807879005276362,0.04274206842734855,0.01810458558740138,0.07877252772744854,0.10312388252543803,0.09983530852547706,0.04315300291355553,0.09705099327054478,0.08008143695038399,0.058849061118249356,0.04597093172214475,0.04044127390768936,0.01693882778510252,0.09403309402957764
23,'ElectricPiano',1,0.015606662628088687,0.07207456042323719,0.04583922320836603,0.038209739985287726,0.03966686094568242,0.08130135727775263,0.05487332482143387,0.0,0.04374091991228607,0.048672602550542295,0.0016542489799366029,0.02346052684298656,0.019267041693471907,0.040271938080682766,0.043236922864753356,0.04554689423297586,0.02369636349305936,0.022424446940108488,0.03779543230640094,0.029899551746105087,0.03535408827163954,0.030985628118787124,0.030842428363994017,0.06810656048974273,0.0038897961053997615,0.06945123893304013,0.04401368450453561,0.038141289441198885,0.022415209831429656,0.017601631570485266,0.01709415645061027,0.016236062285556654,0.04312201508476815,0.03718470397213963,0.011556170633916124,0.04298653614547591,0.03727095134990399,0.061139406468571765,0.12386777152398015,1.367153117540098,0.0117511444694611,0.017491887840783708,0.038192356147080414,0.08577618956071133,0.013940035982686588,0.03623777489657836,0.07170865315860626,0.02862768271598871,0.034072976278457345,0.049858260844618106,0.10821828209446416,0.1058210547062103,0.02768448237968169,0.017813336503934987,0.04808797473092449,0.13437870534804852,0.0731558446857618,0.05247984816213283,0.03838692600297465,0.04177987839013497,0.0505588417422335,0.03571191909457495,0.11313008372769832,0.023397646384538645,0.034126442771202796,0.06804578659986589,0.05441042463301724,0.06034450137686401,0.039753636054249676,0.07295370617813203,0.02391134569513038,0.04825055770400414,0.0449619837040432,0.05400416467728555,0.09584864717036022,0.0334551698783555,0.035363043152569086,0.04231171254538696,0.04237175288022534,0.06879117766366993,0.05162202558730286
23,'ElectricPiano',2,0.028134257284197384,0.09552735385553497,0.01677017082289227,0.014612550440294624,0.016035034852375566,0.0573242651333278,0.07840762073249541,0.04374091991228607,0.0,0.07230442864384916,0.04539516889222267,0.02028039306929951,0.04289886778677876,0.019305345830542265,0.03487651918181027,0.04059035577847272,0.020044556419226714,0.03458944325341976,0.03239295108845681,0.022474768776627237,0.04273629081715367,0.013194139652372074,0.012960464034727804,0.04137444138020996,0.047630716017685835,0.03575037006822428,0.021770675343783574,0.0055996304710871836,0.022250292174110526,0.029781022584603595,0.029460122825924546,0.027504857626729422,0.020776175416840643,0.017446914531308384,0.03578607456921627,0.08670854296482738,0.08101187126219006,0.10487829891621592,0.10041497809168239,1.3437003241078003,0.03538297056276795,0.041123713934090554,0.005548563765205658,0.05387384686481694,0.03757186207599344,0.03870557982586411,0.031111492746562153,0.015971251362647678,0.025489921263816624,0.028821229174847834,0.06460308766992706,0.08229936054027455,0.03301747683483345,0.025956161979440256,0.032306000934284936,0.11031409770362477,0.029593957434484817,0.00891796091085584,0.013256108662437066,0.019526615912295684,0.07419066783554035,0.024491727423938014,0.08967729029540056,0.04365949464799246,0.017290344383269228,0.04459299316756812,0.02823455672155355,0.04043909024855603,0.036448135721452,0.061049062580110336,0.03858519298823531,0.02479776427170637,0.021509190271745433,0.035564050471062626,0.05228675991908322,0.011394805022924843,0.019663330241872477,0.03298261491915019,0.03852475663907955,0.06146879294739288,0.01570697577584601
23,'ElectricPiano',3,0.048985953043672446,0.023431611125431736,0.05553425782095688,0.08688234253583,0.08833946349622472,0.03265840797994716,0.006230375523628408,0.048672602550542295,0.07230442864384916,0.0,0.05031712606357187,0.0536444868915682,0.029405560857070388,0.05390383871957464,0.09187987216255881,0.09421949678351815,0.06728462816037667,0.07107183611470985,0.08646803485694325,0.07854597526593522,0.08402669082218184,0.07210606464853404,0.06957359326570729,0.03177076043767151,0.05253911877952438,0.036564904312052844,0.05053375330006558,0.0775175309568402,0.0645945176405804,0.06267046124658264,0.06312174082575998,0.06398237240965302,0.05840263420171891,0.05601058036469494,0.05510586093600938,0.0916591386960182,0.08591390064770944,0.10981200901911407,0.17251072082178562,1.4157960668379035,0.036921458081081195,0.031180714709758594,0.07559562073319805,0.12598758968644855,0.034732566567855706,0.03361059619029542,0.1034159213904113,0.0759227224680815,0.047150277301505,0.04382538299421008,0.059575332796658685,0.1544936572567526,0.07635708493022399,0.053871880260710436,0.0967605772814668,0.08573575605024307,0.04762133733896921,0.06350896673710486,0.05904831998141208,0.053275124069104146,0.0018966297203441137,0.08438452164511724,0.1617730330255038,0.07204775695223666,0.08279160905292808,0.11668985100216273,0.04406987192229559,0.031865338395293125,0.036638876338702296,0.024310756880326575,0.07258394824567267,0.09689350700180961,0.09361555304495088,0.037049810824909275,0.09082061774691637,0.07397824486173772,0.05264109840197667,0.039867739633498496,0.034338081819043104,0.020148228365864468,0.08781545911133394
