% Distances between instruments for pitch 31 (G1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 40 (ScaleChangerHarmonium), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 44 (Tanbur), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
6,'Bass',1,0.0,0.099009389996032,0.029603197027748662,0.07468217353180949,0.07730000136154046,0.07587924639514672,0.0743539847117936,0.0734765298929806,0.08308469128998229,0.07325760031872981,0.0641417494973912,0.035264908015166165,0.06227090451273796,0.07578581678939965,0.04980560314845637,0.03405070057920158,0.029163933551679705,0.04580672138678047,0.11514875869574548,0.1094421085780366,0.04204009313750421,0.05102932092314635,0.0532167728128051,0.04286714105808886,0.05661828640443575,0.04374712042106807,0.0486500290268135,0.041678606544879815,0.0454697655488221,0.06451838936151953,0.029929302118091725,0.0366970873555682,0.05226132344508516,0.05772478568193751,0.03683694051625911,0.0155602487071806,0.01262870503398029,0.04494994247864172
6,'Bass',2,0.099009389996032,0.0,0.12360059777931266,0.1683380045264575,0.17095583235618847,0.1695350773897947,0.16800981570644158,0.1671323608876286,0.04640323188748127,0.16694149260450541,0.1577975804920392,0.12892073900981416,0.15592673550738595,0.16944164778404766,0.1434614341431044,0.12770653157384956,0.12290009827612824,0.1394625523814285,0.01971925161391638,0.028140588311483444,0.1356959241321522,0.14468515191779435,0.14687260380745312,0.13652297205273684,0.15027411739908378,0.13740295141571607,0.14231869400468625,0.1353344375395278,0.1391255965434701,0.15817422035616754,0.12043310719770935,0.10720832763329231,0.14591715443973316,0.1513806166765855,0.13080557843227933,0.1092160797018286,0.1062845360286283,0.1386057734732897
13,'Contrabassoon',1,0.029603197027748662,0.12360059777931266,0.0,0.04507897650406082,0.0476968043337918,0.04627604936739806,0.044750787684044925,0.043873332865231936,0.09388154770084083,0.04365440329098116,0.03453855246964253,0.03062042415475674,0.032667707484989296,0.04618261976165099,0.02458547399584535,0.0051815547390207635,0.003433796454165679,0.028552266164177317,0.12594561510660401,0.12023896498889514,0.01243689610975555,0.02142612389539769,0.02361357578505645,0.015002159425182208,0.0270150893766871,0.02030928001324328,0.025170706733703165,0.025857272436526482,0.015866568521073442,0.03491519233377087,0.040738642021293806,0.04749394376642672,0.03358658356701517,0.02812158865418884,0.014959311919487872,0.01439614266296041,0.01741801685713919,0.015346745450893056
21,'ElectricBass',1,0.07468217353180949,0.1683380045264575,0.04507897650406082,0.0,0.0026186800161057434,0.001197072863337237,0.0003281888200159009,0.0012056436388288851,0.1220719800632396,0.0014245732130796704,0.010544954880362884,0.04536795702368843,0.012411269019071532,0.0011165904430950246,0.03933300686477704,0.040702380666929744,0.04551823998012978,0.028906251850960726,0.14870135030874979,0.14028096264294584,0.03268756046826445,0.023694584108403628,0.021547985633440722,0.03182899966378953,0.018063887127373727,0.030989383946358435,0.026032144504995986,0.03303185199092852,0.029228112608269075,0.010214437762767327,0.05592956622676077,0.06233625246989951,0.048334116435946865,0.028780040540609345,0.03784523301555038,0.059121924824628885,0.06205360202466475,0.02973223105316777
21,'ElectricBass',2,0.07730000136154046,0.17095583235618847,0.0476968043337918,0.0026186800161057434,0.0,0.0014520683486121983,0.002946016649746874,0.003823471468559858,0.12468980789297057,0.004042401042810644,0.013163634896468629,0.04275012919395746,0.015029096848802504,0.0015141845721408055,0.03671517903504607,0.043321060683035484,0.048136067809860746,0.03152493186706647,0.15132003032485553,0.1428996426590516,0.0353062404843702,0.026313264124509367,0.024166665649546466,0.034447679679895274,0.0206817149571047,0.03360806396246418,0.02864997233472696,0.03565053200703427,0.03184679262437482,0.01283311777887307,0.05331088621065502,0.06374750472289616,0.045716288606215884,0.026162212710878374,0.04046306084528135,0.06173975265435986,0.06467228204077048,0.03235005888289874
21,'ElectricBass',3,0.07587924639514672,0.1695350773897947,0.04627604936739806,0.001197072863337237,0.0014520683486121983,0.0,0.001525261683353138,0.0024027165021661225,0.12326905292657685,0.0026216460764169076,0.011737496897755524,0.0441708841603512,0.013608341882408767,9.342960574706929e-05,0.0381359340014398,0.04186899233442329,0.046715312843467006,0.03007286351845427,0.14986796197624333,0.1414475743104394,0.033854172135758,0.024861195775897172,0.02271459730093427,0.03301210533705787,0.019260959990710962,0.03215599561385198,0.027229217368333225,0.0342006398502669,0.03040948084632462,0.011381049430260873,0.05476295455926722,0.06232674975650241,0.04713704357260962,0.02758296767727211,0.039042305878887615,0.06031899768796612,0.06325054136116644,0.030929303916505002
21,'ElectricBass',4,0.0743539847117936,0.16800981570644158,0.044750787684044925,0.0003281888200159009,0.002946016649746874,0.001525261683353138,0.0,0.0009078767544547093,0.12174379124322371,0.0010963843930637696,0.010272098278522159,0.04569614584370433,0.01208308019905563,0.0014318320776060686,0.03966119568479295,0.04042952406508901,0.045190051160113875,0.028633395249119998,0.14842849370690905,0.14000810604110514,0.03241470386642373,0.023421727506562903,0.021275129031599994,0.03155614306194881,0.017773083976943913,0.03071652734451771,0.025703955684980084,0.032758995389087796,0.028955256006428353,0.009941581160926602,0.056202422828601495,0.06260910907174023,0.04866230525596277,0.029108229360625248,0.03751704419553448,0.05879373600461298,0.061780745422824024,0.029442119452948345
21,'ElectricBass',5,0.0734765298929806,0.1671323608876286,0.043873332865231936,0.0012056436388288851,0.003823471468559858,0.0024027165021661225,0.0009078767544547093,0.0,0.1208663364244107,0.00021892957425078517,0.00936422152406745,0.04657360066251731,0.011205625380242645,0.002309286896419053,0.04053865050360592,0.0395216473106343,0.04431259634130089,0.02772551849466529,0.14752061695245436,0.13910022928665042,0.03150682711196902,0.022513850752108194,0.020367252277145288,0.030648266307494093,0.016865207222489204,0.029808650590063,0.0248265008661671,0.03185111863463309,0.028047379251973637,0.009033704406471891,0.05711029958305621,0.06351698582619494,0.04953976007477575,0.02998568417943823,0.036639589376721494,0.0579162811858,0.06087286866836931,0.028534242698493636
21,'ElectricBass',6,0.08308469128998229,0.04640323188748127,0.09388154770084083,0.1220719800632396,0.12468980789297057,0.12326905292657685,0.12174379124322371,0.1208663364244107,0.0,0.12064740685015994,0.11941306445401804,0.08265471454659627,0.10966071104416807,0.12317562332082976,0.09719540967988649,0.08900992968002452,0.09711098182235388,0.12222945153236552,0.032064067405763196,0.02635741728805432,0.10595066108090523,0.09841912745457647,0.10060657934423523,0.10867934479337038,0.11636787067201998,0.11398646538143146,0.11884789210189135,0.11953445780471467,0.1065646906503928,0.11908254733642248,0.07402987531022806,0.06094230317007443,0.09965112997651528,0.10511459221336761,0.10881209678478489,0.08116968321366815,0.08430383359722926,0.09233974901007182
21,'ElectricBass',7,0.07325760031872981,0.16694149260450541,0.04365440329098116,0.0014245732130796704,0.004042401042810644,0.0026216460764169076,0.0010963843930637696,0.00021892957425078517,0.12064740685015994,0.0,0.00925026453803009,0.046792530236768104,0.011052060574906097,0.0025282164706698384,0.040757580077856716,0.03940769032459695,0.0440936667670501,0.027611561508627928,0.14740665996641697,0.13898627230061306,0.031392870125931664,0.022399893766070832,0.02025329529110793,0.030534309321456735,0.01675125023645185,0.02969469360402564,0.024622798599819196,0.031737161648595726,0.027933422265936283,0.008919747420434531,0.05722425656909356,0.06366604984843809,0.04975868964902653,0.03020461375368902,0.03642065980247071,0.05773703748815317,0.06075891168233195,0.028420285712456278
