% Distances between instruments for pitch 82 (A#5)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 4 (BanjoFramus), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 9 (Bouzouki), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 17 (Domra), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 24 (Erhu), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 30 (Melodica), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 31 (MorinKhuurViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 41 (Shakuhachi), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 49 (Ukulele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 52 (Flugelhorn), style 1' NUMERIC

@DATA
3,'Bandura',1,0.0,0.1064607177292904,0.03153771227390366,0.02208499419952485,0.022842708476257634,0.07259099572733205,0.09570564786932327,0.05902861550373323,0.053709427106283604,0.07767597625661242,0.048284535866136395,0.012664821605660743,0.0623382468988152,0.0366458676591896,0.03537027983450238,0.05381287345009391,0.030788730492106894,0.036439376667378835,0.03446881154815362,0.04688324628893276,0.05297925628383924,0.014489964426684543,0.021765096551234948,0.07668225578647454,0.051968914374417884,0.05134233404697216,0.03850475442351922,0.009858209931471304,0.030726492033280275,0.030010191419329684,0.03195929556354966,0.03256526575353962,0.04129581355562016,0.03738264416414038,0.035619125517004406,0.08585930946994673,0.08539731793284648,0.3296953625285526,0.08198112063876827,0.07968994246672952,0.06275031681064903,0.0706367815511736,0.011293838392911372,0.04595504827641056,0.052819381719320956,0.06527469127908893,0.027634231917570317,0.02074734891734888,0.040531094920383405,0.042920813555554084,0.06107970324315604,0.033571575861320625,0.04514918576269409,0.017329892858719675,0.03260382317558711,0.04230291606724734,0.1142401376463522,0.07444073825195129,0.04524302666906647,0.018125387493957767,0.036459532289552184,0.09235848457058103,0.03119159013697367,0.03881050792378666,0.011867637168921023,0.014866944029006976,0.01472581776938478,0.0882199068468989,0.02201121684776114,0.051974521678647446,0.06661346578555964,0.025703069254652294,0.03030310045169558,0.03411739370587359,0.03400215571236874,0.1423602247307711,0.0054668477932235645,0.1231024919701242,0.05783081725427314,0.05473097750415695,0.08032263141874339,0.021046655791665935
4,'BanjoFramus',1,0.1064607177292904,0.0,0.07492300545538673,0.10119603549135298,0.10018724403333125,0.03392972760938233,0.010771226589349798,0.047523843010832865,0.05288155788772164,0.02892554006678766,0.06478616590389202,0.0939173790846114,0.044256381051952086,0.07066806303589228,0.08992249549259844,0.11803688876898588,0.07922085759641527,0.10725528117066335,0.07258893384398542,0.09932275366911592,0.09828589080468896,0.0923556709392918,0.08473748120502621,0.030103602772331057,0.0684705444121735,0.05512792302445981,0.06795596330577118,0.0967327657794282,0.08027403720832722,0.07793798787096089,0.0816069233197741,0.08406334348614974,0.06913039747416411,0.06948432095783731,0.07894827218340668,0.10236093950770236,0.10189894797060212,0.43615608025784297,0.09848275067652389,0.09619157250448514,0.04385615529114892,0.03598163741152702,0.09522989369834362,0.14899028097192704,0.05379432085796373,0.04129900928006014,0.13257420108429327,0.08639428367045847,0.06616952268156477,0.06380761926778626,0.055356433053095365,0.12913252202132172,0.12310772344027514,0.09545899575511203,0.07387023949708667,0.1008346200172041,0.07488159585755738,0.0321713769636087,0.06136293151810781,0.08843906791905298,0.07103643750492393,0.01424246491008963,0.08679341290824223,0.08573598077909363,0.09802165827144217,0.09712372354904371,0.12118653549867515,0.1667184697498089,0.08457363124682414,0.055230495035522686,0.039876281898634854,0.08081539646569637,0.07632316911294283,0.08144086560099247,0.07294559981030364,0.22197409519623953,0.11187081206961157,0.2295632096994146,0.04984020322756285,0.05285993220687879,0.026138086310547,0.08553066774308271
9,'Bouzouki',1,0.03153771227390366,0.07492300545538673,0.0,0.026327018807685013,0.025318227349663294,0.04409798051146471,0.06417070027660322,0.02749366791101319,0.02217171483237994,0.04614102866389238,0.04277321335855808,0.018994373629224653,0.03080329930609517,0.005108155385285944,0.029858957326924063,0.04829878626133197,0.025277407984528582,0.032332275715276616,0.026541741900521748,0.04137192378135446,0.0474651690950773,0.01748665425562382,0.009868464521358242,0.045144543512570884,0.046457591866839565,0.026456975920906182,0.006967042149615563,0.02180976032404146,0.025212404844518338,0.0233552455033165,0.026445208374787716,0.027053943245961307,0.009758101281716502,0.005978698157463069,0.030105038328242465,0.08034798696236842,0.07988599542526818,0.3612330748024562,0.07646979813118994,0.07417861995915119,0.03121536921792901,0.039101833958453576,0.020306888242956875,0.0740672755165403,0.03178136831262979,0.033739743686368895,0.05770518440062531,0.013454101970597522,0.008993382646479751,0.011383101281650427,0.06659379043191797,0.05426350533765375,0.0481847179848884,0.0205359902997253,0.0031517769209699676,0.036788828878485405,0.09684055963117255,0.04290579065923126,0.022071236532470173,0.013516062463666255,0.015168524289480201,0.06082353697786099,0.025677502948211733,0.03329918541620835,0.023098652816055446,0.02220071809365697,0.046263530043288446,0.09373399403566084,0.01366646949738617,0.02043680940474379,0.03507575351165598,0.005892391010309643,0.001400163657556087,0.028606071198295276,0.021911933659679323,0.147874311919533,0.0370017953859436,0.15464020424402788,0.026293104980369478,0.023193265230253297,0.04878491914483973,0.01060766228769597
12,'Clarinet',1,0.02208499419952485,0.10119603549135298,0.026327018807685013,0.0,0.0010547745112241464,0.06726630788197065,0.09049771908428823,0.0538206867186982,0.048314477603631334,0.07246804747157738,0.036600824879241024,0.03212861367589654,0.057130318113780186,0.031239469747342194,0.013483754761789911,0.03172787925056906,0.022117976177855048,0.01455285159466637,0.02906241363630621,0.0249967212162203,0.030894262084314384,0.009083566514837134,0.01645855428632677,0.07127585787462713,0.03292524616550546,0.046068112466893164,0.033263907846524686,0.016430201656515462,0.021519312458566614,0.024603793507482274,0.021162115141896625,0.0172909090194665,0.03588941564377275,0.03197624625229297,0.02296001897161602,0.06397278439723426,0.06351079286013402,0.3351017604404,0.060094595566055786,0.057803417394017044,0.05754238802561402,0.06542885276613859,0.013560504384062977,0.06804004247593541,0.047611452934285925,0.060066762494053905,0.04952075699028278,0.015340951005501475,0.035124697008536,0.03751441564370668,0.0831646974426809,0.02802510365211953,0.023262660689981632,0.005872630186345817,0.027395894390552095,0.020410519563198046,0.11341146664193547,0.06923280946691628,0.04003509788403145,0.012917458708922747,0.031053134377704777,0.08715055578554602,0.014402622583110737,0.016923982851074187,0.010373998047467735,0.007361322186815767,0.020132215681232187,0.11030490104642376,0.030237376508149085,0.04656812376680005,0.06131975359271813,0.020495140469617274,0.025095171666660556,0.019933643700840494,0.028595757800521333,0.16444521893029593,0.01922449433189601,0.13660839423270474,0.05242441934242573,0.04932457959230955,0.07510563952764197,0.01583872700663091
12,'Clarinet',2,0.022842708476257634,0.10018724403333125,0.025318227349663294,0.0010547745112241464,0.0,0.06625751642394893,0.08948892762626652,0.05281189526067648,0.047305686145609614,0.07145925601355567,0.035592033421219305,0.03288632795262932,0.05612152665575846,0.03018469523611805,0.012772023538259557,0.03097016497383628,0.021109184719833324,0.013841120371136016,0.028007639125082067,0.024284989992689947,0.03013654780758161,0.009177170703019556,0.01544976282830505,0.07022108336340299,0.03191645470748374,0.045059321008871445,0.03225511638850297,0.01718791593324824,0.02046453794734247,0.023549018996258126,0.020107340630672477,0.016282117561444782,0.034834641132548604,0.030921471741068823,0.02190524446039187,0.06326105317370391,0.06279906163660366,0.3361565349516242,0.05938286434252543,0.05709168617048669,0.0565335965675923,0.06442006130811687,0.014318218660795754,0.0687977567526682,0.046602661476264205,0.059057971036032185,0.05023248821381313,0.014286176494277327,0.034069922497311854,0.03645964113248253,0.08392241171941367,0.029079878163343675,0.023108178134056297,0.0055916526147404355,0.02638710293253037,0.01969878833966769,0.11416918091866825,0.06822401800889455,0.03939985781996587,0.011908667250901025,0.02999835986648063,0.08614176432752428,0.013393831125089017,0.016212251627543833,0.011131712324200516,0.008119036463548545,0.02118699019245633,0.11106261532315653,0.03099509078488186,0.045513349255575895,0.060310962134696396,0.019486349011595554,0.024086380208638836,0.018924852242818774,0.027540983289297185,0.16520293320702872,0.019936225555426363,0.1373661085094375,0.05136964483120158,0.048269805081085394,0.07409684806962026,0.016439173552405713
15,'DallapeAccordion',1,0.07259099572733205,0.03392972760938233,0.04409798051146471,0.06726630788197065,0.06625751642394893,0.0,0.03285625455548057,0.06960887097696364,0.03268647694788313,0.051010568032918424,0.08687119387002279,0.06004765708265305,0.06634140901808284,0.0467980991941783,0.07395693783838878,0.09228277239365394,0.06937538849599328,0.07502603467126524,0.0705257280328437,0.08546990429281916,0.09144915522739927,0.05842594332990946,0.05314469677509265,0.014164169634285408,0.09055557237830426,0.021248661680359892,0.038401262415183685,0.06286304377746986,0.06919639097684029,0.06733923163563846,0.07042919450710967,0.07115192375742602,0.04920263128144251,0.04996268428978503,0.07408902446056442,0.12444596747383312,0.1239839759367329,0.40228635825588466,0.12056777864265467,0.1182766004706159,0.0659411832572797,0.05806666537765779,0.06136017169638527,0.11512055896996869,0.0758793488240945,0.0633840372461909,0.09864447347491095,0.057438088102919484,0.044193421278377415,0.037838826625876426,0.022609804299596026,0.09520970146760416,0.0892380014383168,0.061589273753153685,0.04724975743243468,0.08088370263979691,0.05285657349885059,0.016397360267974174,0.02749320951614946,0.05623900418512847,0.05915251042180216,0.0363274928762204,0.0696614890805337,0.07739716592767305,0.06415193626948384,0.06325400154708537,0.08731681349671683,0.13284874774785052,0.05070390924486579,0.04856285059864515,0.02688111277253082,0.04694567446373804,0.044456875138869346,0.07270405170975998,0.06589591979200128,0.18810437319428117,0.07794108446022924,0.19569348769745623,0.04703946039769696,0.03406301553080135,0.011062798402641046,0.05166094574112436
17,'Domra',1,0.09570564786932327,0.010771226589349798,0.06417070027660322,0.09049771908428823,0.08948892762626652,0.03285625455548057,0.0,0.036752616421483066,0.042183241480656906,0.01815431347743786,0.05401493931454223,0.0831461524952616,0.033485154462602286,0.05996974662882754,0.07915126890324863,0.10733857236192113,0.06844963100706547,0.09648405458131355,0.06189061743692068,0.08855152707976612,0.0875875743976242,0.08165735453222706,0.07403916479796147,0.01940528636526632,0.057699317822823705,0.04442960661739507,0.057233811237763554,0.08596153919007839,0.06957572080126248,0.06723967146389614,0.07090860691270935,0.07329211689679996,0.05843208106709938,0.058786004550772576,0.06824995577634195,0.09158971291835255,0.09112772138125232,0.42538485366849316,0.08771152408717409,0.08542034591513535,0.03308492870179912,0.025210410822177218,0.08445866710899382,0.13821905438257723,0.04302309426861393,0.030527782690710343,0.12187588467722854,0.07569596726339373,0.055471206274500036,0.05310930286072152,0.055333143065367546,0.11843420561425695,0.11233649685092534,0.08468776916576222,0.06310182469373615,0.0900854215885738,0.08557991226462212,0.021400150374258898,0.05059170492875801,0.07766784132970318,0.06033812109785919,0.0034712383207398325,0.0760950965011775,0.07496475418974384,0.08725043168209239,0.08635249695969392,0.11041530890932538,0.15594724316045908,0.07380240465747434,0.04453217862845795,0.029177965491570118,0.07004416987634658,0.06555194252359302,0.07066963901164268,0.06224728340323893,0.21120286860688972,0.10117249566254682,0.21879198311006479,0.03914188682049811,0.04216161579981406,0.02179345615283952,0.07475944115373291
23,'ElectricPiano',1,0.05902861550373323,0.047523843010832865,0.02749366791101319,0.0538206867186982,0.05281189526067648,0.06960887097696364,0.036752616421483066,0.0,0.03699265568637137,0.01864736075287918,0.017262322893059154,0.046393536073778524,0.003309631395081976,0.023603979141152837,0.04239865248176556,0.07066153999633111,0.03170271054084316,0.05973143815983049,0.02521358507133065,0.05179891065828304,0.05091054203203416,0.04498032216663702,0.03736213243237144,0.055709836564769445,0.020946701401340636,0.051967866386405104,0.031207608561779954,0.049208922768595335,0.032898688435672445,0.030562639098306105,0.03423157454711932,0.03653950047531689,0.024311727388591026,0.022108972185182537,0.031572923410751914,0.05483709649686949,0.054375104959769244,0.3886322372470101,0.05095890766569102,0.04866772949365227,0.003721701306915816,0.011608166047440386,0.04773477711082186,0.10146643796109417,0.006270477847130862,0.006246075775355703,0.0851988523116385,0.0390189348978037,0.025595343963820027,0.03197775383771318,0.09203692191464925,0.08175717324866692,0.07558388042944227,0.047948056532352394,0.02642479232814611,0.053408389222983764,0.12226180789775559,0.05327116740998336,0.04748762153150978,0.040915224908220124,0.02366108873226915,0.033329869066847796,0.03941806413558747,0.03821213776826076,0.05049781526060931,0.04959988053821084,0.07366269248784231,0.11919462673897602,0.03908285449642577,0.021730313755774246,0.042727758204432816,0.03332554624908093,0.028799326102109956,0.03391702259015961,0.025570251037648883,0.17445025218540663,0.06449546329695678,0.18203936668858176,0.02371970772438829,0.03661604182048366,0.058546072574322594,0.03800682473224984
23,'ElectricPiano',2,0.053709427106283604,0.05288155788772164,0.02217171483237994,0.048314477603631334,0.047305686145609614,0.03268647694788313,0.042183241480656906,0.03699265568637137,0.0,0.024153569867946048,0.054254978579430534,0.0411660884616046,0.03372519372749059,0.01778650514817064,0.041340722547796506,0.06515533088126424,0.03675917320540103,0.054503990547656554,0.03783925108496058,0.0528536890022269,0.05876267827951614,0.03947411305157015,0.03194433055504865,0.022972828680190942,0.05793935708771201,0.01509593862260701,0.01520467268276438,0.0439814751564214,0.03650991402895717,0.034652754687755326,0.03774271755922655,0.03853570846683375,0.01651615433355938,0.017276207341901897,0.04140254751268129,0.09182975218324085,0.09136776064614062,0.3834047896348362,0.08795156335206239,0.08566038518002365,0.03332496796668743,0.025450450087065524,0.04247860307533682,0.09623899034892025,0.04326313353350223,0.030767821955598646,0.07969264319657164,0.03351272578273683,0.013287964793843135,0.01092606138006462,0.05529628124747915,0.07632813284655572,0.07035643281726835,0.042707705132105235,0.021118948874079876,0.04826748734920464,0.08554305044673371,0.02091833186328494,0.010773727348031345,0.0356877772960462,0.02646603347391903,0.03883607818191467,0.03699805406511389,0.044780950637080784,0.045270367648435395,0.04437243292603691,0.06843524487566838,0.11396717912680208,0.03182234062381734,0.015876373650762023,0.013005275989086787,0.028064105842689587,0.023571878489936027,0.04008783641916772,0.03320944284411815,0.1692228045732327,0.05898925418188992,0.1768119190764078,0.014352983449813825,0.001376538582918223,0.02679116192401064,0.03277937712007591
23,'ElectricPiano',3,0.07767597625661242,0.02892554006678766,0.04614102866389238,0.07246804747157738,0.07145925601355567,0.051010568032918424,0.01815431347743786,0.01864736075287918,0.024153569867946048,0.0,0.03586722259233636,0.06501115465095166,0.015337729357797205,0.041940075016116685,0.06099695542581077,0.08930890074921027,0.05035007129372234,0.07837598597613081,0.04386094582420983,0.07039801738274933,0.06955790278491335,0.06362768291951619,0.056009493185250614,0.03711153362072424,0.03954500434538585,0.0333695634423599,0.039204139625052696,0.0678177663251411,0.05154604918855163,0.04920999985118529,0.05287893529999851,0.055177138452110884,0.04040240945438853,0.04075633293806172,0.05022028416363109,0.07343539944091469,0.07297340790381446,0.4072436069430929,0.06955721060973623,0.06726603243769748,0.014930615224361262,0.007056097344739362,0.06638213786370104,0.12007102086540018,0.024868780791176073,0.012401284977523479,0.10384621306451769,0.057666295650682875,0.037441534661789184,0.03507963124801067,0.07343861897060405,0.1004045340015461,0.09421071462355925,0.06659541728523156,0.045072153081025294,0.07205574997586293,0.10366350495371036,0.034623806657104184,0.03243739145132015,0.05955058876265464,0.04230844948514833,0.014683075156698026,0.058065424888466645,0.05682840473565934,0.06909611820465453,0.06819818348225605,0.09226099543188752,0.13781541923122861,0.055664759408851266,0.026502507015747096,0.02412945526038761,0.05197290700196011,0.04739762904615517,0.05253440377073689,0.04421761179052806,0.19304855512945185,0.08314282404983597,0.20068337497868183,0.02111221520778726,0.024131944187103207,0.03994776963027738,0.056629320464946474
