% Distances between instruments for pitch 95 (B6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
15,'DallapeAccordion',1,0.0,0.049295136107320066,0.0255989587994957,0.05415905946516623,0.02337146754753877,0.06536612313875885,0.05109966523638667,0.04676508344259701,0.07382701861718347,0.023039765534957207,0.03388779790077904,0.04780396039992122,0.030280202952984697,0.012145979486038858,0.04235826087682964,0.043255954700354975,0.03810212769610552,0.03469653639106987,0.01754867071429678
23,'ElectricPiano',1,0.049295136107320066,0.0,0.023696177307824366,0.004869469204007929,0.025923668559781298,0.04568954454055634,0.032576078369953826,0.02575932165104901,0.024545953153271623,0.026258742905111616,0.02139677877768381,0.029029943465059674,0.019014933154335365,0.037176664037153646,0.023834674010396798,0.035427219137829626,0.01645483851040491,0.014780611622308435,0.0320270419882527
23,'ElectricPiano',2,0.0255989587994957,0.023696177307824366,0.0,0.028560100665670524,0.019046532680431313,0.06937022653529949,0.05625676036469698,0.04944000364579217,0.04822805981768777,0.0025780609103684634,0.0389537886976668,0.05272612077288404,0.004681244153488998,0.013495982042410488,0.04751535600513995,0.04841304982866529,0.04013552050514807,0.03549845801399542,0.022566124089763755
23,'ElectricPiano',4,0.05415905946516623,0.004869469204007929,0.028560100665670524,0.0,0.030787591917627453,0.040820075336548405,0.0277066091659459,0.020889852447041085,0.019676483949263694,0.03112821210911955,0.026260702135529973,0.024166020107213512,0.023878856512181527,0.042046133241161576,0.021019915377620685,0.04029114249567579,0.016125756776503672,0.019644534980154598,0.03689096534609886
23,'ElectricPiano',5,0.02337146754753877,0.025923668559781298,0.019046532680431313,0.030787591917627453,0.0,0.05032369385486818,0.03721022768426566,0.030393470965360853,0.050455551069644694,0.021624593590799778,0.019907256017235486,0.03380685788488858,0.014369459077988802,0.011395760582889415,0.02846882332470864,0.029366517148233972,0.021088987824716753,0.016451925333564103,0.006135350218403102
25,'Flute',7,0.06536612313875885,0.04568954454055634,0.06937022653529949,0.040820075336548405,0.05032369385486818,0.0,0.02194063034930607,0.019930222889507323,0.02114359138728471,0.07194828744566796,0.037558870140545146,0.034903597448164514,0.06469315293285698,0.056600327771374866,0.030881967900971544,0.050894690224599436,0.029234706030151422,0.03387176852130407,0.048237670772534824
25,'Flute',8,0.05109966523638667,0.032576078369953826,0.05625676036469698,0.0277066091659459,0.03721022768426566,0.02194063034930607,0.0,0.0068167567189048135,0.03317824578414184,0.05883482127506545,0.018208765647139444,0.015553492954758807,0.051579686762254474,0.04348686160077236,0.011531863407565839,0.03154458573119373,0.016121239859548917,0.020758302350701568,0.033690636274933225
26,'Fujara',1,0.04676508344259701,0.02575932165104901,0.04944000364579217,0.020889852447041085,0.030393470965360853,0.019930222889507323,0.0068167567189048135,0.0,0.027120435313833794,0.05201806455616063,0.018957830444383313,0.016302557752002674,0.04476293004334966,0.03667010488186754,0.013567439215804132,0.032838666333859234,0.009314808008839735,0.014065057398607658,0.029636631076372984
36,'Piano',6,0.07382701861718347,0.024545953153271623,0.04822805981768777,0.019676483949263694,0.050455551069644694,0.02114359138728471,0.03317824578414184,0.027120435313833794,0.0,0.050804696058383246,0.04592866128754722,0.04312813350156864,0.04354956154557227,0.061722617190425266,0.04068787452963793,0.059959101647693025,0.03579371592852091,0.03931249413217184,0.05655892449811611
36,'Piano',7,0.023039765534957207,0.026258742905111616,0.0025780609103684634,0.03112821210911955,0.021624593590799778,0.07194828744566796,0.05883482127506545,0.05201806455616063,0.050804696058383246,0.0,0.041531849608035264,0.05528531403742254,0.007255134512810973,0.015372094757416764,0.05009341691550842,0.05099111073903375,0.04271358141551653,0.03807651892436388,0.025144185000132217
