% Distances between instruments for pitch 98 (D7)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC

@DATA
23,'ElectricPiano',4,0.0,0.05024549292901496,0.04981481499358972,0.05804995636411078,0.006709912984823811,0.027783251778180678,0.0295963320073156,0.0031786105799467314,0.01774802818033311,0.03053406114096417,0.034777387349912016
23,'ElectricPiano',5,0.05024549292901496,0.0,0.06767377272596424,0.10828393570053745,0.04354686699020693,0.06743522053259678,0.05339879622574844,0.04707949913332784,0.032520775016995816,0.056078871230392145,0.055370452691676265
25,'Flute',8,0.04981481499358972,0.06767377272596424,0.0,0.044940584140516195,0.056524727978413535,0.022031563215409045,0.020238199142060136,0.05299342557353645,0.041119814463340704,0.019280753852625555,0.01503742764367771
36,'Piano',6,0.05804995636411078,0.10828393570053745,0.044940584140516195,0.0,0.06475986934893459,0.040912743502691536,0.05491636922316332,0.06122856694405751,0.07579798454444389,0.05230079250969464,0.05312795802675746
36,'Piano',7,0.006709912984823811,0.04354686699020693,0.056524727978413535,0.06475986934893459,0.0,0.034493164763004486,0.036294957946123634,0.003532632143120912,0.015416936737371016,0.037243974125787976,0.04148730033473582
36,'Piano',8,0.027783251778180678,0.06743522053259678,0.022031563215409045,0.040912743502691536,0.034493164763004486,0.0,0.014067654055222666,0.030961862358127413,0.034949269376503236,0.011388049007003109,0.012215214524065925
36,'Piano',9,0.0295963320073156,0.05339879622574844,0.020238199142060136,0.05491636922316332,0.036294957946123634,0.014067654055222666,0.0,0.03276232580300272,0.020881615321280574,0.002711304753018029,0.0052007714983824255
36,'Piano',10,0.0031786105799467314,0.04707949913332784,0.05299342557353645,0.06122856694405751,0.003532632143120912,0.030961862358127413,0.03276232580300272,0.0,0.014569417600386375,0.03371267172091089,0.037955997929858744
36,'Piano',11,0.01774802818033311,0.032520775016995816,0.041119814463340704,0.07579798454444389,0.015416936737371016,0.034949269376503236,0.020881615321280574,0.014569417600386375,0.0,0.023592920074298602,0.026082386819663
51,'Violin',8,0.03053406114096417,0.056078871230392145,0.019280753852625555,0.05230079250969464,0.037243974125787976,0.011388049007003109,0.002711304753018029,0.03371267172091089,0.023592920074298602,0.0,0.004243326208947847
51,'Violin',9,0.034777387349912016,0.055370452691676265,0.01503742764367771,0.05312795802675746,0.04148730033473582,0.012215214524065925,0.0052007714983824255,0.037955997929858744,0.026082386819663,0.004243326208947847,0.0
