% Distances between instruments for pitch 99 (D#7)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC

@DATA
23,'ElectricPiano',4,0.0,0.01623905322639635,0.058453258855032615,0.09349574700088903,0.01459223249492068,0.04337119880661238,0.04870510037498327,0.019268973510265772,0.0071374959442192425,0.05285128028102996,0.04599426041561547
23,'ElectricPiano',5,0.01623905322639635,0.0,0.07461299757831155,0.10970873804382224,0.03083128572131703,0.05957753178784452,0.06494415360137962,0.035508026736662125,0.02337654917061559,0.0690110190043089,0.062153999138894404
25,'Flute',8,0.058453258855032615,0.07461299757831155,0.0,0.039720081854359934,0.0438843049954983,0.01508206004842024,0.014179221738501129,0.03919587902871003,0.051347380887495964,0.008836537224136696,0.01245899843941715
36,'Piano',6,0.09349574700088903,0.10970873804382224,0.039720081854359934,0.0,0.07892679314135471,0.05013120625597772,0.04481717604942385,0.07423836717456644,0.08638986903335237,0.04085642648518844,0.04769594360921949
36,'Piano',7,0.01459223249492068,0.03083128572131703,0.0438843049954983,0.07892679314135471,0.0,0.02880224494707806,0.03411286788006259,0.004688425966788267,0.013619809909140667,0.03828232642149564,0.03142530655608115
36,'Piano',8,0.04337119880661238,0.05957753178784452,0.01508206004842024,0.05013120625597772,0.02880224494707806,0.0,0.005366621813535099,0.024113818980289792,0.03626532083907572,0.013478431479552628,0.005478140062704015
36,'Piano',9,0.04870510037498327,0.06494415360137962,0.014179221738501129,0.04481717604942385,0.03411286788006259,0.005366621813535099,0.0,0.0294361268647175,0.04157269298392851,0.018550125019463667,0.010549833602615055
36,'Piano',10,0.019268973510265772,0.035508026736662125,0.03919587902871003,0.07423836717456644,0.004688425966788267,0.024113818980289792,0.0294361268647175,0.0,0.012151501858785926,0.03359390045470737,0.026736880589292883
36,'Piano',11,0.0071374959442192425,0.02337654917061559,0.051347380887495964,0.08638986903335237,0.013619809909140667,0.03626532083907572,0.04157269298392851,0.012151501858785926,0.0,0.045745402313493305,0.038888382448078816
51,'Violin',8,0.05285128028102996,0.0690110190043089,0.008836537224136696,0.04085642648518844,0.03828232642149564,0.013478431479552628,0.018550125019463667,0.03359390045470737,0.045745402313493305,0.0,0.008000291416848614
51,'Violin',9,0.04599426041561547,0.062153999138894404,0.01245899843941715,0.04769594360921949,0.03142530655608115,0.005478140062704015,0.010549833602615055,0.026736880589292883,0.038888382448078816,0.008000291416848614,0.0
