% Distances between instruments for pitch 90 (F#6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
3,'Bandura',1,0.0,0.0259936770130595,0.05768047172493548,0.006817205356789445,0.07607587153529304,0.008481883827113164,0.031342472479478,0.05102704682899691,0.06822525552222354,0.056827551781896087,0.05635024447112117,0.016471286730884858,0.04231955678691437,0.046105781027637405,0.030387642070752507,0.02785954000747338,0.06344485627319153,0.07258722436244112,0.12599820292683128,0.11066195056843091,0.06742370802793612,0.0688011103288113,0.05709731141155779,0.055072442059142086,0.026723229746913036,0.01461325922270069,0.015467806813395593,0.033217222518659585,0.025959270459702338,0.03513822962986826,0.01236391907239974,0.03047624816817882,0.03453330480117059,0.026508192206087675,0.11955999261748083,0.02187391118542495,0.04499242908140888,0.019776817726901017,0.021116032070362573,0.05644896880727562
12,'Clarinet',2,0.0259936770130595,0.0,0.0585954581264243,0.03281088236984894,0.07699085793678186,0.03447556084017266,0.0455924654132529,0.028801152587216033,0.04458330146806571,0.03448419629826641,0.03392654949024176,0.00952239028217464,0.020093662545133496,0.020112104014577904,0.014419215445750958,0.009173398733945116,0.06390868526727911,0.053461383485263136,0.10377230868505039,0.08843605632665003,0.07027650439772594,0.07165390669860111,0.03487141716977692,0.05598742846063091,0.027400787642630386,0.015528245624189507,0.04146148382645509,0.059210899531719076,0.017573583300800295,0.03525532065345359,0.013669699252995715,0.031391234569667636,0.035689522224368365,0.03438704153366546,0.12047497901896964,0.010847095684205471,0.034715466082617136,0.02948817512429801,0.03263848809467817,0.06232891368845491
15,'DallapeAccordion',1,0.05768047172493548,0.0585954581264243,0.0,0.061506204107300955,0.04833198448633616,0.05984518173931112,0.026389413721552984,0.07892790654920309,0.0803916172331766,0.08374714816630113,0.08620722412100407,0.060771491337344004,0.05729349217845401,0.0741161550552694,0.07301467357217524,0.04942205939247918,0.023728273685183914,0.1082770841647213,0.1381525899620968,0.13169242889855057,0.12509220507718408,0.12646960737805926,0.06925169844682334,0.0027025548683594094,0.031194670483793912,0.043089761874183424,0.05286398813715292,0.035130929094591694,0.041021874825624,0.0233401374729707,0.05608801668972769,0.0382334694617456,0.023227164782525945,0.031766263191959444,0.09646435983710216,0.04774836244221883,0.057146816116674416,0.03820822067449699,0.03734672065052749,0.024168874964442356
23,'ElectricPiano',1,0.006817205356789445,0.03281088236984894,0.061506204107300955,0.0,0.07987947182634426,0.0016646784703237176,0.03511679038574798,0.05777135035295446,0.07504246087901299,0.06364475713868553,0.06316744982791063,0.023288492087674306,0.04906386031087192,0.05292298638442685,0.03720484742754195,0.03467674536426282,0.06728256333124454,0.07933218548738939,0.1327425064507888,0.11740625409238846,0.06358600096988314,0.0649634032707583,0.06384161493551536,0.0588372472843632,0.030560936804966035,0.018646974844670865,0.008650601456606148,0.026400017161870137,0.03277647581649178,0.03897593668792126,0.01914118311685323,0.034241053393399924,0.0382981100263917,0.030345899264140667,0.12332479784270194,0.02869111654221439,0.051745660899581096,0.023614524784954016,0.02495373912841557,0.060268801148117175
23,'ElectricPiano',2,0.07607587153529304,0.07699085793678186,0.04833198448633616,0.07987947182634426,0.0,0.07821844945835443,0.05574227908426226,0.0973011742682464,0.09622522619644187,0.10214254797665868,0.10460262393136162,0.07916689114770158,0.07566675989749733,0.09251155486562697,0.09141007338253282,0.06781745920283674,0.07206025817152006,0.1266503518837646,0.08982060547576065,0.15006569661759386,0.14346547279622743,0.14484287509710256,0.0749500157232358,0.050035769529149544,0.049590070294151474,0.06146302959322675,0.07123725585619624,0.06936071320272845,0.059417274635981565,0.04173553728332827,0.07446128440877102,0.04567216542929908,0.04583933589537773,0.05016166300231701,0.048132375350766,0.06614376225257639,0.04230525862578019,0.05660362048485456,0.05574212046088506,0.0724949594092546
23,'ElectricPiano',4,0.008481883827113164,0.03447556084017266,0.05984518173931112,0.0016646784703237176,0.07821844945835443,0.0,0.03345576801775814,0.059432372720944295,0.0767071393493367,0.06530943560900924,0.06483212829823434,0.024953170557998023,0.050724882678861764,0.05458766485475056,0.038869525897865666,0.03634142383458654,0.0656215409632547,0.08099686395771309,0.13440352881877868,0.11906798066538367,0.06524702333787297,0.06662442563874814,0.0655026373035052,0.05717256881403948,0.0288999144369762,0.02031165331499458,0.006985922986282429,0.024735338691546416,0.034441154286815504,0.037314914319931426,0.020805861587176948,0.03448440831842745,0.03663343155606798,0.028684876896150832,0.12166011937237821,0.03035579501253811,0.05341033936990481,0.02195350241696418,0.02329271676042573,0.058607778780127344
23,'ElectricPiano',5,0.031342472479478,0.0455924654132529,0.026389413721552984,0.03511679038574798,0.05574227908426226,0.03345576801775814,0.0,0.07056244607740729,0.08782404392241694,0.07642634018208948,0.07594903287131458,0.03607007513107826,0.06185495603532474,0.0657045694278308,0.04998643047094591,0.04745832840766678,0.03216577294549656,0.0921226236108515,0.14553360217524164,0.13019734981684128,0.0987027913556311,0.10008019365650626,0.07663271065996817,0.023729969579664088,0.03472570450872997,0.031428557888074825,0.026474574415599934,0.013618434118466182,0.04555805885989574,0.027903323140402964,0.03192276616025719,0.04561448167489044,0.009931526571550081,0.011205423879587442,0.103845372050247,0.04147269958561835,0.06452782832981925,0.016104290288954885,0.012953977318574733,0.0251520107623692
25,'Flute',1,0.05102704682899691,0.028801152587216033,0.07892790654920309,0.05777135035295446,0.0973011742682464,0.059432372720944295,0.07056244607740729,0.0,0.017284149511096553,0.005886445770769094,0.007353283713983368,0.03498977600918735,0.02163441437074908,0.010056365526372442,0.028546273181183746,0.029692510254075027,0.08690970754944634,0.02936287420154693,0.07497115609783435,0.05964499082714351,0.046164298527981006,0.04754170082885617,0.02235115854501059,0.07624591074122732,0.047982639246868165,0.03916275329347934,0.06641356632310251,0.08415832852978657,0.03953494175702812,0.056397639129823394,0.038663127756597165,0.05164971685026404,0.06063695122243586,0.0600143950227145,0.14073346129956602,0.03304523913209275,0.05499591564246622,0.05482611161669795,0.05845413890657017,0.0873444087871809
25,'Flute',2,0.06822525552222354,0.04458330146806571,0.0803916172331766,0.07504246087901299,0.09622522619644187,0.0767071393493367,0.08782404392241694,0.017284149511096553,0.0,0.011397703740327456,0.011875011051102368,0.05175396879133868,0.025990887678845997,0.025838514407222114,0.04432842206203342,0.04036571551475016,0.10365675883527174,0.031875292266701445,0.05918900721698469,0.05529063700053072,0.048690413179164255,0.05006781548003941,0.021323673377224947,0.08211753436730423,0.05309833941368697,0.05639548603434213,0.08369306233561913,0.10144247804088313,0.04246686060790575,0.05992072078201397,0.05590127776215976,0.05062560282932766,0.07792110073353241,0.0766186200428295,0.13970934727862966,0.0467890048738426,0.05394983434227716,0.07171975363346206,0.07487006660384221,0.10456049219761897
25,'Flute',3,0.056827551781896087,0.03448419629826641,0.08374714816630113,0.06364475713868553,0.10214254797665868,0.06530943560900924,0.07642634018208948,0.005886445770769094,0.011397703740327456,0.0,0.0024600759547029343,0.04067281972023772,0.026526870255696416,0.015739409237422817,0.03422931689223413,0.03438231595363674,0.09259275126049675,0.02465937191595648,0.06928811238678398,0.05395186002838362,0.041474492828419286,0.042851895129294444,0.027240995157441755,0.08113911850050774,0.05267244494642989,0.04499778229401467,0.07229535859529168,0.09004477430055567,0.04422474745658983,0.061087444829385114,0.044503574021832304,0.05654292460954447,0.06652339699320496,0.06569743873376489,0.14562666905884647,0.03773504483165446,0.05986715612249397,0.06050915532774834,0.06413718261762054,0.09316278845729149
