% Distances between instruments for pitch 24 (C1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
6,'Bass',1,0.0,0.016925002098675018,0.04778610731866282,0.11539571290379373,0.10102724723137411,0.09882482829983308,0.09852971608764943,0.0972004650477941,0.05452471668781905,0.09752694869505475,0.08219269544206652,0.06990247073926296,0.09851079397115564,0.0726851058648847,0.06453801534033772,0.06456276660210208,0.047486759179982775,0.03912252999377221,0.06354189112408751,0.08076143506747056,0.07826660608609551,0.06301965706890018,0.07775069022681015,0.0742014648371899,0.057080781501377444,0.055801484498011755,0.06734625453057481,0.08566011979424316,0.07854257399774855,0.05225907010252129,0.03818872984606667,0.045941837736072834,0.0595717836528768
6,'Bass',2,0.016925002098675018,0.0,0.06341098742511293,0.10416353424032472,0.11603144630484603,0.11382902737330501,0.11353391516112137,0.11220466412126602,0.07144971878649407,0.11253114776852668,0.09719689451553844,0.08490666981273488,0.11351499304462757,0.08768930493835662,0.07954221441380965,0.07956696567557402,0.06249095825345471,0.04002775805218076,0.07854609019755944,0.09576563414094248,0.09327080515956743,0.07802385614237212,0.09275488930028207,0.08920566391066183,0.0713261709942717,0.06858275649480731,0.08235045360404673,0.1006643188677151,0.09354677307122049,0.06726326917599322,0.053192928919538605,0.06094603680954477,0.07457598272634873
13,'Contrabassoon',1,0.04778610731866282,0.06341098742511293,0.0,0.133915383342168,0.05324113991271128,0.05103872098117026,0.05074360876898661,0.049414357729131275,0.011110640329008459,0.04974084137639193,0.03440658812340369,0.022116363420600138,0.05072468665249282,0.026371721674286048,0.0167519080216749,0.026723276043503472,0.0302369380665512,0.05764220043214648,0.01584571465608459,0.03297532774880774,0.03048049876743268,0.015979137716712024,0.03908921048122401,0.032205914032899095,0.037260989070778266,0.03598169206741258,0.03893634922125141,0.037874012475580345,0.03075646667908573,0.02121614727068774,0.015966167932223115,0.00501952815525447,0.011785676334213973
21,'ElectricBass',1,0.11539571290379373,0.10416353424032472,0.133915383342168,0.0,0.15299836666110714,0.1507959477295661,0.15066874133720715,0.15186690136892605,0.12477664764625714,0.1515404177216654,0.15575665305391506,0.12214712264354997,0.1505565724455645,0.12465622529461771,0.14274405828827028,0.1589955210686265,0.10393137999688433,0.07699467840844186,0.14811795968120758,0.13812875724838133,0.13542698964265223,0.14834641881205748,0.17136145550634704,0.1644781590580221,0.17008027715960197,0.16841752001934965,0.17120859424637438,0.16349315898229008,0.1305136934274816,0.15422611257554575,0.11794921540994487,0.13738202359474005,0.12687635517862225
21,'ElectricBass',2,0.10102724723137411,0.11603144630484603,0.05324113991271128,0.15299836666110714,0.0,0.0022024189315410243,0.0024975311437246683,0.0038267821835800023,0.047174313184427746,0.003500298536319347,0.018834551789307586,0.031317431160950294,0.0025164532602184584,0.04049645751746411,0.03662883508022599,0.036572811544449475,0.05375337032243646,0.07621818108276245,0.037571353356976506,0.020434981078571435,0.02297120170402892,0.038007590162473924,0.02328128387077856,0.02689042025048736,0.04470527531057433,0.04744868981003871,0.03372840947429282,0.015412987346721621,0.022682198986821004,0.04876817712885282,0.06283851738530742,0.05508540949530127,0.041455463578497304
21,'ElectricBass',3,0.09882482829983308,0.11382902737330501,0.05103872098117026,0.1507959477295661,0.0022024189315410243,0.0,0.0002951122121836443,0.0016243632520389778,0.044971894252886724,0.0012978796047783223,0.01663213285776656,0.029133408380009856,0.0003140343286774345,0.042698876449005135,0.03444481229928555,0.03438878876350904,0.05156934754149602,0.07403415830182201,0.03538733057603607,0.018250958297630997,0.02078717892308848,0.0358051712309329,0.021097261089838126,0.024706397469546924,0.0425028563790333,0.045246270878497676,0.031544386693352376,0.013228964565781183,0.021420689328297566,0.04656575819731179,0.060636098453766406,0.052882990563760245,0.03925304464695628
21,'ElectricBass',4,0.09852971608764943,0.11353391516112137,0.05074360876898661,0.15066874133720715,0.0024975311437246683,0.0002951122121836443,0.0,0.001444480723690117,0.04467678204070308,0.0010027673925946782,0.016337020645582918,0.029027858287272734,0.00012864338747897835,0.04299398866118878,0.03433926220654843,0.03428323867077191,0.0514637974487589,0.07426446741904923,0.03528178048329894,0.01814540820489387,0.020681628830351354,0.03558292876835147,0.020991710997101,0.0246008473768098,0.042207744166849664,0.04495548155932464,0.03143883660061526,0.013123414473044057,0.021715801540481208,0.046270645985128145,0.06041288919630524,0.05266553375703872,0.03903710134178503
21,'ElectricBass',5,0.0972004650477941,0.11220466412126602,0.049414357729131275,0.15186690136892605,0.0038267821835800023,0.0016243632520389778,0.001444480723690117,0.0,0.04334753100084774,0.000473885419095751,0.015007769605727583,0.02995248584443765,0.0013158373362111388,0.04432323970104412,0.032894781482858314,0.03283875794708179,0.05001931672506877,0.07559371845890456,0.03383729975960882,0.01670092748120375,0.019237148106661234,0.03418080797889392,0.01954723027341088,0.02315636665311968,0.04087849312699433,0.043621907626458706,0.029994355876925134,0.01167893374935394,0.023045052580336543,0.04494139494527281,0.05901173520172742,0.05125862731172126,0.0376286813949173
21,'ElectricBass',6,0.05452471668781905,0.07144971878649407,0.011110640329008459,0.12477664764625714,0.047174313184427746,0.044971894252886724,0.04467678204070308,0.04334753100084774,0.0,0.043674014648108404,0.034385506700039224,0.016049536692316606,0.04465785992420929,0.01883217181793835,0.021582453592155718,0.03783391637251193,0.021098202370640345,0.048503464736235624,0.02695635498509305,0.02690850102052421,0.024413672039149154,0.02708977804572049,0.050199850810232476,0.04331655436190757,0.04837162939978673,0.04709233239642104,0.05004698955025986,0.04233155428617553,0.0246896399508022,0.032326787599696205,0.019183244285920036,0.016130168484262932,0.005718849605930445
21,'ElectricBass',7,0.09752694869505475,0.11253114776852668,0.04974084137639193,0.1515404177216654,0.003500298536319347,0.0012978796047783223,0.0010027673925946782,0.000473885419095751,0.043674014648108404,0.0,0.015334253252988239,0.029626002197176992,0.000983845276100888,0.043996756053783455,0.03336866690195406,0.03331264336617754,0.05049320214416453,0.0752672348116439,0.03431118517870457,0.017174812900299503,0.019711033525756986,0.034612333463757104,0.02002111569250663,0.023630252072215436,0.041204976774254984,0.04398488625473027,0.030468241296020885,0.012152819168449692,0.02271856893307589,0.04526787859253347,0.05944229389171087,0.05169493845244435,0.03806650603719066
23,'ElectricPiano',1,0.08219269544206652,0.09719689451553844,0.03440658812340369,0.15575665305391506,0.018834551789307586,0.01663213285776656,0.016337020645582918,0.015007769605727583,0.034385506700039224,0.015334253252988239,0.0,0.033842237529426666,0.016318098529089126,0.04821299138603313,0.018043877398902123,0.017987853863125607,0.052078207778298295,0.07948347014389358,0.018986395675652634,0.017837117170424067,0.020580276420235553,0.019287543960705165,0.015814344110193255,0.00893104766186834,0.025870723521266747,0.028660096751678337,0.015661482850220648,0.007946047586136314,0.026934804265325563,0.029933625339545234,0.04411750438865893,0.03637014894939241,0.028880297875292813
23,'ElectricPiano',2,0.06990247073926296,0.08490666981273488,0.022116363420600138,0.12214712264354997,0.031317431160950294,0.029133408380009856,0.029027858287272734,0.02995248584443765,0.016049536692316606,0.029626002197176992,0.033842237529426666,0.0,0.028899214899793756,0.014419898055400069,0.02064998712436984,0.03693272217873821,0.02243593916148616,0.0456412326144669,0.026077494456806877,0.0160051203590026,0.013279866999102281,0.026432003287569106,0.0494022606654216,0.04245905322700813,0.048165861635113584,0.04650310449486127,0.049206709498170076,0.041492831097988576,0.008640103258485592,0.03231169705105736,0.031713740893196285,0.023960633003190124,0.010330687086386162
23,'ElectricPiano',4,0.09851079397115564,0.11351499304462757,0.05072468665249282,0.1505565724455645,0.0025164532602184584,0.0003140343286774345,0.00012864338747897835,0.0013158373362111388,0.04465785992420929,0.000983845276100888,0.016318098529089126,0.028899214899793756,0.0,0.04301291077768257,0.03421061881906945,0.034154595283292934,0.05133515406127992,0.07428338953554302,0.035153137095819964,0.018016764817414894,0.020552985442872377,0.035491136902255464,0.02086306760962202,0.02447220398933082,0.04218882205035587,0.04493223654982025,0.03131019321313627,0.012994771085565078,0.021734723656975,0.046251723868634353,0.06032206412508897,0.05256895623508281,0.038939010318278844
23,'ElectricPiano',5,0.0726851058648847,0.08768930493835662,0.026371721674286048,0.12465622529461771,0.04049645751746411,0.042698876449005135,0.04299398866118878,0.04432323970104412,0.01883217181793835,0.043996756053783455,0.04821299138603313,0.014419898055400069,0.04301291077768257,0.0,0.0350207409809763,0.051303476035344686,0.025267718485901505,0.0477325292462275,0.04044824831341335,0.030401532660231406,0.027699765054502352,0.040802757144175576,0.06377301452202806,0.056829807083614604,0.06253661549172006,0.06087385835146775,0.06357746335477654,0.05586358495459504,0.021332202403857473,0.04668245090766382,0.034496376018818026,0.029838361926858115,0.019332693510740323
