% Distances between instruments for pitch 38 (D2)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 10 (Cello), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 11 (CeylonGuitar), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 14 (Cumbus), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 18 (Drums), style 12' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 40 (ScaleChangerHarmonium), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 44 (Tanbur), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
3,'Bandura',1,0.0,0.17716096988213637,0.04317685779526351,0.04717260933259021,0.03879638981937706,0.06929105037124951,0.08488656792974512,0.048137159748776255,0.07049655717732935,0.04928593651153255,0.0637651331260405,0.21775614181420547,0.04538130947432747,0.03832145825862974,0.044182362143768084,0.04523145720476154,0.10244161504695821,0.13920942468322736,0.11791520361639189,0.11450591392931027,0.12064604577003156,0.1156346891438738,0.12863804182688166,0.11797936386525622,0.11028857911373552,0.12342197019319062,0.11359801331928111,0.12037324970979534,0.14108644662848216,0.1308840726032501,0.016137286912734847,0.02094693920841345,0.017352512079841783,0.016446333408668554,0.014676171025009283,0.041933731343925994,0.0148037768044764,0.0038453236294734108,0.047425048312834145,0.014234896585112329,0.014717550080242047,0.06278312938748955,0.019270179999899918,0.16203049507691986,0.03931392963310723,0.04122103515580396,0.03306978496309683,0.0043454795328509155,0.14930766287425232,0.13019745980450376,0.03709162883763832,0.042825367680826676,0.023452357283854846,0.03368425222193593,0.01110881815928237,0.13553001946315213,0.053340369700521785,0.00868203914135725,0.038908963943706874,0.00408573858421776,0.15973753578149238,0.05873736355082481,0.20425588458699095,0.01818927953039743,0.017146870881777142,0.060241443110400916,0.1493607721619524,0.12996425259856792,0.058550964865332546,0.045004093028569093,0.02332287882723545,0.06051951733736661,0.0601462137427459,0.06654947069679609
6,'Bass',1,0.17716096988213637,0.0,0.13398411208687286,0.1323708587502637,0.1383645800627593,0.12078574811819694,0.10134897629465185,0.14844436000535413,0.12206091810766671,0.14533675878245714,0.12043312043019543,0.04143424160947884,0.13317298748319942,0.1544949748630672,0.22134333202590448,0.1509944659396528,0.10579516433862135,0.14352626138765737,0.29507617349852827,0.2916668838114467,0.29780701565216794,0.2926951558908874,0.30545574057185365,0.2951403337473926,0.2873707370722471,0.3001697515142175,0.2907589832014175,0.2975342195919317,0.29188788561592033,0.3080450424853865,0.19329825679487123,0.19810790909054984,0.19451348196197815,0.19360730329080492,0.19183714090714565,0.1587813864174735,0.19196474668661279,0.1810062935116098,0.16257329692553601,0.1913958664672487,0.1918002093305398,0.15776239688729965,0.15830321284945817,0.024096530985706393,0.14795959120401647,0.15074431551816925,0.1541038199564838,0.1729811666827925,0.04185411344037995,0.06249994956737787,0.14936890399333239,0.17263087906943464,0.16454178429172772,0.15154736955823267,0.16617832024154225,0.051620667566660124,0.149536040089451,0.16863205276269747,0.14316256068957403,0.1731277573697079,0.01748823165139114,0.11842360633131156,0.043536712153872975,0.1794654789925959,0.19430784076391353,0.16396497958750533,0.09015128991818326,0.10162065935315383,0.16478451234612498,0.1578685020155046,0.15383809105490093,0.11664145254476976,0.11708313537255843,0.12591712415445921
6,'Bass',2,0.04317685779526351,0.13398411208687286,0.0,0.011254873308923096,0.01576504196554257,0.026114192575986,0.04170971013448161,0.03770997700521176,0.027319699382065837,0.0348205598293892,0.02060736071015479,0.17470852552049254,0.012119776787123643,0.02051086277619435,0.0873592199390316,0.017187006374655877,0.0619091561397068,0.09854772427442539,0.1610920614116554,0.1576827717245738,0.16382290356529508,0.15871104380401457,0.17168565812059458,0.16115622166051974,0.1533866249853742,0.16646958648690355,0.15677487111454463,0.16355010750505886,0.15790377352904747,0.17406093039851364,0.05931414470799836,0.06412379700367696,0.06052936987510529,0.05962319120393206,0.05785302882027279,0.02489404945508659,0.0579806345997399,0.047022181424736915,0.02858918483866313,0.05741175438037583,0.057816097243666924,0.023778284800426777,0.024319100762585314,0.12136879466811788,0.013975479117143598,0.016760203431296385,0.02011970786961093,0.0450071799416529,0.10877520396700092,0.08966500089725236,0.03863452099319004,0.03872322650732857,0.030557672204854853,0.040812986558090306,0.05177051856808435,0.09248240316943919,0.03880165708930865,0.04934373955015924,0.03242817768943167,0.04474743899301975,0.11668991948777947,0.0156475073776731,0.16120826829327803,0.045481366905723054,0.060323728677040646,0.029980867500632464,0.10869907175315041,0.08941534578605535,0.030800400259252094,0.023884389928631723,0.0227986509861929,0.017433595037710182,0.017098597449032985,0.026003559530264408
7,'Bassoon',1,0.04717260933259021,0.1323708587502637,0.011254873308923096,0.0,0.008376219513213145,0.024819527273695404,0.040508943045396865,0.029547430072865356,0.02599024791485384,0.02643982884996836,0.019703935549404777,0.17380510035974253,0.0018540746035275984,0.024506614313521052,0.0913549714763583,0.02100610539010664,0.0731640294486299,0.1096608190481451,0.1650878129489821,0.16167852326190046,0.16781865510262176,0.16270679534134125,0.17546738002230752,0.16515197319784644,0.1573823765227009,0.1701813909646713,0.16077062265187134,0.16754585904238553,0.16189952506637414,0.17805668193584034,0.06330989624532506,0.06811954854100366,0.064525121412432,0.06361894274125876,0.0618487803575995,0.028793025867927317,0.06197638613706661,0.05101793296206362,0.03258493637598983,0.06140750591770253,0.061811848780993627,0.03350554378916125,0.028314852299912013,0.13191720802251758,0.0179712306544703,0.020755954968623085,0.024115459406937628,0.04299280613324636,0.12003007727592402,0.10091987420617544,0.030471974060843638,0.04264251851988846,0.03455342374218156,0.0326504396257439,0.04360797163573795,0.0915789780086892,0.030639110156962236,0.04118119261781283,0.024265630757085255,0.043139396820161734,0.12156232682039707,0.014744082216923087,0.1648161402870793,0.04947711844304975,0.06431948021436736,0.03397661903795917,0.11976098387283718,0.10067021909497846,0.03479615179657879,0.027880141465958425,0.02384973050535476,0.02260838645393343,0.01619517228828297,0.0372584328391875
7,'Bassoon',2,0.03879638981937706,0.1383645800627593,0.01576504196554257,0.008376219513213145,0.0,0.030599389542412814,0.04628880531411428,0.022440904171750143,0.03177011018357125,0.019333302948853156,0.025483797818122184,0.17958496262845994,0.006584919654950401,0.016130394800307906,0.08297875196314515,0.02015814623962618,0.07767419810524938,0.1141709877047646,0.15671159343576896,0.15330230374868734,0.15944243558940863,0.15433057582812812,0.16709116050909437,0.1567757536846333,0.14900615700948774,0.16180517145145815,0.15239440313865818,0.15916963952917243,0.153523305553161,0.16968046242262722,0.054933676732111913,0.05974332902779051,0.056148901899218846,0.05524272322804561,0.05347256084438634,0.020416806354714174,0.05360016662385347,0.042641713448850475,0.024208716862776685,0.0530312864044894,0.05343562926778048,0.03801571244578072,0.019938632786698867,0.1366378675015795,0.014546512691398396,0.01645361821409513,0.015739239893724485,0.03461658662003322,0.1245402459325435,0.10543004286279493,0.023365448159728425,0.03426629900667533,0.026177204228968413,0.02554391372462868,0.03650144573462274,0.0973588402774066,0.02353258425584703,0.03407466671669762,0.01715910485597005,0.03476317730694859,0.12607249547701654,0.0205239444856405,0.16932630894369874,0.041100898929836614,0.055943260701154206,0.035450223433528126,0.12427115252945664,0.10518038775159792,0.03378354792362371,0.020236676086860264,0.015545263066057934,0.027118555110552906,0.02197503455700038,0.041768601495806974
10,'Cello',1,0.06929105037124951,0.12078574811819694,0.026114192575986,0.024819527273695404,0.030599389542412814,0.0,0.019530670036750953,0.02765861188715717,0.0013099561543911502,0.024551010664260183,0.005525917245208997,0.1568722493945008,0.025621656006631095,0.046625055352180346,0.1134734125150176,0.04312454642876593,0.07235176139930198,0.10884855099881718,0.18720625398764137,0.18379696430055978,0.18993709614128107,0.18482523638000056,0.19758582106096678,0.18727041423650573,0.1795008175613602,0.1922998320033306,0.18288906369053062,0.18966430008104485,0.18401796610503343,0.20017512297449966,0.08542833728398436,0.09023798957966296,0.08664356245109128,0.08573738377991806,0.08396722139625878,0.05091146690658662,0.0840948271757259,0.07313637400072291,0.054703377414649125,0.08352594695636184,0.08393028981965293,0.04989247737641278,0.05043329333857131,0.13142015978617247,0.040089671693129596,0.04287439600728238,0.04623390044559692,0.06511124717190565,0.1192178092265961,0.10010760615684754,0.03219942153361118,0.06476095955854777,0.05667186478084085,0.03563341517057467,0.05830840073065539,0.06985421244432789,0.02875029197125406,0.0607621332518106,0.03055505734118251,0.06525783785882104,0.12075005877106915,0.011058220555437181,0.16400387223775134,0.07159555948170905,0.08643792125302664,0.056095060076618464,0.11894871582350924,0.09985795104565054,0.056914592835238094,0.04999858250461773,0.04614465260847075,0.021796118404605505,0.009213215861671576,0.03644616478985958
10,'Cello',2,0.08488656792974512,0.10134897629465185,0.04170971013448161,0.040508943045396865,0.04628880531411428,0.019530670036750953,0.0,0.04709538371070227,0.020840626191142103,0.04398778248780528,0.02112143480370461,0.13734157935774988,0.04131107177833256,0.06222057291067595,0.1290689300735132,0.05872006398726154,0.05282109136255101,0.08931788096206623,0.20280177154613702,0.19939248185905542,0.20553261369977668,0.2004207539384962,0.21318133861946242,0.20286593179500137,0.1950963351198558,0.2078953495618262,0.19848458124902624,0.20525981763954046,0.19961348366352905,0.21577064053299524,0.10102385484247996,0.10583350713815858,0.10223908000958691,0.10133290133841366,0.09956273895475438,0.06650698446508223,0.09969034473422152,0.08873189155921853,0.07029889497314473,0.09912146451485744,0.09952580737814853,0.06548799493490838,0.06602881089706693,0.11198338796262737,0.05568518925162521,0.05846991356577799,0.06182941800409253,0.08070676473040127,0.09968713918984513,0.08057693612009657,0.048019927698680555,0.08035647711704338,0.07226738233933645,0.05122893272907028,0.07390391828915101,0.05107003496329232,0.048187063794799166,0.07635765081030622,0.04615057489967813,0.08085335541731664,0.10121938873431818,0.026149204378920307,0.1444732022010004,0.08719107704020466,0.10203343881152226,0.07169057763511406,0.09941804578675828,0.08032728100889956,0.0725101103937337,0.06559410006311334,0.06183406838017221,0.024367050592378505,0.02480873342016719,0.03364272220206796
10,'Cello',3,0.048137159748776255,0.14844436000535413,0.03770997700521176,0.029547430072865356,0.022440904171750143,0.02765861188715717,0.04709538371070227,0.0,0.02638344189768743,0.0031076012228969906,0.028011239575158702,0.18411590648546072,0.027693355469337756,0.035475261701933374,0.09231952189254435,0.04227973380117131,0.09959541849026184,0.13625770127963716,0.16605236336516815,0.16264307367808653,0.1687832055188078,0.16367134575752731,0.17666967472876405,0.1661165236140325,0.15834692693888697,0.17145360309507304,0.16173517306805738,0.16851040945857163,0.1628640754825602,0.17902123235202638,0.06427444666151111,0.06908409895718971,0.06548967182861805,0.06458349315744481,0.06281333077378554,0.03898200794033577,0.06294093655325265,0.05198248337824967,0.04457885175613777,0.06237205633388859,0.06277639919717967,0.05993693283079319,0.029279402716098062,0.15907877167332965,0.036467733076410866,0.0383748385991076,0.030140306500088962,0.04395735654943241,0.14646146631755594,0.12735126324780738,0.011045530911137936,0.04370724311549804,0.03551797415836761,0.014479524548101424,0.03715451010818214,0.09709786953528775,0.0053087367986393895,0.03960824262933737,0.009401166718709263,0.044103947236347786,0.147993715862029,0.03830187764639705,0.19124752932871125,0.05044166885923581,0.0652840306305534,0.05737144381854059,0.1464090487583622,0.1271016081366104,0.05570476830863618,0.042157896471872736,0.025405716782194804,0.049039775495565374,0.03292100412116342,0.06368982188081944
10,'Cello',4,0.07049655717732935,0.12206091810766671,0.027319699382065837,0.02599024791485384,0.03177011018357125,0.0013099561543911502,0.020840626191142103,0.02638344189768743,0.0,0.023275840674790434,0.006731424051288834,0.15818220554889198,0.026792376647789527,0.04783056215826018,0.11467891932109743,0.04433005323484577,0.07366171755369312,0.11015850715320834,0.18841176079372124,0.1850024711066396,0.19114260294736088,0.18603074318608037,0.19879132786704665,0.18847592104258556,0.18070632436744005,0.19350533880941043,0.18409457049661046,0.1908698068871247,0.18522347291111327,0.20138062978057947,0.0866338440900642,0.09144349638574278,0.08784906925717113,0.0869428905859979,0.08517272820233864,0.05211697371266646,0.08530033398180574,0.07434188080680275,0.05590888422072896,0.08473145376244168,0.08513579662573277,0.05109798418249262,0.051638800144651144,0.13269532977564222,0.04129517849920943,0.044079902813362215,0.04743940725167676,0.06631675397798549,0.12052776538098725,0.10141756231123868,0.03340492833969102,0.06596646636462761,0.05787737158692069,0.03683892197665451,0.059513907536735224,0.07116416859871905,0.027475121981784312,0.06196764005789044,0.031760564147262346,0.06646334466490088,0.1220600149254603,0.012368176709828331,0.1653138283921425,0.07280106628778889,0.08764342805910648,0.0573005668826983,0.1202586719779004,0.10116790720004169,0.05812009964131793,0.051204089310697566,0.04731537324962918,0.02310607455899666,0.010418722667751415,0.03775612094425073
10,'Cello',5,0.04928593651153255,0.14533675878245714,0.0348205598293892,0.02643982884996836,0.019333302948853156,0.024551010664260183,0.04398778248780528,0.0031076012228969906,0.023275840674790434,0.0,0.02514090777871392,0.18125020396429484,0.02458575424644076,0.03260955918076753,0.09346829865530064,0.0392136641034728,0.096729715969096,0.13322650556861124,0.16720114012792442,0.1637918504408428,0.16993198228156411,0.1648201225202836,0.17758070720124985,0.16726530037678877,0.15949570370164326,0.17236048115609817,0.16288394983081364,0.1696591862213279,0.16401285224531648,0.18017000911478268,0.06542322342426739,0.070232875719946,0.06663844859137434,0.0657322699202011,0.06396210753654184,0.035995815640027226,0.06408971331600895,0.05313126014100596,0.041713149234971936,0.06352083309664487,0.06392517595993596,0.05707123030962735,0.030428179478854355,0.15597117045043266,0.03360203055524502,0.035509136077941754,0.027274603978923118,0.045106133312188705,0.14359576379639014,0.12448556072664156,0.012194307673894227,0.04475584569883081,0.0366667509211239,0.015628301310857712,0.03830328687093843,0.09423216701412192,0.004401858737614249,0.040757019392093655,0.010549943481465552,0.04525272399910407,0.14512801334086317,0.03543617512523121,0.18838182680754537,0.05159044562199209,0.06643280739330969,0.05450574129737475,0.14332667039330327,0.12423590561544455,0.05283906578747033,0.039292193950706884,0.02631259484321995,0.04617407297439954,0.030055301599997575,0.060824119359653595
