% Distances between instruments for pitch 100 (E7)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC

@DATA
23,'ElectricPiano',4,0.0,0.03654427163142557,0.052922272531650244,0.07632045421008658,0.008079240506114572,0.034680971458516306,0.036736215508250576,0.005413323225193009,0.012139422229015847,0.046207016202632505,0.040445545491918644
23,'ElectricPiano',5,0.03654427163142557,0.0,0.0625342515018742,0.11285901121385762,0.028786169829023687,0.044848201973652434,0.04634247985082,0.041951880228964046,0.027513958068765786,0.05656458931175906,0.050057524462142594
25,'Flute',8,0.052922272531650244,0.0625342515018742,0.0,0.06251520106299979,0.0448681313059121,0.01824130107313394,0.016209210303298933,0.04753208730062264,0.04080757988288924,0.006715256329017737,0.012476727039731595
36,'Piano',6,0.07632045421008658,0.11285901121385762,0.06251520106299979,0.0,0.0840770233834714,0.06801847144023297,0.07111784409984605,0.07090935169732,0.08534886544360769,0.05654256774210597,0.06537348298277479
36,'Piano',7,0.008079240506114572,0.028786169829023687,0.0448681313059121,0.0840770233834714,0.0,0.02662683023277816,0.028658921002613167,0.013167671686151386,0.004060551423022867,0.03815287497689437,0.03239140426618051
36,'Piano',8,0.034680971458516306,0.044848201973652434,0.01824130107313394,0.06801847144023297,0.02662683023277816,0.0,0.003122237513725305,0.029290786227488694,0.022566278809755296,0.011716387338106636,0.0057645740334023475
36,'Piano',9,0.036736215508250576,0.04634247985082,0.016209210303298933,0.07111784409984605,0.028658921002613167,0.003122237513725305,0.0,0.03132289228305757,0.0245983695795903,0.014838624851831942,0.005999894828026459
36,'Piano',10,0.005413323225193009,0.041951880228964046,0.04753208730062264,0.07090935169732,0.013167671686151386,0.029290786227488694,0.03132289228305757,0.0,0.014439513746287698,0.0408168309716049,0.03505536026089104
36,'Piano',11,0.012139422229015847,0.027513958068765786,0.04080757988288924,0.08534886544360769,0.004060551423022867,0.022566278809755296,0.0245983695795903,0.014439513746287698,0.0,0.034092323553871505,0.028330852843157645
51,'Violin',8,0.046207016202632505,0.05656458931175906,0.006715256329017737,0.05654256774210597,0.03815287497689437,0.011716387338106636,0.014838624851831942,0.0408168309716049,0.034092323553871505,0.0,0.008838730023805485
51,'Violin',9,0.040445545491918644,0.050057524462142594,0.012476727039731595,0.06537348298277479,0.03239140426618051,0.0057645740334023475,0.005999894828026459,0.03505536026089104,0.028330852843157645,0.008838730023805485,0.0
