% Distances between instruments for pitch 35 (B1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 40 (ScaleChangerHarmonium), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 44 (Tanbur), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
6,'Bass',1,0.0,0.021945122894217278,0.02183825483102525,0.011841481291514138,0.03874845070090078,0.0898809674950216,0.05784199907176437,0.059078198841338636,0.0588926120262754,0.057313218274926914,0.05577050121033477,0.040551141919478395,0.05467334448494172,0.03699933666718502,0.09022155256872011,0.05524388812069659,0.05791700635920329,0.04347429188513413,0.026379168091262697,0.0221957971600262,0.03717433468940054,0.13124086091105444,0.1261622547216356,0.0197683597703556,0.037129862876254915,0.028022393041598,0.01909661998817875,0.05031787488206179,0.03698573657281114,0.019709584775436655,0.02510599101697061,0.25842318407465775,0.05421575806552938,0.05194307954985696,0.03962312287519192,0.03374032108063093,0.03378810965463263,0.011917019493746628,0.03788255181348051,0.012244149813529772,0.03322904203111609
6,'Bass',2,0.021945122894217278,0.0,0.02993867425373985,0.014859391639375066,0.05911060644038731,0.07187357097511717,0.07820415481125088,0.07944035458082516,0.07925476776576194,0.07767537401441345,0.0761326569498213,0.06091329765896492,0.07503550022442824,0.05736149240667155,0.07221415604881569,0.07560604386018312,0.0782791620986898,0.03968965391904426,0.04674132383074923,0.042557952899512724,0.05753649042888707,0.11323346439115,0.10815485820173117,0.04013051550984214,0.05749201861574144,0.04838454878108453,0.03945877572766528,0.07068003062154832,0.05528481303507601,0.04007174051492318,0.04546814675645714,0.24041578755475332,0.07457791380501591,0.03465787093559145,0.027070158427735014,0.05410247682011746,0.05415026539411916,0.03218506404854849,0.019875155293576086,0.012421111668700273,0.01522164551121166
7,'Bassoon',1,0.02183825483102525,0.02993867425373985,0.0,0.015079282614364788,0.03162117989708922,0.06890899321970735,0.050714728267952806,0.05195092803752707,0.051765341222463845,0.05018594747111536,0.04864323040652321,0.03342387111566683,0.047546073681130153,0.034610469849956665,0.06924957829340588,0.048116617316885026,0.05078973555539173,0.022502317609819897,0.03204562828433836,0.028394012481466887,0.056614105500681106,0.1102688866357402,0.11320453971472855,0.04017073553770792,0.03000259207244335,0.02631027470725007,0.037617319106025206,0.043253411698878697,0.058823991403836394,0.038495011927007126,0.03558015599976982,0.23745120979934353,0.04708848726171782,0.03097110527454272,0.018651148599877685,0.026613050276819362,0.026660838850821062,0.03375527432477188,0.034141517377872674,0.02023770117305235,0.01798348005834909
7,'Bassoon',2,0.011841481291514138,0.014859391639375066,0.015079282614364788,0.0,0.04504216356593904,0.07803948620350744,0.06413571193680262,0.06537191170637689,0.06518632489131367,0.06360693113996517,0.06206421407537302,0.046844854784516644,0.06096705734997998,0.04329304953222327,0.07838007127720598,0.061537600985734846,0.06421071922424154,0.03163281059362,0.03267288095630095,0.028489510025064457,0.04582531357136604,0.11939937961954028,0.11432077343012147,0.029381943608392854,0.043423575741293165,0.03431610590663626,0.026828527176710137,0.056611587747100046,0.04803519947452132,0.02770621999769206,0.03139970388200886,0.2465817027831436,0.06050947093056763,0.040101598258342815,0.027781641583677782,0.040034033945669185,0.040081822519670886,0.022966482395456813,0.026041070521966372,0.007046145205236779,0.02138756073960195
13,'Contrabassoon',1,0.03874845070090078,0.05911060644038731,0.03162117989708922,0.04504216356593904,0.0,0.07359120465716695,0.02830209955207995,0.02710464430048458,0.027272488661019032,0.02870967499290723,0.030237429800551992,0.022925003540696442,0.031521987332971645,0.027086079029339318,0.07496641794519097,0.030618982027697764,0.027896675290623327,0.02689325932574882,0.02452123746372101,0.020931911321492653,0.049089714680063755,0.1339817083240916,0.14169227050712935,0.03264634471709057,0.011996353268446934,0.018785883886632725,0.030092928285407865,0.03572902087826135,0.05129960058321905,0.03097062110638978,0.028055765179152467,0.2658073568569408,0.03204392284271161,0.0359557292416182,0.03218185659146378,0.016940041420867347,0.0054408422386119535,0.027415730342942535,0.06262924817027347,0.04872543196545315,0.046471330047556554
15,'DallapeAccordion',1,0.0898809674950216,0.07187357097511717,0.06890899321970735,0.07803948620350744,0.07359120465716695,0.0,0.1018933042092469,0.10069584895765153,0.10086369331818597,0.10230087965007417,0.10382863445771895,0.09651620819786338,0.10511319199013858,0.10067728368650626,0.08056583846124121,0.1042101866848647,0.10148787994779028,0.047041874075058464,0.09811244212088795,0.09446082631801649,0.1226809193372307,0.13958112884014182,0.1472916910231796,0.10623754937425751,0.08558755792561389,0.09237708854379967,0.1036841329425748,0.1093202255354283,0.12489080524038598,0.10456182576355673,0.10164696983631942,0.27140677737299107,0.10563512749987856,0.03793788794516463,0.05069052292017182,0.05708020723359795,0.06963667808999151,0.10070520778514118,0.0682286686863237,0.08390175097110146,0.0569430759886295
21,'ElectricBass',1,0.05784199907176437,0.07820415481125088,0.050714728267952806,0.06413571193680262,0.02830209955207995,0.1018933042092469,0.0,0.0012361997695742684,0.0010506129545110397,0.0005287807968374497,0.0020714978614296,0.01729085715228597,0.0032198877808916914,0.020842662404579344,0.10159588319985773,0.002598110951067777,0.0004054242614566236,0.05485143013418844,0.031549119603891056,0.035646201911738166,0.02078761512798381,0.15272852033339812,0.16043908251643588,0.038077524930041594,0.020766959723313137,0.0299748278149831,0.03877015458616266,0.0075241241897025775,0.022997501031139095,0.03813241429632771,0.03276821564842413,0.28455416886624735,0.0037418232906316633,0.06425782879369815,0.05120278128907507,0.044895404611390265,0.03239039095004215,0.04650927871380611,0.08155444394494235,0.06762212289944354,0.06556487841842014
21,'ElectricBass',2,0.059078198841338636,0.07944035458082516,0.05195092803752707,0.06537191170637689,0.02710464430048458,0.10069584895765153,0.0012361997695742684,0.0,0.00018558681506322878,0.001764980566411718,0.0033076976310038686,0.018527056921860238,0.004417343032487061,0.022078862174153613,0.10035968343028345,0.0038343107206420452,0.0011611924821353485,0.05365397488259307,0.032746574855486425,0.03688240168131244,0.02198507037957918,0.1539259755849935,0.16163653776803125,0.03930983907098303,0.021964414974908503,0.03117228306657847,0.03998157885315989,0.008760323959276846,0.024194956282734464,0.03936861406590198,0.03397220782436802,0.2857516241178427,0.004939278542227033,0.06306037354210278,0.05237019615309015,0.04365920484181599,0.031154191180467878,0.04774547848338038,0.08279064371451662,0.06885832266901781,0.06680107818799441
21,'ElectricBass',3,0.0588926120262754,0.07925476776576194,0.051765341222463845,0.06518632489131367,0.027272488661019032,0.10086369331818597,0.0010506129545110397,0.00018558681506322878,0.0,0.0015793937513484894,0.0031221108159406393,0.01834147010679701,0.004249498671952608,0.021893275359090386,0.10054527024534667,0.0036487239055788163,0.0009756056670721197,0.05382181924312752,0.03257873049495197,0.036696814866249206,0.02181722601904473,0.15375813122445905,0.1614686934074968,0.039124252255919804,0.021796570614374053,0.031004438706044014,0.03979976547722358,0.008574737144213617,0.02402711192220001,0.039183027250838755,0.03379782653948504,0.28558377975730825,0.00477143418169258,0.06322821790263723,0.052184609338026926,0.04384479165687922,0.03133977799553111,0.047559891668317165,0.0826050568994534,0.06867273585395457,0.06661549137293118
21,'ElectricBass',4,0.057313218274926914,0.07767537401441345,0.05018594747111536,0.06360693113996517,0.02870967499290723,0.10230087965007417,0.0005287807968374497,0.001764980566411718,0.0015793937513484894,0.0,0.00154271706459215,0.01676207635544852,0.0028123123400644115,0.02041601734588612,0.10212466399669518,0.002069330154230327,0.0008129997022839037,0.05537740331310919,0.031141544163063768,0.03511742111490072,0.020380039687156532,0.15232094489257084,0.16003150707560862,0.037669949489214316,0.020359384282485855,0.02956725237415582,0.03836257914533538,0.007019345885354122,0.022589925590311814,0.03761035447878161,0.032360640207596846,0.2841465934254201,0.003334247849804384,0.06466540423452544,0.05161035672990235,0.045424185408227714,0.0329191717468796,0.04598049791696867,0.0810256631481049,0.06709334210260609,0.06503609762158269
21,'ElectricBass',5,0.05577050121033477,0.0761326569498213,0.04864323040652321,0.06206421407537302,0.030237429800551992,0.10382863445771895,0.0020714978614296,0.0033076976310038686,0.0031221108159406393,0.00154271706459215,0.0,0.015219359290856369,0.0012845575324196485,0.018888262538241357,0.10366738106128731,0.0005266130896381772,0.002340754509928666,0.05692012037770134,0.02961378935541901,0.03357470405030857,0.01885228487951177,0.1507931900849261,0.15850375226796384,0.036142194681569546,0.018831629474841093,0.028039497566511057,0.03683482433769062,0.0054915910777093594,0.02106217078266705,0.03608259967113685,0.030832885399952086,0.2826188386177753,0.0018064930421596208,0.0661931590421702,0.05313811153754711,0.046966902472819864,0.03446188881147175,0.04443778085237652,0.07948294608351275,0.06555062503801394,0.06349338055699054
21,'ElectricBass',6,0.040551141919478395,0.06091329765896492,0.03342387111566683,0.046844854784516644,0.022925003540696442,0.09651620819786338,0.01729085715228597,0.018527056921860238,0.01834147010679701,0.01676207635544852,0.015219359290856369,0.0,0.014122202565463324,0.004161075488642877,0.0965603971641218,0.014692746201218193,0.01736586443972489,0.049813136480535834,0.014599872427252683,0.018355344759452198,0.02616471113936732,0.13757970550645612,0.1434898353397975,0.021128277753403226,0.011325083775700788,0.013025580638344728,0.02182090740952429,0.012804017337564913,0.0283745970425226,0.021068682742970524,0.015818968471785756,0.267604921689609,0.013664616146050983,0.05888073278231464,0.04596196747059361,0.03985991857565435,0.02735490491430624,0.029218421561520148,0.06442681300294165,0.05052299679812133,0.04827402126613417
21,'ElectricBass',7,0.05467334448494172,0.07503550022442824,0.047546073681130153,0.06096705734997998,0.031521987332971645,0.10511319199013858,0.0032198877808916914,0.004417343032487061,0.004249498671952608,0.0028123123400644115,0.0012845575324196485,0.014122202565463324,0.0,0.017674007817756698,0.10476453778668036,0.000903005305273877,0.003625312042348315,0.058071317915080134,0.02832923182299936,0.03247754732491552,0.01756772734709212,0.14950863255250643,0.15721919473554422,0.03490498471458612,0.019529224398259343,0.02675494003409141,0.03557672449676297,0.004355469602879932,0.019777613250247402,0.03496375970950507,0.02956735346797111,0.2813342810853557,0.0005219355097399723,0.06747771657458984,0.05442266906996676,0.04806405919821291,0.03555904553686479,0.043340624126983474,0.0783857893581197,0.0644534683126209,0.06239622383159749
23,'ElectricPiano',1,0.03699933666718502,0.05736149240667155,0.034610469849956665,0.04329304953222327,0.027086079029339318,0.10067728368650626,0.020842662404579344,0.022078862174153613,0.021893275359090386,0.02041601734588612,0.018888262538241357,0.004161075488642877,0.017674007817756698,0.0,0.10039893229498303,0.018506710311095586,0.021229017048170023,0.053651671611397056,0.010725526817177651,0.014803539507158825,0.02200363565072444,0.14141824063731734,0.1396154897297225,0.017253932143328193,0.01516361890656201,0.0091512350282697,0.01794656179944926,0.013396671460531999,0.024213521553879725,0.017289751891748365,0.011944622861710726,0.2686005638009206,0.017216421398344357,0.06304180827095753,0.04998676076633444,0.04369845370651557,0.03119344004516746,0.025666616309226776,0.060711781540363004,0.0467794604948642,0.0447222160138408
23,'ElectricPiano',2,0.09022155256872011,0.07221415604881569,0.06924957829340588,0.07838007127720598,0.07496641794519097,0.08056583846124121,0.10159588319985773,0.10035968343028345,0.10054527024534667,0.10212466399669518,0.10366738106128731,0.0965603971641218,0.10476453778668036,0.10039893229498303,0.0,0.10419399415092549,0.1015208759124188,0.05520153668020759,0.09772873248810938,0.09457243133082745,0.12226354758222154,0.0590152903789006,0.06672585256193837,0.10593624273623552,0.08523531338842101,0.09195610274022135,0.10336193643060858,0.10912000738956029,0.12451522497603261,0.10437888913088637,0.10131734123329987,0.1908949934625105,0.10522212420609271,0.051107364691541673,0.05059842969352819,0.06952924432762277,0.06953577574317664,0.1010457928588397,0.0523390007552396,0.08375420888639612,0.056992510537604034
23,'ElectricPiano',3,0.05524388812069659,0.07560604386018312,0.048116617316885026,0.061537600985734846,0.030618982027697764,0.1042101866848647,0.002598110951067777,0.0038343107206420452,0.0036487239055788163,0.002069330154230327,0.0005266130896381772,0.014692746201218193,0.000903005305273877,0.018506710311095586,0.10419399415092549,0.0,0.0027223067370744382,0.05744673346733952,0.029232237128273237,0.033048090960670386,0.018470732652365995,0.1504116378577803,0.1581222000408181,0.03576064245442378,0.018958680762504475,0.027657945339365286,0.036453272110544846,0.005110038850563588,0.02068061855552128,0.03570104744399108,0.03045133317280631,0.28223728639062956,0.0014249408150138494,0.06657471126931597,0.0535955644573973,0.04749351556245804,0.03498850190110992,0.043911167762738346,0.0790591777039622,0.06515536149914188,0.06296676746735237
