% Distances between instruments for pitch 89 (F6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 12 (Clarinet), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 32 (Oboe), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 39 (Saxophone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 46 (Trumpet), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 50 (Viola), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
3,'Bandura',1,0.0,0.027839116875542982,0.047920687681513495,0.012136402024263396,0.04827472684326602,0.012340511005570834,0.03280086334603991,0.00788968525735003,0.06639940225284313,0.05308893295610295,0.04569993598221794,0.052909807419203,0.11194963970345022,0.0405015769191342,0.03298396486162084,0.02239023537136355,0.025239657410663422,0.06554327991719482,0.018639558071594883,0.06676380054843882,0.07254618328725758,0.09259689458691635,0.16247566496977106,0.3522806882880734,0.023783245001740564,0.03309567216138936,0.028758386613622733,0.015644737396457536,0.02815023757059805,0.01931795567442565,0.023584961757452186,0.033700585074473065,0.013585038120656126,0.05492144603446474,0.03836994988847904,0.10257738719894166,0.02288836862772642,0.024566767202154272,0.020779530473456036,0.03775330866205362,0.12969785190444064,0.037247173108431515,0.06587998370380811,0.017469005819497015,0.02053979963760984,0.053496252363931684
12,'Clarinet',2,0.027839116875542982,0.0,0.050062980019351784,0.03997551889980638,0.04765096423167961,0.02617808389272337,0.03217710073445351,0.03572880213289301,0.042039795248604274,0.02844435191619295,0.02441682953238825,0.028316605683457886,0.11132587709186381,0.027591106809162397,0.01800828511513921,0.00544888150417943,0.008601286241704876,0.06456398386417518,0.0091995588039481,0.07086707303132936,0.0766494557701481,0.09670016706980689,0.13811605796553217,0.3279210812838346,0.027886517484631095,0.060934789036932335,0.02791112347959893,0.01701683007252974,0.05068635141069117,0.04715707254996863,0.013815886040348217,0.008407244021152208,0.014254078754886856,0.054297683422878336,0.03432650289437318,0.0782177801947028,0.018136658631419347,0.019474188400442655,0.020155767861869633,0.03649193804011051,0.12907408929285422,0.010545732090489021,0.04152037669956926,0.030186028747178784,0.03385203211261661,0.05931934717779719
15,'DallapeAccordion',1,0.047920687681513495,0.050062980019351784,0.0,0.04645329211819429,0.019915661726749512,0.06026119868708433,0.03766131596701503,0.05069348911424351,0.08906807084687762,0.0754726275144663,0.06823424473101122,0.07534488128173124,0.09077371683974605,0.07140852200778537,0.06358623554809596,0.04984981287133041,0.04775026652292613,0.017622592235681307,0.045131669997464346,0.11468448822995235,0.12046687096877107,0.14051758226842986,0.18514433356380552,0.3749493568821079,0.07170393268325406,0.02550705712100912,0.04076714856514973,0.033540757316168394,0.01988853471271083,0.039296178528219476,0.04580882490126099,0.05592444821828187,0.04466932629594994,0.03249921696303227,0.061038618482513525,0.12524605579297612,0.04555703722176091,0.04723543579618875,0.042307960005562195,0.034114172663170676,0.14170924122484266,0.05947103625224032,0.08854865229784259,0.030451681862016484,0.02773430473947357,0.00925636715844541
23,'ElectricPiano',1,0.012136402024263396,0.03997551889980638,0.04645329211819429,0.0,0.04672033540101317,0.013807906568890043,0.031300723006145344,0.004246716766913366,0.07845334380372788,0.06522533498036635,0.05783633800648134,0.0650462094434664,0.1104157311529181,0.05255100768054236,0.04512036688588423,0.03452663739562695,0.03737605943492683,0.06407588435387561,0.030775960095858274,0.06823119611175804,0.07401357885057679,0.09408047082691624,0.17452507111510082,0.3643300944334032,0.02525064056505977,0.020959270137125955,0.030458382517816043,0.022958688827276637,0.026595846128345202,0.00718155365016225,0.03572136378171558,0.04583698709873646,0.025721440144919522,0.053367054592211895,0.050419356033808795,0.11462679334427141,0.034956778975810614,0.036616173347484036,0.03169482401574277,0.03628591309873441,0.13108997877613793,0.049383575132694923,0.07798257149934285,0.016001610256177808,0.019072404074290634,0.05200971999964366
23,'ElectricPiano',2,0.04827472684326602,0.04765096423167961,0.019915661726749512,0.04672033540101317,0.0,0.06051777040809617,0.017821869741179715,0.05096705216792654,0.06917890892423902,0.06504843577943052,0.06875359616684078,0.06493688919241415,0.07090050240327321,0.07167558990668266,0.06438508016007417,0.05064865748330862,0.03904967798997474,0.03443622636518092,0.04593051460944255,0.1149295671142153,0.12071307109544059,0.14080080622792943,0.165228671837056,0.3550336951553585,0.07195182288981646,0.030242634275229954,0.021183947638327188,0.032629989446808484,0.02013361359697378,0.039541257412482426,0.03383507819133139,0.043959848046510076,0.045468170907928145,0.012588555199367574,0.04114398802302583,0.10535004594273852,0.029514305600260263,0.02818853594649602,0.027495196369809977,0.014752276664136414,0.12179400440011774,0.04097928662122397,0.06870813661985398,0.031145292390953993,0.028533149351451775,0.02870808663400042
23,'ElectricPiano',4,0.012340511005570834,0.02617808389272337,0.06026119868708433,0.013807906568890043,0.06051777040809617,0.0,0.045108629575035385,0.009567709572840822,0.06465590879664486,0.05142789997328334,0.044038902999398326,0.05124877443638339,0.12422363772180815,0.03875357267345935,0.031322931878801225,0.02072920238854394,0.023578624427843812,0.07788379092276564,0.016978525088775266,0.05442328954286799,0.060205672281686745,0.08028303581983325,0.16071716454621077,0.3505221878645132,0.011442733996169728,0.03475670514420897,0.041098897619193574,0.0279354464829077,0.04039328113542821,0.02097898865724526,0.028371590382826006,0.03203955209165345,0.018048904073026853,0.0671644895992949,0.047202847501302665,0.10082704581514436,0.03103294057239739,0.032340994576859225,0.03303917205897853,0.05009381966762446,0.1419408954692708,0.035586140125611905,0.06418513649225983,0.029809516825067845,0.03288031064318068,0.0658176265685337
23,'ElectricPiano',5,0.03280086334603991,0.03217710073445351,0.03766131596701503,0.031300723006145344,0.017821869741179715,0.045108629575035385,0.0,0.03554092000219456,0.05140675487986259,0.04957457228220443,0.05327973266961467,0.04946302569518805,0.0791487763574103,0.05625595289573642,0.04891121666284806,0.03517479398608251,0.023575814492748634,0.052181880605446436,0.030456651112216446,0.09953191911790338,0.10531430185672212,0.1253650131563809,0.1474830175967905,0.3372880409150929,0.056551363571205104,0.04805557475779453,0.004265977254854577,0.01717318309212768,0.03780713713155337,0.03427785827083082,0.01836121469410529,0.028485984549283968,0.029994307410702036,0.022120582688424827,0.023377302515498504,0.08758473982596111,0.014075689002637995,0.01279088795018412,0.012069457516056856,0.004985190092589073,0.10404792525782763,0.025505423123997867,0.05088733633082757,0.017679130611801333,0.021803784755849764,0.04645374087426594
23,'ElectricPiano',6,0.00788968525735003,0.03572880213289301,0.05069348911424351,0.004246716766913366,0.05096705216792654,0.009567709572840822,0.03554092000219456,0.0,0.07420861140212368,0.06097861821345298,0.053589621239567974,0.060799492676553026,0.11465592814896731,0.048310786068414734,0.040873650118970865,0.03027992062871358,0.033129342668013456,0.06831608134992483,0.02652924332894491,0.06399099911570882,0.06977338185452757,0.08983375406000288,0.17028487411905158,0.36008989743735403,0.02101044356901055,0.025205986904039326,0.03153118804635275,0.018711972060363274,0.03084256289525857,0.011428270417075614,0.031474647014802216,0.04159027033182309,0.021474723378006155,0.057613771359125265,0.04617915903775958,0.11038659634822219,0.030710062208897246,0.03237597635143482,0.027448500560808258,0.04052611009478363,0.13239017722910115,0.04513685836578155,0.07373585473242948,0.020241807252227028,0.02331260107033985,0.05624991699569288
25,'Flute',1,0.06639940225284313,0.042039795248604274,0.08906807084687762,0.07845334380372788,0.06917890892423902,0.06465590879664486,0.05140675487986259,0.07420861140212368,0.0,0.013595443332411325,0.020864778544702228,0.013723189565146387,0.12218666722409666,0.02590233612318552,0.03562077807578177,0.04678568946360675,0.04131780432395148,0.10358863548530901,0.048583147474570924,0.056460260040579476,0.06224264277939823,0.0823049993501827,0.09607626271692792,0.2858812860352303,0.05322185631492459,0.09941261394085384,0.04830092228172789,0.05552731353070922,0.08916417631461267,0.08563489745389012,0.04440587122071149,0.03363255122745207,0.05571620126430515,0.06514252606894545,0.0451713455404403,0.08457808769393804,0.04351103362511671,0.04187089497005884,0.04676011084131542,0.05514670074383796,0.13991893193892135,0.03149406315811525,0.042084040006702995,0.06908588549166393,0.07321053963571236,0.09786049575412853
25,'Flute',2,0.05308893295610295,0.02844435191619295,0.0754726275144663,0.06522533498036635,0.06504843577943052,0.05142789997328334,0.04957457228220443,0.06097861821345298,0.013595443332411325,0.0,0.00738899697388501,0.00017912553689995343,0.12872334863961474,0.01267432729982399,0.022025334743370446,0.03319024613119542,0.027849275545439523,0.0899931921528977,0.0349877041421596,0.05027506564794546,0.05605744838676421,0.076108159686423,0.10967170604933923,0.29947672936764164,0.03999384749156306,0.0861846051174923,0.04530859502734985,0.042266646153089706,0.07593616749125114,0.07240688863052859,0.03251981427774855,0.02173734774633131,0.04212075793189383,0.07169515497062924,0.05172397444212409,0.09113071659562184,0.035534130179170266,0.03687165994819357,0.03755323940962055,0.05424204356254699,0.14647156084060517,0.026126009136239057,0.04858802266373683,0.055490442159252605,0.05961509630330103,0.08456916325835717
25,'Flute',3,0.04569993598221794,0.02441682953238825,0.06823424473101122,0.05783633800648134,0.06875359616684078,0.044038902999398326,0.05327973266961467,0.053589621239567974,0.020864778544702228,0.00738899697388501,0.0,0.007209871436985056,0.13242850902702497,0.005285330325938979,0.014755999531079539,0.025920910918904517,0.029703918176866045,0.08585683696669251,0.02771836892986869,0.04645024349894111,0.052232626237759865,0.07228333753741864,0.11694104126163014,0.30674606457993253,0.03260485051767805,0.0787956081436073,0.04907194366312046,0.03612360672003229,0.06854717051736613,0.06501789165664358,0.036344636426752897,0.025562169895335662,0.03485142271960292,0.0754003153580395,0.05542913482953434,0.0948358769830321,0.039239290566580515,0.040576820335603815,0.0412583997970308,0.05806686571155135,0.1501767212280154,0.02995083128524341,0.05229318305114707,0.048221106946961696,0.052345761091010135,0.07718016628447215
