% Distances between instruments for pitch 91 (G6)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 3 (Bandura), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 15 (DallapeAccordion), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 26 (Fujara), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 28 (JinghuOperaViolin), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 37 (Pinkillo), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 38 (PivanaFlute), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 10' NUMERIC

@DATA
3,'Bandura',1,0.0,0.04440362929220171,0.023976082057625636,0.04552530921563685,0.029270811664894255,0.04323463825432239,0.03803770940935607,0.029843713127575375,0.014092572037151056,0.03861436302347695,0.02452568973615159,0.04511388851369887,0.01433661883278499,0.021730024577903045,0.03736914563077925,0.042025427759727015,0.00422761589202388,0.01804745703544092,0.012056981749768029,0.014026881379141912,0.029661283604321066
15,'DallapeAccordion',1,0.04440362929220171,0.0,0.057552392147632435,0.019125213249214634,0.07364540554200395,0.04285169393632151,0.08244133870155777,0.07424734241977708,0.05235895992116985,0.01240493693479504,0.0689002836132613,0.036426814876604964,0.030139729942631307,0.06610461845501274,0.04415749007109257,0.03952429983137165,0.048205073807467975,0.02717209627914127,0.048143842467907205,0.039819987640921595,0.01869379073569141
23,'ElectricPiano',1,0.023976082057625636,0.057552392147632435,0.0,0.05859826193949269,0.01609882935563963,0.05631159770277622,0.05399321825364333,0.042066626402537964,0.03806865409477669,0.04535648497359642,0.04839692624711019,0.02113780645607324,0.02741266220500112,0.019134236889390865,0.013394902076539858,0.018049345702101382,0.028203697949649515,0.03122525530596365,0.012347589955304899,0.018254362309302823,0.03887721167110317
23,'ElectricPiano',2,0.04552530921563685,0.019125213249214634,0.05859826193949269,0.0,0.07469709129513231,0.02373255481551667,0.08356301862499292,0.07536902234321223,0.053480639844604994,0.029827755657660843,0.06994408600130973,0.037470617264653415,0.031188690382851863,0.06714842084306118,0.04520519836633907,0.040568102219420095,0.04932675373090312,0.028293776202576407,0.049265522391342347,0.040941667564356736,0.02086425108257509
23,'ElectricPiano',4,0.029270811664894255,0.07364540554200395,0.01609882935563963,0.07469709129513231,0.0,0.07240642033381785,0.0378943888980037,0.025967797046898323,0.02196982473913706,0.061449498367967946,0.03230391285273867,0.037236635811712875,0.043508400912280455,0.007569648021482931,0.029491892928793242,0.034148175057741016,0.02663204046288734,0.047318268700335175,0.02595908813663605,0.03434737570367435,0.05497022506547469
23,'ElectricPiano',5,0.04323463825432239,0.04285169393632151,0.05631159770277622,0.02373255481551667,0.07240642033381785,0.0,0.08127234766367845,0.07307835138189776,0.05118996888329053,0.05355423634476771,0.06765948916840508,0.05995292301292073,0.02889893549777509,0.06486382401015654,0.05220818013000111,0.056864462258948874,0.04703608276958865,0.02600310524126195,0.046974851430027886,0.038650996603042276,0.04459073176968197
25,'Flute',7,0.03803770940935607,0.08244133870155777,0.05399321825364333,0.08356301862499292,0.0378943888980037,0.08127234766367845,0.0,0.015401630937102118,0.030082378780387924,0.07003640176676273,0.013638927138983686,0.07513102470971657,0.052374328242141055,0.03488202633747608,0.06738628182679694,0.07204256395574471,0.0342362648940898,0.055269242422416515,0.04164562829833843,0.04355109518765963,0.06374754796586636
25,'Flute',8,0.029843713127575375,0.07424734241977708,0.042066626402537964,0.07536902234321223,0.025967797046898323,0.07307835138189776,0.015401630937102118,0.0,0.021888382498607233,0.061842405484982044,0.01550489766224824,0.0632044328586112,0.044180331960360364,0.022955434486370708,0.05545968997569156,0.060115972104639336,0.02604226861230911,0.04707524614063582,0.029719036447233057,0.03442735477885548,0.05555355168408568
26,'Fujara',1,0.014092572037151056,0.05235895992116985,0.03806865409477669,0.053480639844604994,0.02196982473913706,0.05118996888329053,0.030082378780387924,0.021888382498607233,0.0,0.05256660602461024,0.016710688143201223,0.05920646055084993,0.023150183323375317,0.01895746217860944,0.051461717667930305,0.05611799979687807,0.010887300422368755,0.025862458628391292,0.02600922475090131,0.027979124380275194,0.04375385564147213
28,'JinghuOperaViolin',1,0.03861436302347695,0.01240493693479504,0.04535648497359642,0.029827755657660843,0.061449498367967946,0.05355423634476771,0.07003640176676273,0.061842405484982044,0.05256660602461024,0.0,0.0631400527596284,0.02423090770256896,0.029658506635559283,0.05390871128097674,0.03196158289705656,0.02732839265733564,0.042661984569833805,0.03250169351538187,0.03573890553311217,0.02741505070612656,0.008963504575085749
