% Distances between instruments for pitch 23 (B0)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
13,'Contrabassoon',1,0.0,0.051414812645985956,0.054347268600402204,0.05173196666651575,0.051238047559891316,0.04989767473569181,0.013001876979981342,0.05022387948752314,0.040015556779290785,0.04569497280527326,0.03988933765605213,0.03897651226244004,0.03380103846520424,0.0396733994452907,0.01804315388930039,0.018953138885546797,0.007791036288687375,0.014065378235400744
21,'ElectricBass',1,0.051414812645985956,0.0,0.002932455954416251,0.0003171540205298014,0.00017676508609463547,0.0015171379102941493,0.04080161379277986,0.001190933158462816,0.01855686316316411,0.024236279189146583,0.04472840783081475,0.047322275021623374,0.022924355431088117,0.011987546001211725,0.0552177886834729,0.06767201272068231,0.057802623431490154,0.050585499128970986
21,'ElectricBass',2,0.054347268600402204,0.002932455954416251,0.0,0.002615301933886449,0.0031092210405108864,0.0044495938647104,0.04373406974719612,0.004123389112879066,0.021466275340927616,0.027076394264314466,0.04766086378523101,0.05025473097603963,0.025764470506256004,0.01482766107637961,0.05815024463788915,0.07060446867509856,0.060733083184467164,0.05351795508338724
21,'ElectricBass',3,0.05173196666651575,0.0003171540205298014,0.002615301933886449,0.0,0.0004939191066244368,0.001834291930823951,0.04111876781330966,0.0015080871789926174,0.0188533248240401,0.024532740850022577,0.045045561851344555,0.04763942904215318,0.023220817091964108,0.01228400766208772,0.0555349427040027,0.06798916674121212,0.05811778125058071,0.050902653149500786
21,'ElectricBass',4,0.051238047559891316,0.00017676508609463547,0.0031092210405108864,0.0004939191066244368,0.0,0.0016066681982686449,0.04062484870668523,0.0010141680723681804,0.01870052369715467,0.024379939723137147,0.04455164274472012,0.04729110880993376,0.02306801596507868,0.012131206535202289,0.05504102359737826,0.06771073567867951,0.05794628396548072,0.050530741918991956
21,'ElectricBass',5,0.04989767473569181,0.0015171379102941493,0.0044495938647104,0.001834291930823951,0.0016066681982686449,0.0,0.039284475882485716,0.0006247307346248057,0.017093855498886028,0.022773271524868504,0.0432112699205206,0.045805137111329226,0.021461347766810034,0.010524538336933642,0.05370065077317874,0.06615487481038816,0.05633961576721208,0.04906836121867684
21,'ElectricBass',6,0.013001876979981342,0.04080161379277986,0.04373406974719612,0.04111876781330966,0.04062484870668523,0.039284475882485716,0.0,0.039610680634317046,0.04474470429314826,0.05042412031913074,0.04461848516990961,0.04370565977629751,0.038530185979061715,0.03817538713119587,0.022772301403157863,0.030557364981867497,0.020792913268668715,0.013377371222179949
21,'ElectricBass',7,0.05022387948752314,0.001190933158462816,0.004123389112879066,0.0015080871789926174,0.0010141680723681804,0.0006247307346248057,0.039610680634317046,0.0,0.017718586233510834,0.023398002259493306,0.04353747467235194,0.046309171346289923,0.022086078501434837,0.011149269071558448,0.054026855525010076,0.06672879821503568,0.056964346501836884,0.04954880445534812
36,'Piano',6,0.040015556779290785,0.01855686316316411,0.021466275340927616,0.0188533248240401,0.01870052369715467,0.017093855498886028,0.04474470429314826,0.017718586233510834,0.0,0.005679416025982475,0.02619458844430338,0.02878845563511201,0.0064091244866382535,0.006792406185816117,0.03668396929696153,0.05767040773764778,0.039266807843539545,0.052876127255477946
36,'Piano',7,0.04569497280527326,0.024236279189146583,0.027076394264314466,0.024532740850022577,0.024379939723137147,0.022773271524868504,0.05042412031913074,0.023398002259493306,0.005679416025982475,0.0,0.02070106305923654,0.02329493025004517,0.011902649871705093,0.012285931570882957,0.031190443911894686,0.06334982376363026,0.04027839456838694,0.05855554328146043
