% Distances between instruments for pitch 25 (C#1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
6,'Bass',1,0.0,0.03230217800148283,0.04363402819964216,0.15583870088414686,0.09280826017261097,0.09098934288144007,0.09030312804077549,0.08892480580128022,0.035535475347142485,0.08915401160565262,0.07955345715397333,0.05195150971009702,0.09066705401673882,0.06637539222044735,0.054760438878979585,0.05717809635996716,0.048095101771251945,0.07277263720212297,0.05602797690616416,0.07105040944905693,0.06934392761634654,0.053985048851153024,0.07160983536689909,0.06126993754362514,0.05169919375268769,0.05113622718038561,0.058142762272771736,0.08192618591099433,0.06870761045182013,0.04386206925422322,0.031985628990740166,0.03295858791170139,0.06488795512852116
6,'Bass',2,0.03230217800148283,0.0,0.061700083672993206,0.12353652288266405,0.11087431564596201,0.10905539835479111,0.10836918351412651,0.10699086127463127,0.054119416060150055,0.10722006707900365,0.09761951262732436,0.07001756518344805,0.10873310949008985,0.0844414476937984,0.07282649435233063,0.07541049582493681,0.06616115724460297,0.040470459200640144,0.07409403237951519,0.08911646492240795,0.08740998308969757,0.07205110432450405,0.08967589084025011,0.07933599301697616,0.08348348651451398,0.08292051994221192,0.07620881774612277,0.09999224138434537,0.08677366592517116,0.06293764237068185,0.0500516844640912,0.05102464338505242,0.0829540106018722
13,'Contrabassoon',1,0.04363402819964216,0.061700083672993206,0.0,0.17227908139836304,0.04917423197296881,0.04735531468179791,0.04666909984113332,0.04529077760163807,0.02600924771000807,0.045519983406010454,0.035919428954331166,0.028337258332952753,0.047033025817096646,0.03053697952617485,0.011126410679337423,0.0261600187871964,0.027264956116458707,0.0892130177163391,0.012393948706521989,0.027416381249414756,0.02570989941670437,0.012082399472894564,0.032592436490557895,0.02706668348416567,0.03423300947677357,0.033670042904471495,0.024874151872799344,0.03829215771135217,0.025073582252177956,0.01368716533294144,0.02025700797995006,0.011991543455369852,0.021253926928878994
21,'ElectricBass',1,0.15583870088414686,0.12353652288266405,0.17227908139836304,0.0,0.18727225913666878,0.1854533418454979,0.1848604722166711,0.18609924499383093,0.14778767215979918,0.18587003918945855,0.19547059364113784,0.14641550867415484,0.18520072708910498,0.16083939118450516,0.1769549839071141,0.19706307287040684,0.1451767249396329,0.0832299365879702,0.18210251252483492,0.17432452413279986,0.1728326433444364,0.1830581153236218,0.20349549057376834,0.19796973756737613,0.20559878518548239,0.2047121190246406,0.19577720595600978,0.1931991890211958,0.16317160941587794,0.1853625377822541,0.15202207341841298,0.1663517511152843,0.17354362369996426
21,'ElectricBass',2,0.09280826017261097,0.11087431564596201,0.04917423197296881,0.18727225913666878,0.0,0.0018241715650606108,0.0025051321318354945,0.0038834543713307467,0.057764819535214736,0.0036542485669583645,0.013254803018637648,0.0409894542629344,0.0021412061558721642,0.04047368875031201,0.038138916345911496,0.03568177277338389,0.044862191971302555,0.10781810358864062,0.03687687479106178,0.021865679040902253,0.023615161482755137,0.038823211321457954,0.021266133863483083,0.03160139898566236,0.04545892536907218,0.049479823072727025,0.03471187040974563,0.010969832310910546,0.0242433629505432,0.048946190918387755,0.06082263118187081,0.05984967226090959,0.027920305044089818
21,'ElectricBass',3,0.09098934288144007,0.10905539835479111,0.04735531468179791,0.1854533418454979,0.0018241715650606108,0.0,0.0006862148406645958,0.0020645370801598475,0.05594590224404383,0.0018353312757874657,0.011435885727466748,0.04009288484826081,0.0003222888647012655,0.04229260604148291,0.03631474478085089,0.03385760120832328,0.043038020406241946,0.10599393202358,0.035052703226001174,0.020041507475841644,0.021790989917694528,0.03700429403028705,0.019441962298422474,0.029777227420601748,0.043640008077901284,0.04766090578155612,0.032887698844685016,0.009145660745849936,0.025747994738428325,0.04712727362721686,0.059003713890699916,0.05803075496973869,0.026101387752918922
21,'ElectricBass',4,0.09030312804077549,0.10836918351412651,0.04666909984113332,0.1848604722166711,0.0025051321318354945,0.0006862148406645958,0.0,0.0014383842376044064,0.05525968740337924,0.0011491164351228702,0.010749670886802154,0.04077909968892541,0.00036392597596333014,0.0429788208821475,0.03574069551369886,0.03328355194117126,0.04246397113908992,0.105419882756428,0.034478653958849144,0.01946745820868962,0.02121694065054251,0.036338762633943464,0.01886791303127045,0.029203178153449725,0.04295379323723669,0.04697469094089152,0.032313649577533,0.008571611478697913,0.026434209579092923,0.04644105878655227,0.05834909995020195,0.05737796119318838,0.025415172912254324
21,'ElectricBass',5,0.08892480580128022,0.10699086127463127,0.04529077760163807,0.18609924499383093,0.0038834543713307467,0.0020645370801598475,0.0014383842376044064,0.0,0.05388136516388398,0.00046649698037671904,0.0093713486473069,0.04215742192842065,0.0017786391100383162,0.04435714312164276,0.034302311276094455,0.03184516770356686,0.04108511971192661,0.10398149851882359,0.03304026972124474,0.018029073971085215,0.0197785564129381,0.03493975695012721,0.017429528793666046,0.027764793915845316,0.04157547099774144,0.04559636870139627,0.030875265339928588,0.007133227241093505,0.027812531818588174,0.04506273654705701,0.05693917681054007,0.05596621788957884,0.02403685067275907
21,'ElectricBass',6,0.035535475347142485,0.054119416060150055,0.02600924771000807,0.14778767215979918,0.057764819535214736,0.05594590224404383,0.05525968740337924,0.05388136516388398,0.0,0.05411057096825637,0.05040146948588765,0.016908069072700777,0.055623613379342574,0.03133195158305111,0.03206117753391174,0.05216926649720447,0.013051661133855698,0.06472160847777526,0.03720870615163255,0.036006968811660676,0.034300486978950294,0.03809164718290264,0.05860168420056597,0.05307593119417373,0.06024225718678163,0.059679290614479574,0.050883399582807416,0.048305382647993424,0.03366416981442388,0.03969641304294951,0.007066522733539432,0.021398020594358424,0.029844514491124918
21,'ElectricBass',7,0.08915401160565262,0.10722006707900365,0.045519983406010454,0.18587003918945855,0.0036542485669583645,0.0018353312757874657,0.0011491164351228702,0.00046649698037671904,0.05411057096825637,0.0,0.009695811059364444,0.04192821612404828,0.0015130424110862,0.044127937317270376,0.034768808256471176,0.03231166468394357,0.041492083881862235,0.10444799549920031,0.03350676670162146,0.018495570951461933,0.02024505339331482,0.03536687537671578,0.017896025774042763,0.028231290896222037,0.041804676802113826,0.04595712685854295,0.03134176232030531,0.007599724221470224,0.02758332601421579,0.045291942351429394,0.057377212692974265,0.05640607393596069,0.024330907827317994
