% Distances between instruments for pitch 34 (A#1)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 6 (Bass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 7 (Bassoon), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 13 (Contrabassoon), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 21 (ElectricBass), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 27 (Horn), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 29 (Kantele), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 34 (Organ), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 40 (ScaleChangerHarmonium), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 44 (Tanbur), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 3' NUMERIC
@ATTRIBUTE 'Distance to instrument 45 (Trombone), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 1' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 2' NUMERIC
@ATTRIBUTE 'Distance to instrument 47 (Tuba), style 3' NUMERIC

@DATA
6,'Bass',1,0.0,0.10684335363107361,0.013283665483241733,0.005314888408087091,0.026786405260805165,0.059140192134149956,0.06036295209053929,0.060169465109058885,0.057996808105852816,0.057402449868249474,0.03725738931115441,0.05618814618524023,0.048506640568922975,0.032394267220725075,0.05611765487556888,0.058089429344007903,0.038439486791061926,0.027222575028679002,0.018158427160145946,0.03719661985333357,0.12075471352393646,0.11548054082250059,0.01884498048570659,0.04202346310754993,0.029799346335308535,0.019660050628071916,0.04448166081048268,0.04329905279706218,0.015792084782209986,0.02764962937381647,0.040377461540861394,0.05504761887609963,0.04182288372872297,0.04214430194464972,0.05714720050195038,0.028933341638087366,0.023505201077362963,0.020239923347806128,0.030745655764483317,0.04343893197964103
6,'Bass',2,0.10684335363107361,0.0,0.11439022746990139,0.10152846522298653,0.126084326466815,0.1582476062452191,0.15947036620160845,0.15927687922012804,0.15710422221692197,0.15650986397931863,0.137010730003355,0.1552955602963094,0.14761405467999214,0.11991794015621499,0.1553592505606605,0.15719684345507703,0.1219387271306865,0.12632998913974816,0.11742955091780732,0.14018445031313856,0.014476388802552538,0.018983539374510274,0.12071281742444245,0.14113087721861908,0.1289067604463777,0.11877193866913316,0.14358907492155182,0.14240646690813133,0.09564894384915636,0.0892023199891197,0.13948487565193055,0.1541550329871688,0.12054472287526175,0.10881990667783543,0.09958205283840227,0.1280407557491565,0.12411583607574377,0.09362692965229945,0.07985652857575092,0.09204848833661518
7,'Bassoon',1,0.013283665483241733,0.11439022746990139,0.0,0.015796603861861463,0.020608277875216966,0.04820722892796602,0.04942998888435535,0.04923650190287495,0.04706384489966888,0.04646948666206554,0.02632442610497047,0.045255182979056285,0.03757367736273904,0.026912576472615402,0.04518469166938493,0.04715646613782396,0.03295779604295226,0.016289611822495064,0.011225508277244146,0.043172637582822915,0.1152730227758268,0.10999885007439092,0.023695782468669564,0.031090499901366,0.018866383129124593,0.02176012593881751,0.03580074668161413,0.03706181582075084,0.01874128362074503,0.025372119955724803,0.029444498334677455,0.04411465566991569,0.0363411929806133,0.03666261119654006,0.05166550975384071,0.01806766307967948,0.01540520734129877,0.020840812136882988,0.044029321247725045,0.03795724123153136
7,'Bassoon',2,0.005314888408087091,0.10152846522298653,0.015796603861861463,0.0,0.02849684473972526,0.060850631613070055,0.06207339156945938,0.061879904587978984,0.059707247584772916,0.05911288934716957,0.0389678287900745,0.05789858566416032,0.05021708004784307,0.027079378812637982,0.05782809435448896,0.059799868822928,0.03312459838297483,0.028933014507599098,0.019868866639066042,0.03985263406604291,0.11543982511584938,0.11016565241441349,0.020555419964626686,0.04373390258647003,0.031509785814228634,0.021370490106992015,0.04619210028940277,0.04500949227598228,0.010477196374122895,0.022334740965729377,0.0420879010197815,0.05675805835501973,0.03650799532063588,0.03682941353656264,0.0518323120938633,0.030643781117007465,0.025522212467703826,0.014925034939719034,0.028232717385863585,0.03812404357155393
13,'Contrabassoon',1,0.026786405260805165,0.126084326466815,0.020608277875216966,0.02849684473972526,0.0,0.03764124162071807,0.036392233473385965,0.036569555844272836,0.03861510116906569,0.03923509368722727,0.027924878608552528,0.04051867510752787,0.04814738061856618,0.006474689568490219,0.04027664885908775,0.038521990446023675,0.012349518167735288,0.03145043227704044,0.027674443094753493,0.05962157240033226,0.11193547019588745,0.10743207444754783,0.04014471728617892,0.02059416977859393,0.03266415112573833,0.03820906075632686,0.05224968149912348,0.05351075063826019,0.03043538261765864,0.03706621895263841,0.0352701579739585,0.041785739537513,0.016342125012779613,0.017264419788979562,0.031057231878623748,0.0030420109940679486,0.03316685595117908,0.03253491113379659,0.055723420244638645,0.034037733090496895
21,'ElectricBass',1,0.059140192134149956,0.1582476062452191,0.04820722892796602,0.060850631613070055,0.03764124162071807,0.0,0.0012490081473321092,0.0010716857764452362,0.0011433840282971414,0.0017377422659004772,0.02188280282299555,0.0029520459489097285,0.010633551565226981,0.04350208467698688,0.003022537258581088,0.0010507627901420518,0.04955559638448074,0.031917617105470954,0.04098176497400401,0.021980330779614195,0.14384580152810264,0.139342405779763,0.04029521164844337,0.01711672902660002,0.029413633238146202,0.039480141506078044,0.014658531323667285,0.015869509017542114,0.06270898102120774,0.0690452862560994,0.018762730593288555,0.004144497916794926,0.05398336663349768,0.05351965661585209,0.06830272253298163,0.03465717128405096,0.035634991056786997,0.06462067659291966,0.08784703329529353,0.06619911790860393
21,'ElectricBass',2,0.06036295209053929,0.15947036620160845,0.04942998888435535,0.06207339156945938,0.036392233473385965,0.0012490081473321092,0.0,0.00019348698148040103,0.002366143984686475,0.0029605022222898105,0.023105562779384883,0.004174805905299062,0.011856311521616314,0.042279324720597554,0.004245297214970421,0.002273522746531385,0.04832454429093439,0.03315306399603068,0.042204524930393346,0.023229338926946303,0.14509480967543473,0.14059141392709512,0.0415179716048327,0.0183613791948101,0.030662641385478306,0.04070290146246738,0.01588129128005662,0.017118517164874225,0.06393174097759706,0.07026804621248874,0.02000611456300276,0.005393506064127036,0.05273435848616558,0.05227064846851998,0.06705371438564953,0.033434411327661624,0.036857751013176336,0.065843436549309,0.08906979325168285,0.06742187786499326
21,'ElectricBass',3,0.060169465109058885,0.15927687922012804,0.04923650190287495,0.061879904587978984,0.036569555844272836,0.0010716857764452362,0.00019348698148040103,0.0,0.002172657003206074,0.0027670152408094096,0.022912075797904483,0.003981318923818661,0.011662824540135912,0.04247281170207795,0.004051810233490021,0.002080035765050984,0.0485180312724148,0.03297574162514381,0.04201103794891294,0.02305201655605943,0.14491748730454787,0.14041409155620824,0.0413244846233523,0.01818405682392323,0.030485319014591436,0.04050941448098697,0.015687804298576215,0.01694119479398735,0.06373825399611667,0.07007455923100833,0.01982879219211589,0.005216183693240162,0.05291168085705245,0.05244797083940686,0.0672310367565364,0.03362789830914203,0.03666426403169593,0.0656499495678286,0.08887630627020245,0.06722839088351286
21,'ElectricBass',4,0.057996808105852816,0.15710422221692197,0.04706384489966888,0.059707247584772916,0.03861510116906569,0.0011433840282971414,0.002366143984686475,0.002172657003206074,0.0,0.0006199925181615716,0.02073941879469841,0.001903573938462177,0.009532279449500485,0.04464546870528402,0.0018791532302839468,9.311072304201747e-05,0.05069068827562087,0.03093019630035095,0.039838380945706874,0.021006471231266574,0.142871941979755,0.1383685462314154,0.039151827620146226,0.01818609789129925,0.02843977368979858,0.03838145132259647,0.013634580330057782,0.014895649469194498,0.06156559699291059,0.06800269073650596,0.017783246867323035,0.0031706383684473077,0.05495722618184531,0.05449351616419971,0.06939840198650933,0.0358005553123481,0.03449160702848986,0.06347729256462252,0.08670364926699638,0.06505573388030679
21,'ElectricBass',5,0.057402449868249474,0.15650986397931863,0.04646948666206554,0.05911288934716957,0.03923509368722727,0.0017377422659004772,0.0029605022222898105,0.0027670152408094096,0.0006199925181615716,0.0,0.02014506055709507,0.0012835814203006055,0.008912286931338914,0.04523982694288736,0.0012847949926806108,0.000713103241203589,0.05128504651322421,0.030310203782189377,0.03924402270810354,0.020386478713105,0.14225194946159345,0.1377485537132538,0.03855746938254289,0.018780456128902587,0.02781978117163701,0.0377614588044349,0.013014587811896211,0.014275656951032925,0.06097123875530725,0.06738269821834438,0.017163254349161463,0.0025506458502857366,0.055577218700006877,0.055113508682361284,0.06999276022411267,0.03639491354995144,0.03389724879088652,0.06288293432701919,0.08610929102939306,0.06446137564270345
