% Distances between instruments for pitch 97 (C#7)
@RELATION distances

@ATTRIBUTE 'InstrumentId' NUMERIC
@ATTRIBUTE 'Instrument' STRING
@ATTRIBUTE 'StyleId' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 4' NUMERIC
@ATTRIBUTE 'Distance to instrument 23 (ElectricPiano), style 5' NUMERIC
@ATTRIBUTE 'Distance to instrument 25 (Flute), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 6' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 7' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 9' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 10' NUMERIC
@ATTRIBUTE 'Distance to instrument 36 (Piano), style 11' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 8' NUMERIC
@ATTRIBUTE 'Distance to instrument 51 (Violin), style 9' NUMERIC

@DATA
23,'ElectricPiano',4,0.0,0.03761622703914368,0.05833209186115198,0.05863704305204442,0.008931595981094465,0.03092823164300187,0.055137749797320966,0.0008699249796074226,0.00571933995092603,0.03823877524162478,0.0449633296220994
23,'ElectricPiano',5,0.03761622703914368,0.0,0.05402892285324742,0.09619747576645687,0.02871369950160389,0.06847672806242967,0.050923075945161204,0.03677418414495728,0.031924601465289,0.0513450983498663,0.04761756403174377
25,'Flute',8,0.05833209186115198,0.05402892285324742,0.0,0.04716502484065347,0.06726368784224644,0.02740386021815011,0.013070819981237209,0.0592020168407594,0.06405143181207801,0.0200933166195272,0.013368762239052577
36,'Piano',6,0.05863704305204442,0.09619747576645687,0.04716502484065347,0.0,0.06756863903313888,0.027720747704027212,0.056430974091268286,0.05950696803165184,0.06435638300297045,0.044929407942874894,0.04879457004111592
36,'Piano',7,0.008931595981094465,0.02871369950160389,0.06726368784224644,0.06756863903313888,0.0,0.03985982762409634,0.06404771785192336,0.008061671001487043,0.0032122560301684343,0.04717037122271925,0.053894925603193866
36,'Piano',8,0.03092823164300187,0.06847672806242967,0.02740386021815011,0.027720747704027212,0.03985982762409634,0.0,0.02872216268222574,0.03179815662260929,0.036647571593927904,0.017208660238847682,0.0210738223370887
36,'Piano',9,0.055137749797320966,0.050923075945161204,0.013070819981237209,0.056430974091268286,0.06404771785192336,0.02872216268222574,0.0,0.05598604685043631,0.06083546182175492,0.01706450023772532,0.010477573637369177
36,'Piano',10,0.0008699249796074226,0.03677418414495728,0.0592020168407594,0.05950696803165184,0.008061671001487043,0.03179815662260929,0.05598604685043631,0.0,0.004849582679668273,0.0391087002212322,0.04583325460170682
36,'Piano',11,0.00571933995092603,0.031924601465289,0.06405143181207801,0.06435638300297045,0.0032122560301684343,0.036647571593927904,0.06083546182175492,0.004849582679668273,0.0,0.04395811519255081,0.05068266957302544
51,'Violin',8,0.03823877524162478,0.0513450983498663,0.0200933166195272,0.044929407942874894,0.04717037122271925,0.017208660238847682,0.01706450023772532,0.0391087002212322,0.04395811519255081,0.0,0.006724554380474624
51,'Violin',9,0.0449633296220994,0.04761756403174377,0.013368762239052577,0.04879457004111592,0.053894925603193866,0.0210738223370887,0.010477573637369177,0.04583325460170682,0.05068266957302544,0.006724554380474624,0.0
